Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b10b5f814824ef0430826079e665785b499ce3b3a7aa2fcb06fcf1f3e1f219e1,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
657ad2c49a8f2861b54b78cc64fd4eddd8b230f9efc2314f7790c79ca6c929e8,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
b4b5500b97deb0fadae75eda0e5f2bf2c087306424bd5868654049304b369d97,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
c6eb5f24c5569dbcab3edfba3e6def56571e0af81edc789024f91a27d0f5098d,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
526c5b26a440708743a47d2ad0cb23b8c85692d30404a6b992a7a6cb150a2749,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
5a4d3ebb5577df0fb4f04ea084dd8bd282c73d6d095479d1fa989384b743aa93,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
6ce0da87b248adedcff1b0991890e3d5047536a8c95ff7b5138d155cde4d70f3,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
ef2548a5d6a1f4a0b6f2b23c43cea33ce6e1747ba560f94b6df4a7c78e4d40e1,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
12508e96761f1713efcd5ff9b76484be612d0b628523823884c2e551a3181cb7,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
b13f7929c5ea0cb9b4c1d4697ad435d4af0b04b0f63a3339bd0e01426d86f8bf,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
e5a8614932496fedc88bca84f2c88dcaedd84d042a761b50802f14cd1fd64d3d,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Unable to prosecute suspect
3a6435f157ff8f004000f4099d89bb62dd6075c241d4e4df947d5976096585b3,2020-03,Gloucestershire Constabulary,Gloucestershire Constabulary,,,No location,,,Investigation complete; no suspect identified
