Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2a7ec48d04cce60c1b82b81f9f49d9e90c5201de18c1aeb91df7399801c4d304,2020-03,Gwent Police,Gwent Police,-2.971095,51.601578,On or near BURTON ROAD,W01001615,Newport 005B,Unable to prosecute suspect
a482435898879734719ff02b6c69773a26f6e5944ab0ee5911a56416090abff1,2020-03,Gwent Police,Gwent Police,,,No location,,,Suspect charged
71b7319b74d17f7fe80fe99b57efa8939efc5844b5856b31d7f0a173db210f7b,2020-03,Gwent Police,Gwent Police,-3.045234,51.644146,On or near FAIRWATER WAY,W01001497,Torfaen 011A,Unable to prosecute suspect
247ce4590c7d2606959c420a65a8d7c79e0c7b111a8d55fd8d59237a8510fd4d,2020-03,Gwent Police,Gwent Police,-3.065461,51.727648,On or near FAIRFIELD CLOSE,W01001486,Torfaen 002E,Unable to prosecute suspect
8b0ea3a67bbcfcc48412930b186edc73373ba9b6a9bbd25177937fad1c5ec46d,2020-03,Gwent Police,Gwent Police,-2.960965,51.583372,On or near COLLINGWOOD AVENUE,W01001642,Newport 013A,Unable to prosecute suspect
3933fecd4be4c871d9b724443613b8a63056524cbe11244a61e74ce7d7a71249,2020-03,Gwent Police,Gwent Police,-2.995280,51.585056,On or near TALBOT LANE,W01001687,Newport 014D,Offender given a caution
7687c679cd3b2477ff84f32c9fafd0a299685940f784915519d83f4c272f67c9,2020-03,Gwent Police,Gwent Police,-3.218100,51.571849,On or near STATION TERRACE,W01001425,Caerphilly 024D,Offender given a caution
58f0cfc8f21e195378c253c316eeaa78fe5f9950c74bd73607b82ee05f7fa034,2020-03,Gwent Police,Gwent Police,-3.047484,51.708478,On or near OSBORNE ROAD,W01001540,Torfaen 004E,Unable to prosecute suspect
ffeb57112f491b8b780db034799d7587b0985ddc7db82cc6800d5127517945a4,2020-03,Gwent Police,Gwent Police,-3.284748,51.744013,On or near FOCHRIW ROAD,W01001406,Caerphilly 001D,Suspect charged
6eb08cde6ddb37cb84c75a24ab60edfab08e61adec27cc4414469d7534bbd36d,2020-03,Gwent Police,Gwent Police,-2.689218,51.645922,On or near PIERCEFIELD AVENUE,W01001585,Monmouthshire 007C,Unable to prosecute suspect
0efe3336a0c779aa9e679f6f16662b85c888d7464e66bbdbbdb75371f09f0e4d,2020-03,Gwent Police,Gwent Police,-3.161123,51.768831,On or near HIGH STREET,W01001443,Blaenau Gwent 005A,Formal action is not in the public interest
c5f1a4f38cc1b2e91869dd0467006980906eea0222481b92a7acef1e21f24304,2020-03,Gwent Police,Gwent Police,-3.036518,51.611745,On or near WELLAND CRESCENT,W01001621,Newport 003E,Suspect charged
a6d89357f744d54d72f04c970ed8d80c446d092dd99733e3576d506b4a979b8e,2020-03,Gwent Police,Gwent Police,-2.999017,51.590257,On or near MILL STREET,W01001603,Newport 012C,Suspect charged
2fc83c67a2ea61745ba35ee4cce58d9d5fcc04d11a5ca150f166170b2aa4dde5,2020-03,Gwent Police,Gwent Police,-2.754782,51.588926,On or near NORMAN COURT,W01001589,Monmouthshire 010E,Unable to prosecute suspect
f4c75c4307df30d5ad6a5cf40eba719458654d5007970f569e385b8961d6381d,2020-03,Gwent Police,Gwent Police,-2.981496,51.589757,On or near LIVINGSTONE PLACE,W01001691,Newport 011D,Unable to prosecute suspect
4ccbd9cd2d5c92b45cc2336c7094973d7246f028eb36fd12a672fbb1e76b1f4a,2020-03,Gwent Police,Gwent Police,-2.995280,51.585056,On or near TALBOT LANE,W01001687,Newport 014D,Unable to prosecute suspect
9177bdbc478e83420f3a9bb8458beeff1814afdf776898a06c762f452c5ab17b,2020-03,Gwent Police,Gwent Police,-3.182504,51.792292,On or near WAUNHEULOG,W01001467,Blaenau Gwent 005D,Unable to prosecute suspect
875a5d50528b36edf2a789e8b17e0b2a7b4a3d97690161d31446bb4d1f42e121,2020-03,Gwent Police,Gwent Police,-3.240593,51.786595,On or near HEATHER CLOSE,W01001473,Blaenau Gwent 003B,Suspect charged
0bd5ff72dd2b71aec3f2129fcbda09ec26aec0969c9943899dca33b3111154e2,2020-03,Gwent Police,Gwent Police,-3.083441,51.602699,On or near TY-ISAF PARK ROAD,W01001413,Caerphilly 017C,Unable to prosecute suspect
a7cf2fa8818a8edc1fc5600dd0835baa7141acf7110ba6ba5d448d6cc343cde8,2020-03,Gwent Police,Gwent Police,-2.674085,51.616617,On or near Sports/Recreation Area,W01001593,Monmouthshire 008E,Unable to prosecute suspect
f172ecb7ea7d4408b840be9f937ae6a9a9b2a3dfed2bf748f53a4db5f8577109,2020-03,Gwent Police,Gwent Police,-3.237420,51.667904,On or near BRYN SIRIOL,W01001415,Caerphilly 008B,Offender given a caution
898a5a40d12359a4b9a85f8506b2b0648af31f6f9759629c88571eff8b59a4ef,2020-03,Gwent Police,Gwent Police,-2.979896,51.582461,On or near EXCELSIOR CLOSE,W01001690,Newport 013D,Unable to prosecute suspect
749509ed3708d1eebe666627e4f4174e406730487c77491112f7a1fe0ee9e429,2020-03,Gwent Police,Gwent Police,-3.019508,51.690436,On or near PANTEG WAY,W01001515,Torfaen 006B,Offender given a drugs possession warning
bcb9e781a7232bc682ff536ec055c14e1e0235b0ab08e80860dd22395905fe12,2020-03,Gwent Police,Gwent Police,-2.985959,51.592552,On or near GLOSTER PLACE,W01001676,Newport 007B,Offender given a caution
53ceba3dd29de8a0eac45c156f82ea8a4424d80b1578cdbed075ea1e11b82715,2020-03,Gwent Police,Gwent Police,-3.207549,51.778344,On or near Police Station,W01001461,Blaenau Gwent 007F,Formal action is not in the public interest
3fa4bc14e014756670df73fdb0a75c8af61d5374d8c658083a1df7d909418b21,2020-03,Gwent Police,Gwent Police,-3.193627,51.659356,On or near Police Station,W01001403,Caerphilly 011C,Formal action is not in the public interest
30f30f4469ca18124467dde83658926cf556165cfff51251560341cb04bc63e9,2020-03,Gwent Police,Gwent Police,-2.758911,51.595886,On or near HERBERT ROAD,W01001908,Monmouthshire 010G,Offender given a drugs possession warning
f4cf0be3c0e2e0d345b6db30cff5ddf5b8ec01732f31e25b207c2d5fec8ce85d,2020-03,Gwent Police,Gwent Police,-3.069252,51.731813,On or near AMBLESIDE,W01001485,Torfaen 002D,Formal action is not in the public interest
261bee8cccd1cb568e04eb826f4c57dc70915395c85d55d45867d3ef278debcf,2020-03,Gwent Police,Gwent Police,-2.986628,51.576793,On or near POTTER STREET,W01001659,Newport 018A,Unable to prosecute suspect
ed7618a671e2d885190a19ce1bc463434d4fb92443cd13e68776b660c710f956,2020-03,Gwent Police,Gwent Police,-2.670573,51.623344,On or near LORD ELDON DRIVE,W01001592,Monmouthshire 008D,Unable to prosecute suspect
f3da1d85fccc6c26ceab7e0636e33e6638d6daa703eac16cdfca0c109b62b3a2,2020-03,Gwent Police,Gwent Police,-3.247402,51.769592,On or near PARK ROW,W01001478,Blaenau Gwent 006C,Unable to prosecute suspect
a8319ccbe9b3f5124bbb056a0a73eb74bf6bc40861d18a045277e767a479095c,2020-03,Gwent Police,Gwent Police,-3.089625,51.604682,On or near ISAF ROAD,W01001413,Caerphilly 017C,Formal action is not in the public interest
51fd1461d300f6973ce477a12b813e2386d06600cb733af82df0002db7adc455,2020-03,Gwent Police,Gwent Police,-3.042708,51.704699,On or near Parking Area,W01001524,Torfaen 004D,Suspect charged
34aed94869f0c641f775cc6242e6ac706be9597ca39552c1aca6e00a1860844a,2020-03,Gwent Police,Gwent Police,-3.028216,51.683382,On or near GLENGARIFF COURT,W01001515,Torfaen 006B,Unable to prosecute suspect
6977a21884186f9468792d68857d16dc3c3571b9940d1f7473e2fa735eae4143,2020-03,Gwent Police,Gwent Police,-3.235153,51.693554,On or near LLANCAYO STREET,W01001336,Caerphilly 004A,Suspect charged
3d69283c16d1c80772f19332c3262e8d2ede26ba1a678c0f813de8c59f59e1af,2020-03,Gwent Police,Gwent Police,-2.969675,51.617604,On or near JULIUS CLOSE,W01001628,Newport 001F,Unable to prosecute suspect
1ce751bf5c0d62704fc8ce1c3dc9f483b8d7712433c4c45bb2d7cc1c1fd9809d,2020-03,Gwent Police,Gwent Police,-2.728640,51.813110,On or near WHEAT FIELD CLOSE,W01001553,Monmouthshire 004B,Unable to prosecute suspect
973b97a81012d865750448dc6bcb904c8fe46958d16a32a08d559c8ddbc5c59f,2020-03,Gwent Police,Gwent Police,-2.990454,51.571546,On or near WOLSELEY CLOSE,W01001660,Newport 018B,Unable to prosecute suspect
fb85b0a3a4d92d4d42a2b65cadb2c93f3d3a9e54a14bc0e97c7354f3b6ec0850,2020-03,Gwent Police,Gwent Police,-2.990454,51.571546,On or near WOLSELEY CLOSE,W01001660,Newport 018B,Unable to prosecute suspect
049b4f61bf952f8e0876578aa2916f5a9e4d4047d8d9f6f54cc8748b08782bd4,2020-03,Gwent Police,Gwent Police,-3.034725,51.527797,On or near B4239,W01001912,Newport 020E,Unable to prosecute suspect
98cb6948c7d423b879b9ff82792598e26392b3faa464ac934ac7ad790d1840ae,2020-03,Gwent Police,Gwent Police,-2.997443,51.588274,On or near Supermarket,W01001685,Newport 014B,Unable to prosecute suspect
8d0f2d80f434425cb8338e7c547a466007500576b72b8a883bc21c8ebe7e4954,2020-03,Gwent Police,Gwent Police,-3.217833,51.574837,On or near Parking Area,W01001424,Caerphilly 024C,Suspect charged
0d9624638e7449d5448d0184f67426a6a639f20ce9dea8bb0cdd31dda8045f8c,2020-03,Gwent Police,Gwent Police,-3.127252,51.720436,On or near JUBILEE ROAD,W01001476,Blaenau Gwent 009D,Unable to prosecute suspect
c04fa16d689bc21e5d3b4d85749063d69e4bc5cecda2887e4eb30bd0be8ac263,2020-03,Gwent Police,Gwent Police,-3.103295,51.614014,On or near Parking Area,W01001411,Caerphilly 017A,Unable to prosecute suspect
638bd47018a657547089cc023469884869b2685a4f15aa9c3f414f42727797bf,2020-03,Gwent Police,Gwent Police,-2.848185,51.553895,On or near CHURCH ROW,W01001649,Newport 004D,Unable to prosecute suspect
2585177e606c6315c57bc314dd45a6a8e250a1f7ab8b712639443378ab362556,2020-03,Gwent Police,Gwent Police,-3.232882,51.575291,On or near Petrol Station,W01001423,Caerphilly 024B,Formal action is not in the public interest
f2d033eb4dbc9e92a009ec1031c7c8a55c5d2cdfc52e00ca540bce080eb5a915,2020-03,Gwent Police,Gwent Police,-3.042010,51.586080,On or near TYDU VIEW,W01001674,Newport 009E,Unable to prosecute suspect
dd55fdf2f2beec03aa1a129ffe42e3ee4b545c88dfe5d90d3cdb04ff7789eaf4,2020-03,Gwent Police,Gwent Police,-2.950306,51.577489,On or near FOSSE CLOSE,W01001646,Newport 015E,Unable to prosecute suspect
