Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f76764a9df092fc645477a9f281eccaea2879dd13b8cfe0752e607326e33f2d6,2020-04,Gwent Police,Gwent Police,-3.040139,51.699975,On or near Supermarket,W01001524,Torfaen 004D,Investigation complete; no suspect identified
630ee90256d7e46359f1eaa463da759ec0bc6ef9d0f1a5cd4942f9f53ae2d652,2020-04,Gwent Police,Gwent Police,-3.046471,51.578577,On or near RUPERRA CLOSE,W01001637,Newport 016B,Investigation complete; no suspect identified
f08effccd909955a15d001b109e944ab38b661bf6839afebaaf480231a4b5f5a,2020-04,Gwent Police,Gwent Police,-3.036882,51.608703,On or near DERWENT COURT,W01001620,Newport 003D,Investigation complete; no suspect identified
f3c4d4eef981708bacd3bdb01bb9baa4ceb5e3708d3d189eb9617d7a07754412,2020-04,Gwent Police,Gwent Police,-3.043468,51.711958,On or near GREENLAND ROAD,W01001531,Torfaen 003D,Investigation complete; no suspect identified
b5a0513c44121eb848018cc0e61b813297d6f901a6b44dcd43af373201a789ac,2020-04,Gwent Police,Gwent Police,-3.231199,51.603795,On or near OAK TERRACE,W01001367,Caerphilly 019B,Investigation complete; no suspect identified
94ee085321261e2c52330a1e4994beb10b90065c0e5cb14d06db572c352ff57a,2020-04,Gwent Police,Gwent Police,-3.220753,51.670812,On or near HIGH STREET,W01001387,Caerphilly 007C,Investigation complete; no suspect identified
93257f6901de78d29003a6616a0903d25630e0e5fb4b9a98abc98938f594a6e2,2020-04,Gwent Police,Gwent Police,-3.037898,51.586781,On or near Petrol Station,W01001674,Newport 009E,Investigation complete; no suspect identified
a88cdbbe48764925e6681317b76a168b6a2ad556c61454e667facc8d741bf791,2020-04,Gwent Police,Gwent Police,-3.032575,51.613012,On or near EXE ROAD,W01001621,Newport 003E,Investigation complete; no suspect identified
e9c4b616be1c0d1cc5b2c9c429a43563c29e45fc2080048a831169d33898b077,2020-04,Gwent Police,Gwent Police,-2.994937,51.586524,On or near Supermarket,W01001687,Newport 014D,Investigation complete; no suspect identified
377b7f33c1922e228c1824c76ca0b6d2a32c7be7eb5f7838e94f98ed4c209260,2020-04,Gwent Police,Gwent Police,-3.167921,51.779526,On or near DALE VIEW,W01001468,Blaenau Gwent 005E,Investigation complete; no suspect identified
4c34cda1526848d6a75d2e1ca0697ebda88a74af4185757133b8e410e39c2781,2020-04,Gwent Police,Gwent Police,-3.297275,51.740405,On or near MOORE'S ROW,W01001361,Caerphilly 002B,Investigation complete; no suspect identified
