Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bb8c18ae9bb02b4bd9c7eac4408f41c891e8a42915b9d9a3aa664900922e6292,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
6b3b97d75f00eba85c59a6851d017850754d4338cd3df261a06b1d3707514ff4,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
c2cf32a516768f83581fa294e4fc21f28e302aa05e2cf0675dbc3ea778c73c5f,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
4dd5b6b8ffffbd959af38a7e5cc2b46983e353c31cadaae9dd6b10b7e1f9d5a0,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
27707f73b004f7d53982be748a0642fc30a2636b730c281199b84e9c0afcff8a,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
27707f73b004f7d53982be748a0642fc30a2636b730c281199b84e9c0afcff8a,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
71b294ada829dfa4c25b94ad3bc1e207d766c50409e544c0ca60ca7486a72fe9,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
9dde7142d5d7293fe21884f01d2d0f4d2fbdd6bc4dc12b0f14c46192f5cdd371,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
159822d17b1b00361fa26a723d024a99cbc41f3895939d97f15260f9f78443b2,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
850bf48e30759da694d10e0ba75a503fc1877656153222b90cee686afa80ae76,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
fb45b843dcaad15f9bfa18f79794c6e3ded6ffc7363e5de166c2ef65cb1d5b0d,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
b8cf030e01b89994af5aa3c548d6ab0e008294e9685c826f4f6eb9c3b86c4c8f,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
2150c37d646e1d2f29627082792db31936ffb180369f937d4576f5e84bc7dddd,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
75696bfccea29c7da1bd9c0004a6b6b078c9ae0c32557b54fb4f6a7b21ce787a,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
6f90ca8ed7bc7031cd38f912fa92699e7b48010b1042f9e2dead841fa9024637,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
781855c5665428c8712123016a898009aa3c65427fd719e0fa15eefca19412c0,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
03f627652889029c5f2de01b11c4288eaa719e9af67ccec8b16546496faf1bce,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
5ba0b226a4b772373310e4669c19f863521b713f65f9032c524b9802529ed7f1,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
e90773e906270c0aa1b4582532c0131b403e89a0fe1153b03b5788e3b4e8ec42,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
d6fc046167cc24b70ba33e9774146df2576b147f599f1149a9d4565644571159,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged as part of another case
9a4c6b9938267c911d9bf22d801a0a82f8cc3ca95b05c5e5260c0c1f94634343,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
04b989c9bcf620cf36edb7d64280a5420134728d82d799c173cd1093cfcc0f06,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
21f4025edf44ae7d6b23a895b2ed547e3ba6f74d5eea2045378bbe7a3c0bf910,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
7b85f3f1d0bfe60a91df18e96952b2bd53715de68a425607f2dde3751190cf1a,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
4e1459d2c58e40b39c19ab7b2a4a3fe2fdf9c6b253ab055d0de1e617530125d0,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
57cfb6fd21fb453e7da544be82cda490359073e6fe4261f1d8789adb80cf66d7,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
a6c445a3c1b3b96de7d21a2b2d81fa9c561081ecb94f08a12bb07b08f4604220,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Formal action is not in the public interest
083bccdc9665d39af27eea5deb3b3311bdb8fc18f84779cfaea30976f809fe13,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
c3728a9ab96a3f7062cd25425ec352342cc81819b994c4a5260e71affae75d95,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
9a8e90a855faa550206471bbcc973e2c8a603598e44c29d0c9c986e69b6dd074,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
6b8629befd8a1fb5d42ecfec8fa76dbf87c87a4bed422f8b807b5b4633043652,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
f785c037b67e1bf61c0cd68a516a070c1616b46e3a9437c753eb7671fb4c9ee0,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
977a7f136ebb1b5bab299771dee39fe5c906dda8eeac5be54626c4c8996c198c,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
2d93abfe33aff4cf03150c185eb5e3235d361ec3fd92f0dc898f20579b61840f,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
cafa9aaddb14877dea7aa42916a734e3a9da5070ed5cb3501c64db973336e09e,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
40e77416be78647a649981605e79e51d371ebf77ca05ccebccdce3c96eb24096,2020-04,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
