Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
146d41580802e0296d489bd339e9a36671d0413b4fa5c8b2f3f4b3b7f9109d6a,2021-03,Durham Constabulary,Durham Constabulary,-5.945230,54.610692,On or near FOYLE COURT,,,Investigation complete; no suspect identified
6bf69b4663cdb705c5d267e1e5a6d63e579aa3860a5fde7699520371096911eb,2021-03,Durham Constabulary,Durham Constabulary,-1.512502,54.848183,On or near A1052,E01020590,County Durham 015A,Unable to prosecute suspect
1e8ba1ec3266ad1ab6a93c560e03f9303950c9141a91f94d2a4daf289b4d94aa,2021-03,Durham Constabulary,Durham Constabulary,-1.385544,54.760006,On or near VICTORIA STREET,E01020761,County Durham 034B,Suspect charged
c6685febe508edeaa6ededf5922f7a4030133ef8dcc66a5ad9a64d894ecdcdf0,2021-03,Durham Constabulary,Durham Constabulary,-1.313326,54.762054,On or near SIXTH STREET,E01020767,County Durham 036C,Unable to prosecute suspect
d4414c263e1d52b1e1b2c409e91b1f026193b4f87f0410a239b1ae3fd21df498,2021-03,Durham Constabulary,Durham Constabulary,-1.543657,54.540366,On or near PETERHOUSE CLOSE,E01012351,Darlington 004C,Investigation complete; no suspect identified
1829e2dba2d23885872fca2e3ab3b71956606db733a309785404b3aa5f7754cc,2021-03,Durham Constabulary,Durham Constabulary,-1.352355,54.769449,On or near GARSIDE GROVE,E01020735,County Durham 035C,Unable to prosecute suspect
20216ec2501981051e327f3a5a9ea85a69a12e3acea455e1a8f9d96ff04629bc,2021-03,Durham Constabulary,Durham Constabulary,-1.580678,54.851681,On or near Sports/Recreation Area,E01020602,County Durham 011E,Investigation complete; no suspect identified
922aef67d0d8282a8107c1e9e61398f49c3d9bea6fab7687b50cea068a0749fe,2021-03,Durham Constabulary,Durham Constabulary,-1.744523,54.857124,On or near SNOWDON COURT,E01020626,County Durham 006A,Unable to prosecute suspect
f90e0d1893e1d6dd38ba82109143443c8c142bc12ae667d71134cfdcdbb24618,2021-03,Durham Constabulary,Durham Constabulary,-1.693338,54.861130,On or near HOLLY HILL GARDENS WEST,E01020648,County Durham 008B,Further investigation is not in the public interest
25cc1a893bd2b47c7951e9a47d8ef7891aa222fb7975719d0e113aa8602f09b4,2021-03,Durham Constabulary,Durham Constabulary,-1.313326,54.762054,On or near SIXTH STREET,E01020767,County Durham 036C,Unable to prosecute suspect
493b34d2f946d92ad786563524290ceb7190485000e4566c69a9cf12017f6874,2021-03,Durham Constabulary,Durham Constabulary,-1.313326,54.762054,On or near SIXTH STREET,E01020767,County Durham 036C,Unable to prosecute suspect
ee4165ea24e6246a9c4484906c4af2cd466ce604a0aa2c085fe7c99ea5568cc2,2021-03,Durham Constabulary,Durham Constabulary,-1.552045,54.546400,On or near FULFORD PLACE,E01012350,Darlington 004B,Further action is not in the public interest
ee4165ea24e6246a9c4484906c4af2cd466ce604a0aa2c085fe7c99ea5568cc2,2021-03,Durham Constabulary,Durham Constabulary,-1.552045,54.546400,On or near FULFORD PLACE,E01012350,Darlington 004B,Further action is not in the public interest
bae477ff2059699031d39da4ab0d8d36132e0d135e9dc74031cc23c65f6367aa,2021-03,Durham Constabulary,Durham Constabulary,-1.561523,54.530420,On or near GREENBANK ROAD,E01012355,Darlington 008D,Local resolution
141605b7f055ed82affcec988c07caa511f134aa9284bec9aabcfbcbc824390b,2021-03,Durham Constabulary,Durham Constabulary,-1.552045,54.546400,On or near FULFORD PLACE,E01012350,Darlington 004B,Further action is not in the public interest
976902271a0d10f4378c8d5f09c6a828fd67d4a4940eae1f7f398fc1945bca6c,2021-03,Durham Constabulary,Durham Constabulary,-1.581958,54.700541,On or near BROOM STREET,E01020842,County Durham 049D,Investigation complete; no suspect identified
