Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
36b0713e461bf036be69e3bb813bb8c4e26cbd60101fcecbe8bf40bc85d50548,2021-03,Merseyside Police,Merseyside Police,-2.795772,53.431732,On or near FLETCHER AVENUE,E01006466,Knowsley 007E,Investigation complete; no suspect identified
d4ae1c5df76e7243dc0aaf3d9cc943564bf1c6375bfcf2539683433e1c8f2f87,2021-03,Merseyside Police,Merseyside Police,-2.902481,53.451333,On or near REGAL ROAD,E01006664,Liverpool 004D,Suspect charged
f94571c1f9018cfeb0cbd450bdcb46ae59fe828ca44e5efce39da362a37f452a,2021-03,Merseyside Police,Merseyside Police,-3.043379,53.400153,On or near DAWSON AVENUE,E01032903,Wirral 010F,Suspect charged
6ef6929437a01a08a067e8b8472f58f2c64661e50c096e849e58a15a8abb526a,2021-03,Merseyside Police,Merseyside Police,-2.917964,53.443781,On or near BOWSCALE ROAD,E01006599,Liverpool 010B,Unable to prosecute suspect
b0f6c222ddd4e3d4d6c4849c0917fdf1a08059d7d98ee00628a1d1a59f09895c,2021-03,Merseyside Police,Merseyside Police,-2.984888,53.456192,On or near MARSH LANE,E01007019,Sefton 035A,Further action is not in the public interest
e607855366bd1990d852cd8a79ff7e28e5c0e8c132c74fb9234ac6767316910c,2021-03,Merseyside Police,Merseyside Police,-2.991642,53.404783,On or near JAMES STREET,E01033752,Liverpool 062B,Unable to prosecute suspect
ce707f9d30585a8682f8d41ce7a0bb7cf90d9b24ea1364fd6cc16ffae6f3dd26,2021-03,Merseyside Police,Merseyside Police,-2.831351,53.344397,On or near HEATON CLOSE,E01006756,Liverpool 059D,Suspect charged
ecf6c53575978a8a92655c7c722f4eb5ef6afe7ecf3dbbd8ea19d4453ce9bf04,2021-03,Merseyside Police,Merseyside Police,-2.973004,53.415957,On or near ROKEBY CLOSE,E01006648,Liverpool 023D,Offender given a caution
c6b9492ad787495d894cc1c773700d5ff1a048d11550fe3c9e025eee45dbb0df,2021-03,Merseyside Police,Merseyside Police,-2.968977,53.381760,On or near CLEOPAS STREET,E01033767,Liverpool 050J,Further action is not in the public interest
cfb0490f4a69786cde34dca670d14eb99c0f40db769faf2dad6716cb45200dba,2021-03,Merseyside Police,Merseyside Police,-2.824932,53.343354,On or near MINERS WAY,E01006754,Liverpool 059B,Unable to prosecute suspect
