Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
67ebbf9141ab7dfcb3c860a379fd1deffd9a07c7879afa5a6f24eee2b2b38e63,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7c6476a0f185daf0289888b6dc09ea3573a88271fb911e662da65401e88aa7b1,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
d7c61e6b3cb595bc3d3aa460b8f55cead94b2bea23d6a1bb3fb8b6ecebb7bb14,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7c29a6e58e352448c397b6827c7b4ebc5e9257f91140c44da8c71571393b7ef4,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
cb8db259eae1a23c529ff6368db56edeceaf7a335fb019d52fda66d2e722b898,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
d94227ac97c7f33a988160c5fc56ebd883bd270bbb78bd23ce23a5ecc48fd60e,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
c6c3f01cbac783cb0c51d069c958cbc5d8b35c0e95c94c6c7ca43f8277ac9796,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
fff5e9dd79db7fd5382604ba4d9041e13a83f2d0d2fe1e17d616194d9f1e8f44,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ddceb84b001f76c44c05b2220c2b2ea6b67ff7ce3c34a13cc15e6494f136b2b4,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
e21b5097c751eb60efbb251afead76ff0eca32077d842d30f55b90090024a297,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
e59242c96413dd0cbe7d459c62af0ce6ff5a38e086ec217f5daeddb260549ec6,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
592b5b6bb051a66a4db0677f1f44123d66cc66cf4f22f399afb6d04bbcbab5d4,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
e416a7877b12b7aaaab82277e1b92bd44ef1938c0394672b39b08ce479aa61b5,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
a04af3994246d49f050e62c6a6429d533e7e2855b65387fd21e258ca0922d3bb,2021-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
bf02296e03113d09b45f1aa58b623b13a4ea8085cf505b955f58b98a66a7932e,2021-03,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
61253a55f4a2bdd1d765be86ef475b76105e21ebc6a8a054cba62472b48d671d,2021-03,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
81c877e6525e581200578026523c19067c8898a7fef27b18ce3312f265fc2433,2021-03,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
373d0c6bbfcca634d141d2a017853afd4c562b4e888b24401a51a1b6fe272242,2021-03,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
53672da77b31ef9c7090b11f935dab4c6fd9c2216a568700155446e8a19720c5,2021-03,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
907198c342277b2401dfcc358535cab7b4e34bfd121521b64c1766fe92f99fb2,2021-03,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
77101af092882eddce93732c60997e425154936a7c5b4a1df2617eec7122b87e,2021-03,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
2342435975875e01c3cd9d6f4bc51a616f8994b330a1fd3688c8a514d0632fab,2021-03,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
ca97130b468fe8655cde68edec7870f8f2b99c41b9d082a88b72d65f8c5d2250,2021-03,South Wales Police,South Wales Police,,,No location,,,Suspect charged
4823608000c5209d9138442b0fea676a5b9587d7123f7a7b3a1fce284eb86887,2021-03,South Wales Police,South Wales Police,,,No location,,,Suspect charged
fb450ba8c5e35352558733766b4f57843023c7dfc57072d99663ddf045bf592c,2021-03,South Wales Police,South Wales Police,,,No location,,,Suspect charged
d5bd030b5ada990585ecd9c38cc76a5836b82e4d0fba42c88cd2edea5819b9c2,2021-03,South Wales Police,South Wales Police,,,No location,,,Suspect charged
ea39157cb25c53580d65602b3e2a368530954fce63b24f7fb7277070cc0cde50,2021-03,South Wales Police,South Wales Police,,,No location,,,Suspect charged
f0f2e66ed876a6e78cca381ab84894da343af7045d3d9f033ec319cac5e18c98,2021-03,South Wales Police,South Wales Police,,,No location,,,Suspect charged
