Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9ed241bc0942271f98a3469022492f1e219efd5062ba18cd9121e13e7f5c6d72,2021-04,Gwent Police,Gwent Police,-3.241069,51.571213,On or near Supermarket,W01001398,Caerphilly 024A,Investigation complete; no suspect identified
90a66ee8c8c927c43d7a17eb6c8065aabb5bbfbac3c0d342c87c43388967cdb6,2021-04,Gwent Police,Gwent Police,-3.210213,51.581318,On or near BEDWAS ROAD,W01001373,Caerphilly 022C,Investigation complete; no suspect identified
009a48936f265aa17a5677241ce73975084d06d79bb40ce9730a87d1de7a61e0,2021-04,Gwent Police,Gwent Police,-3.040139,51.699975,On or near Supermarket,W01001524,Torfaen 004D,Investigation complete; no suspect identified
8a9136c60cb31a02bf19f4bcaa8c5d7723815b27aca28094e28532dbb1b881c1,2021-04,Gwent Police,Gwent Police,-3.017259,51.579094,On or near MELFORT GARDENS,W01001631,Newport 017C,Investigation complete; no suspect identified
78a877d2145eb7da9f1b869ea19d7a6452a701c4f59a2a33affc2d11428f7a99,2021-04,Gwent Police,Gwent Police,-3.047899,51.664443,On or near TRAM ROAD,W01001537,Torfaen 007E,Investigation complete; no suspect identified
2f14203aaa1e7fadb09a0593d1d40a7ca3464943df0d160d010294d084a0d21d,2021-04,Gwent Police,Gwent Police,-2.725251,51.590848,On or near KING HAROLD'S VIEW,W01001578,Monmouthshire 009C,Investigation complete; no suspect identified
af89a19ebc4aede97f1ebb59810a0c128b6855b6433848dbee109e916ce8acbd,2021-04,Gwent Police,Gwent Police,-3.037977,51.579497,On or near PYE CORNER,W01001671,Newport 016D,Investigation complete; no suspect identified
e0a2386f3fcb916f9aeb0cea85358e749fef091d3671ab43e7f8094acb84af6e,2021-04,Gwent Police,Gwent Police,-3.036526,51.610828,On or near CLIST ROAD,W01001619,Newport 003C,Unable to prosecute suspect
3ace9d9261fcfab6254f8ae08a60d37eba580897b4edb415af424876bf1996a0,2021-04,Gwent Police,Gwent Police,-2.760562,51.588421,On or near SEVERN VIEW,W01001598,Monmouthshire 010F,Suspect charged
e850948ef63af98595d5e7ba7d862cd568fa5212b231c46d384df21223573ad3,2021-04,Gwent Police,Gwent Police,-3.010356,51.615966,On or near EDISON RIDGE,W01001652,Newport 002B,Investigation complete; no suspect identified
4d6c8904b0805f5ff6fe8ea246378cedd70110c78a8bd7d1366ca5d9b4c7c338,2021-04,Gwent Police,Gwent Police,-3.239881,51.797114,On or near Pedestrian Subway,W01001470,Blaenau Gwent 001D,Investigation complete; no suspect identified
9fb7030853c2a8ec9eece35829340918a602cc99b36c48d20bcf8a0ab5693e0c,2021-04,Gwent Police,Gwent Police,-3.033782,51.615276,On or near LEACH ROAD,W01001621,Newport 003E,Investigation complete; no suspect identified
7a7d2c3a2cc4e5fa9c09591a4db13659ce42f21d67a4a025499898c36391f70a,2021-04,Gwent Police,Gwent Police,-3.017121,51.611034,On or near MEON CLOSE,W01001618,Newport 003B,Investigation complete; no suspect identified
669ebc5c6c7ce29639b7ea79996b24f9165a1eeb1059f0eae37ba3003667fcdd,2021-04,Gwent Police,Gwent Police,-3.173636,51.798657,On or near Parking Area,W01001448,Blaenau Gwent 002C,Investigation complete; no suspect identified
5e6d234f216e783bccbd7e7be980a6e7e9b4df8e90b5540f3d937ec3efb4f3b5,2021-04,Gwent Police,Gwent Police,-2.984876,51.593191,On or near GLOSTER STREET,W01001676,Newport 007B,Investigation complete; no suspect identified
f9df0763a4708adb890999d123f1a1e9aec687fdc5a86e747e7213f14e80cf86,2021-04,Gwent Police,Gwent Police,-3.158576,51.764459,On or near MILL STREET,W01001443,Blaenau Gwent 005A,Investigation complete; no suspect identified
681ff3fabec419e97ecc88a9731029cc90c257e4b87efe708efef356d97b8d72,2021-04,Gwent Police,Gwent Police,-2.968906,51.575368,On or near CORPORATION ROAD,W01001647,Newport 015F,Investigation complete; no suspect identified
dfd69dabfe663af5a9ab9f8fbdf354c55dcddc19aea8fc6a359ca7c45cc11fd1,2021-04,Gwent Police,Gwent Police,-2.904755,51.702723,On or near BRIDGE STREET,W01001597,Monmouthshire 006F,Investigation complete; no suspect identified
5192a69516c3c5558583b500d87448fd1e9164194e60f884661c19c7c0cb6e21,2021-04,Gwent Police,Gwent Police,-3.002807,51.587365,On or near GODFREY ROAD,W01001603,Newport 012C,Investigation complete; no suspect identified
25dc5dae2dc8fb5c68f63599202a70daf75e30bdb280b8809474d77db826bde2,2021-04,Gwent Police,Gwent Police,-3.021079,51.557032,On or near Supermarket,W01001689,Newport 019D,Investigation complete; no suspect identified
b262e7873c880e16bcade84b6a0480c4c5b4d347ba718abe1387803d3a58b38a,2021-04,Gwent Police,Gwent Police,-3.202833,51.667966,On or near FROST PLACE,W01001348,Caerphilly 009A,Investigation complete; no suspect identified
6464f08f3eb04859021722eed48fa5aa39544f6c6646122c64bf3d51fc937b32,2021-04,Gwent Police,Gwent Police,-3.000396,51.597861,On or near GOODRICH LANE,W01001681,Newport 006B,Investigation complete; no suspect identified
e6c17a11895e7136aeca25603399dd9939d39dcdbab71fe361daa5f98fd0e473,2021-04,Gwent Police,Gwent Police,-2.990443,51.592937,On or near RUDRY STREET,W01001676,Newport 007B,Investigation complete; no suspect identified
ec8daacdac993a21ea97f7b285edbfc45bb29ecbd02eceddf858c4362c6a5228,2021-04,Gwent Police,Gwent Police,-3.007458,51.583603,On or near CAERAU CRESCENT,W01001686,Newport 014C,Investigation complete; no suspect identified
e237502af0e3920b7fdaf7e606d2c362c65e9034c72b0f1330b37ad85a3b0611,2021-04,Gwent Police,Gwent Police,-2.989886,51.593212,On or near LLANVAIR ROAD,W01001676,Newport 007B,Investigation complete; no suspect identified
e7f29787cd63c9208f411608cf8b4e9c37f9020b0a1835f6be50ac7c644802f7,2021-04,Gwent Police,Gwent Police,-2.991348,51.590736,On or near Nightclub,W01001693,Newport 013E,Investigation complete; no suspect identified
0f83fe031ca20e6eb09a69fa05297c9f75883325afc6e943d3948aec4466d435,2021-04,Gwent Police,Gwent Police,-2.997067,51.587567,On or near Nightclub,W01001687,Newport 014D,Investigation complete; no suspect identified
2d0b8d81cb524c61c93a4d8a520796d183696ea6853c64a83bb79727e6bf5414,2021-04,Gwent Police,Gwent Police,-2.998208,51.594859,On or near QUEEN'S HILL,W01001681,Newport 006B,Investigation complete; no suspect identified
87d95196b20ab3b7a17acbc4eeeab2082bd0a094471b4592ba5b378f05cecc9d,2021-04,Gwent Police,Gwent Police,-3.216625,51.802095,On or near LABURNUM CLOSE,W01001470,Blaenau Gwent 001D,Investigation complete; no suspect identified
934056368533717324eee47174c92a0afa89eca48f37ca317923ddba450c32a7,2021-04,Gwent Police,Gwent Police,-2.982618,51.596905,On or near MORDEN LANE,W01001675,Newport 007A,Investigation complete; no suspect identified
57190a13c81a4b4e73c0233283823fe027f2beb1377bb27cbd1b951e4d74ce50,2021-04,Gwent Police,Gwent Police,-3.074324,51.601209,On or near RISCA ROAD,W01001407,Caerphilly 016A,Investigation complete; no suspect identified
7afdd5f85eb7c4b0d3d41a9d9d00ec0e98070ffa89fa71fc7e98a0524b6e5419,2021-04,Gwent Police,Gwent Police,-3.079074,51.776986,On or near AEL-Y-BRYN,W01001488,Torfaen 001B,Investigation complete; no suspect identified
14fe26f702b216e85fca72a36438da129a4c38a720e36b739940c8086eb8becb,2021-04,Gwent Police,Gwent Police,-2.962573,51.585715,On or near PALM SQUARE,W01001611,Newport 011A,Investigation complete; no suspect identified
466fe1cb6a8760e775d1b27cda43b31c0e45b51007a7ead0b5e2d3630854d3e9,2021-04,Gwent Police,Gwent Police,-3.159387,51.765548,On or near CROSS STREET,W01001443,Blaenau Gwent 005A,Investigation complete; no suspect identified
1adab66ed169cfbf5f8019a8335288a5d62515c8772f056c8d903947f2c9b98c,2021-04,Gwent Police,Gwent Police,-2.991607,51.580123,On or near Parking Area,W01001662,Newport 018D,Investigation complete; no suspect identified
26dac03ad0a3e10ea39f07859e93e0cf1da0353f88d601b77cb07bcebc1a5b5f,2021-04,Gwent Police,Gwent Police,-3.286995,51.766000,On or near ROWAN PLACE,W01001428,Caerphilly 001E,Investigation complete; no suspect identified
e12d966cfe38c33f259827e9fc459275ffb5f275e89b0221e1fce02aaa9830b6,2021-04,Gwent Police,Gwent Police,-2.955983,51.585319,On or near ABERTHAW DRIVE,W01001607,Newport 015A,Investigation complete; no suspect identified
6e2dc05a53427251a58ec728c2758b2838359560422f1c278f1c5565cbe4dd2d,2021-04,Gwent Police,Gwent Police,-3.000644,51.583490,On or near ST WOOLOS PLACE,W01001687,Newport 014D,Investigation complete; no suspect identified
556037fac3bb36aa47f07182aa908d70a0035b8ba6b04c39ff42de7d571b6cdb,2021-04,Gwent Police,Gwent Police,-3.026815,51.647033,On or near WESLEY STREET,W01001527,Torfaen 010C,Investigation complete; no suspect identified
a96187e2a18c68e5e8eac5844dd9938fe2ef4a91970a0615bbf460e5400f080e,2021-04,Gwent Police,Gwent Police,-3.149392,51.678968,On or near Sports/Recreation Area,W01001359,Caerphilly 006D,Investigation complete; no suspect identified
6a79ede104b7101084d23c887c50302ef045c9ed3b5e4f93f4c2e3c0e64d9af1,2021-04,Gwent Police,Gwent Police,-3.025196,51.652784,On or near Supermarket,W01001506,Torfaen 010A,Investigation complete; no suspect identified
8f31249128ff55042e95eb4dde12a12f8763b3f23135fc09efea53a700e0e070,2021-04,Gwent Police,Gwent Police,-3.036516,51.828754,On or near CRESTA ROAD,W01001545,Monmouthshire 001A,Investigation complete; no suspect identified
