Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
272f5d301244ed8e683b8f715fae52b68444c2bf321c09a0a4c2210c039e5ba9,2021-05,Gwent Police,Gwent Police,-3.186244,51.663954,On or near WOODFIELD TERRACE,W01001392,Caerphilly 009D,Investigation complete; no suspect identified
a5effb485fceb547536c31db23f1ffa1aa0931d71470805e8145e09b143dd2e5,2021-05,Gwent Police,Gwent Police,-3.063372,51.551459,On or near POUND HILL,W01001913,Newport 020F,Investigation complete; no suspect identified
0c31cf799f336b0f2c23e85de5443c688ca3f73102ac9bde235a4138ec00bfc5,2021-05,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
77eeb26028bdd4bd8a68503bf109848e15cea0490cd164d9bb6d89487e10560c,2021-05,Gwent Police,Gwent Police,-2.978040,51.604236,On or near HAISBRO' AVENUE,W01001678,Newport 005D,Investigation complete; no suspect identified
3351ba2f397d993957a0f80f899309264eb4231a199d5c553cca975fc7982945,2021-05,Gwent Police,Gwent Police,-3.019172,51.654877,On or near Parking Area,W01001506,Torfaen 010A,Investigation complete; no suspect identified
1eab581191fb641f60575ec69d49e80685b0951a08669a303c5b6c3393ed47be,2021-05,Gwent Police,Gwent Police,-2.979484,51.592840,On or near FAIROAK AVENUE,W01001691,Newport 011D,Investigation complete; no suspect identified
e32b4e5417cf6f047cd4f36904d44ea20834a8a4617b398af34d9812f612497d,2021-05,Gwent Police,Gwent Police,-2.991348,51.590736,On or near Nightclub,W01001693,Newport 013E,Investigation complete; no suspect identified
5f270d092430dfe43e25ac5f48c19c1334656901e8601d88b5831089b1e1614e,2021-05,Gwent Police,Gwent Police,-3.125980,51.806101,On or near QUARRY ROAD,W01001562,Monmouthshire 003B,Investigation complete; no suspect identified
048a02be48a326b36ed6f71ba2017e7480a94351e889d03bc0eeb7886797fb43,2021-05,Gwent Police,Gwent Police,-2.996712,51.585880,On or near Nightclub,W01001687,Newport 014D,Investigation complete; no suspect identified
6873483a09a53de4da9290d382c68d34bc9afbbb66c3ad738b54eb32a3b098a5,2021-05,Gwent Police,Gwent Police,-3.029082,51.646312,On or near ORCHARD PLACE,W01001527,Torfaen 010C,Investigation complete; no suspect identified
dd31a892390f895c2cadd4a83b7f041aeaa1cfdc61f2bf52ab5f7869fe2d0340,2021-05,Gwent Police,Gwent Police,-2.836430,51.588435,On or near Motorway Service Area,W01001573,Monmouthshire 011B,Investigation complete; no suspect identified
8d605a98259fc1b9a50f47d5b8516da71a8a83cb1b30a7601d81d44eabcdafcf,2021-05,Gwent Police,Gwent Police,-3.016081,51.701516,On or near SUNLEA CRESCENT,W01001513,Torfaen 005D,Investigation complete; no suspect identified
76cf656f465a4899f8f88e2d03a8f614274c3135f752ea49871a7389bd3725c0,2021-05,Gwent Police,Gwent Police,-3.231199,51.603795,On or near OAK TERRACE,W01001367,Caerphilly 019B,Investigation complete; no suspect identified
f82677dcb045b6b29a38095d9dd33d4829d72a0042029de90df13becdce6c929,2021-05,Gwent Police,Gwent Police,-3.264697,51.672235,On or near HEOL ADAM,W01001418,Caerphilly 008E,Investigation complete; no suspect identified
0c51189a1f53a1b5b341d012dbc46ff0fcf3df8ad3163d6e4be2bf734e087e5b,2021-05,Gwent Police,Gwent Police,-3.202833,51.667966,On or near FROST PLACE,W01001348,Caerphilly 009A,Investigation complete; no suspect identified
6097e82213b5d98d05d2d65ad1a43ddaf0fef999609dba8189ba95339bd5f8f2,2021-05,Gwent Police,Gwent Police,-2.812349,51.773225,On or near Petrol Station,W01001581,Monmouthshire 005E,Investigation complete; no suspect identified
de2cfe17f7d09f6deebdea0de21e53831f705252901e50c52860273ffa7457f3,2021-05,Gwent Police,Gwent Police,-2.954895,51.609857,On or near HIGH STREET,W01001623,Newport 001A,Investigation complete; no suspect identified
877e18a9d433b484fb3d250a360f614ba4bbfb7d74c8bbc05a3f838cbb8239db,2021-05,Gwent Police,Gwent Police,-3.221743,51.664076,On or near ARVONIA TERRACE,W01001388,Caerphilly 007D,Investigation complete; no suspect identified
e598abf650ae5f1b5eebd5a804f0e9b2f1e4d6b8de1bbbb16a15b7740765597c,2021-05,Gwent Police,Gwent Police,-3.245760,51.673040,On or near TAI'R-HEOL,W01001416,Caerphilly 008C,Investigation complete; no suspect identified
d556a79f631b137d6624f475f64f1068e37997cd5c26011155fa237d6727faf6,2021-05,Gwent Police,Gwent Police,-3.227990,51.661969,On or near ASQUITH STREET,W01001415,Caerphilly 008B,Investigation complete; no suspect identified
0a6082c210fe5625b043b6f4b19e4ec2df0cc3bd288afde8d778da9b3f1cb3a2,2021-05,Gwent Police,Gwent Police,-2.943894,51.575877,On or near Supermarket,W01001646,Newport 015E,Investigation complete; no suspect identified
beec58413356493f9096aa0e178c3d9c5b7c9accc0bf0fe1fc4ef7ed7ab877c3,2021-05,Gwent Police,Gwent Police,-3.249732,51.775232,On or near WEST HILL,W01001479,Blaenau Gwent 006D,Investigation complete; no suspect identified
0b259b152ceed4dcaaebf70d178bf6080a95af83c37724abd134f383a77a6f86,2021-05,Gwent Police,Gwent Police,-2.991369,51.585089,On or near Parking Area,W01001687,Newport 014D,Investigation complete; no suspect identified
472b5e57d0232300db792ae8990c1bb29abf28f415d5d7c0c30123b6f692f71d,2021-05,Gwent Police,Gwent Police,-3.078144,51.545452,On or near Petrol Station,W01001657,Newport 020C,Investigation complete; no suspect identified
10f9e9525f700a30b444ef1ef9f3dcd759e126a3d6443ff231b56f20f146919d,2021-05,Gwent Police,Gwent Police,-3.006207,51.609914,On or near MALPAS ROAD,W01001654,Newport 002D,Investigation complete; no suspect identified
4180a551080a3815b451050f68433f0300bee51b01ee2027ca33f8826d2d8419,2021-05,Gwent Police,Gwent Police,-3.240329,51.783829,On or near GREEN MEADOW,W01001473,Blaenau Gwent 003B,Investigation complete; no suspect identified
