Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d28b63a5392dccb3d89263092a3a5e144078645c35247b9dba220792ec0429dd,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
7630fea795c603930521fea908b5cbe4389e129f10d40933321903adc86d408e,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
d677649070b4db6c142094ab3143073ddc2f699cd2d8d5709ea5dc42b87794c3,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
95b0a4c4a2001255b75c1d2f2bf32a9325fcd8ad45ffb3861e953e6afcd5a128,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
8bbf21e16357cc5156a295ebfa5b32a50c16ed25dab5361f92858784aea06854,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
c054f9f13e210bcca8b3f8367bd18233f3ec81353023afdecfbf32267c7dc76d,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
23f9ebfcaf935208d3406ee9c8ad6e1d2eb6ba36748f6a539207b4639c945236,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
f37a76e0add2be88389033ee8f6a188cfdfda811b6fa852821da2c6ae62fb6cb,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Suspect charged
a4b76218e1282b2d3640f6b9b345b37c6e0f6b30e6e037fd011970a3ecdd19a3,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
5f48dba72fe1af6db43e21c493ad184c53481ad0f138bafa62342c2fb7e32d17,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
df40608fbae37920b052eba69c1446f81f35078d8ab48ff2580b172f88613fab,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
a8c69adb12ec22d33b6f93a7a3708f9c18264b1096e59f68e1fc2b34197b6754,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
6e01bedb472127b9aea200e5f2c2efb7fdd316352669e8afccf0454711d53b08,2021-05,South Yorkshire Police,South Yorkshire Police,,,No location,,,Unable to prosecute suspect
b504420692afb5c1d5a07e0616d42fd48325219b4a8215c492736e09f5cec183,2021-05,South Yorkshire Police,South Yorkshire Police,-1.395643,53.427797,On or near FOX STREET,E01007745,Rotherham 015E,Unable to prosecute suspect
