Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
eacd178bf330f243f70eb50b8996927c8a6cfefce442a2cb79193fa6643819c8,2021-06,Humberside Police,Humberside Police,-0.058569,53.570610,On or near MANSEL STREET,E01013138,North East Lincolnshire 006A,Unable to prosecute suspect
abb0d2bd0cc70f16718ad80d84f0774dc95cd8fde395dbe90b2a4076af7df960,2021-06,Humberside Police,Humberside Police,-0.067060,53.564230,On or near JULIAN STREET,E01013142,North East Lincolnshire 002D,Unable to prosecute suspect
1b57f3e2fa6bbd878c830b7925c3120f916d72faa460c39c8bbcf5b4f2461b6b,2021-06,Humberside Police,Humberside Police,-0.682852,53.572227,On or near SCOTTER ROAD,E01013280,North Lincolnshire 016B,Further investigation is not in the public interest
f1f29f8153e41a875b555f4337ea9acc0bb4d0d69ea5118d9f698330903581cc,2021-06,Humberside Police,Humberside Police,-0.452196,53.680491,On or near FORKEDALE,E01013257,North Lincolnshire 001D,Investigation complete; no suspect identified
746a0af72895facf3d2a069ede53bfe2426dbfdb73d4bc994d3a32505153a655,2021-06,Humberside Police,Humberside Police,-0.421403,53.840552,On or near CHANTRY LANE,E01013041,East Riding of Yorkshire 019D,Investigation complete; no suspect identified
1c2c7e01fcbbabacea9cbfcae8365a12f5e1d83031c9b283c0881df15b97d075,2021-06,Humberside Police,Humberside Police,-0.368333,53.762995,On or near WILBAR GROVE,E01012793,Kingston upon Hull 014C,Investigation complete; no suspect identified
f23d4583f8990b21123d219aee5a160cefb9650dbe39ecad7283189b494d1739,2021-06,Humberside Police,Humberside Police,-0.446710,53.756728,On or near BEVERLEY ROAD,E01013110,East Riding of Yorkshire 027B,Investigation complete; no suspect identified
96e0e66c18b34a9e6c009db280feb5a60aa3d72f1d652bef3d49bbeccde225e7,2021-06,Humberside Police,Humberside Police,-0.340028,53.752898,On or near FERN CLOSE,E01012856,Kingston upon Hull 024C,Investigation complete; no suspect identified
0a2da3cd9b9d15553824a1a7b4b6f19c8f4b1a6a4adc5d440b7e2e6c8a9e0500,2021-06,Humberside Police,Humberside Police,-0.379347,53.742119,On or near MELROSE STREET,E01012864,Kingston upon Hull 027D,Investigation complete; no suspect identified
b076d8404e215ea8085050d4330a219d7d29416385eacc4ecfb72fa558273759,2021-06,Humberside Police,Humberside Police,-0.367172,53.776876,On or near Sports/Recreation Area,E01012916,Kingston upon Hull 012D,Investigation complete; no suspect identified
e7e8bcab06d7a07eeee1628fffc0b9ba18bef64501c614aea97a78f1429e4798,2021-06,Humberside Police,Humberside Police,-0.572955,53.728140,On or near PRESCOTT AVENUE,E01012973,East Riding of Yorkshire 032D,Investigation complete; no suspect identified
23125a3a792611f7afc203c3e06279bb702a973e49e857316ba1de33ead9dc8d,2021-06,Humberside Police,Humberside Police,-0.095870,53.567308,On or near HAYCROFT AVENUE,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
8e940c96fe5a191f3f31b549b852e1f386aaece432d2302a8372715fc4585916,2021-06,Humberside Police,Humberside Police,-0.634232,53.575691,On or near HOLGATE ROAD,E01013311,North Lincolnshire 015C,Investigation complete; no suspect identified
51a07fca560fe41ab10965cea8c0556c5f2407003eb0568cad7b379adf005d43,2021-06,Humberside Police,Humberside Police,-0.072819,53.548825,On or near Sports/Recreation Area,E01013164,North East Lincolnshire 012D,Investigation complete; no suspect identified
26301407bee91f0776cccb23c82be8c5f87e77a683be6c48165f37b8677b0445,2021-06,Humberside Police,Humberside Police,-0.085106,53.563217,On or near RAILWAY TERRACE,E01013187,North East Lincolnshire 008A,Investigation complete; no suspect identified
