Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8c888b960570a53660e8a376a23b8c032200b55fd8ae6bd966b38a1fb13ce048,2021-07,Suffolk Constabulary,Suffolk Constabulary,1.737785,52.495196,On or near LYMM ROAD,E01030281,Waveney 002E,Investigation complete; no suspect identified
5907364ed7e130670c65166ffa7172b004257082bde576307753f7d70c9eae3b,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
c593362cb57b65ed7461aee26eca562785056b55f88c5e1b7d9cdb2417669f30,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
78e92283bc7002f88968bf928caa2d47ec0bf9b51e5f403cdb281aec45fb9a8b,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
f0c97e6fa9a27fe2910250b693ffa7fd2b04f6d4e0cb1ff0c6d1b47b15dd46d3,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
6567e6c7ba1590d2364e24d216311789281b4c202967a7e0e0d26235cd9803a7,2021-07,Suffolk Constabulary,Suffolk Constabulary,1.200836,52.171631,On or near B1077,E01030057,Mid Suffolk 007B,Unable to prosecute suspect
0cee754e2ff1ad614ce44fcbab0cd0717f7f692bc2c30fa2f55baa9fb74b2aa5,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Action to be taken by another organisation
064372321ec55aaeae0f389df72406617805ba5e179caf80b309f58238a816b6,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
9c560508449949d250d5058fceb23911e5387c11041c4e6695dcf4a755898650,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
55f3790343cf4a05e84fc55c6ca284aac1f3a1974d87b3d017caa921a725453c,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
86e98f6b135ce51e0e717eea0d16ef203ed66b28c36a1dc071b00299a3790724,2021-07,Suffolk Constabulary,Suffolk Constabulary,0.002841,51.485880,On or near CARADOC STREET,E01001668,Greenwich 036C,Unable to prosecute suspect
a5ece63837a0feac3f0bcd31684d990a743a09ea198d1fd46b4a0942f00ac9f4,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
ea213d4ca256bfc154b0d82e982d7573f23f452b19f98d516dff45fb2a452951,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
319fe12bb2c49afde90881363f96c5b00f80eec6ad38d69f158e8a57f0785240,2021-07,Suffolk Constabulary,Suffolk Constabulary,0.705717,52.276157,On or near PARK AVENUE,E01030103,St Edmundsbury 004A,Unable to prosecute suspect
986db0c7b764072bb354bfd2f00cb178c92202f9b5f49a60f9e474e533a53cc1,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
eb28658375206615b57c80b7da63a0562fcca8a2c6c6410c2d45d6bae599cca6,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
a1404dd4e3d7339436f1af3b887ca06d85b16a8ea890f6bc62dc5c6f1c4e45b5,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
ce9db26d924d060203386eaf706d617d000241b4f66d7a0671a29ab3a1a8079b,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
24d1bd422435656c8a9c87dd7bbc8200646504477a04e350a807cb58d6cdcf27,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
3a6ae3fa694ef5c2e8ea9f0e5904c655d3b445fdb4739fc567639e60b50244ed,2021-07,Suffolk Constabulary,Suffolk Constabulary,1.196869,52.048333,On or near TEMPLE ROAD,E01029966,Ipswich 009D,Unable to prosecute suspect
c765e078190ac43bcb9880a099b7d65eb1b01c51798feba8612056a916f148d5,2021-07,Suffolk Constabulary,Suffolk Constabulary,0.733968,52.041949,On or near UPPER EAST STREET,E01029912,Babergh 007A,Offender given a drugs possession warning
ddeb4b3dd39f50ce3ebae99ae046d2f623f808d0133fbeb381e014409d0448ef,2021-07,Suffolk Constabulary,Suffolk Constabulary,1.725644,52.458476,On or near CADDIES WALK,E01030274,Waveney 008B,Formal action is not in the public interest
ac12b9e104686b87de0717333ac45bee5662e02d2cbfadf18e7c337e100b0df6,2021-07,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
