Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a80a66845de3012f4103d2267a807a68deaf558b768ae00c937f21ac2b06cdb9,2021-08,Bedfordshire Police,Bedfordshire Police,-0.518419,51.886271,On or near CHURCH CLOSE,E01017570,Central Bedfordshire 029E,Investigation complete; no suspect identified
8dd89cca84325a165a5ea8ceea475db6b02d880b26b87b32ef684591ba507054,2021-08,Bedfordshire Police,Bedfordshire Police,-0.474214,51.906108,On or near HELMSLEY CLOSE,E01015749,Luton 005A,Investigation complete; no suspect identified
99bd516f60c85671cebedfe6c4717e6a8cfd3bdfc834c3086dedbb173994b58f,2021-08,Bedfordshire Police,Bedfordshire Police,-0.207354,52.131797,On or near JUDITH GARDENS,E01017426,Central Bedfordshire 003B,Investigation complete; no suspect identified
81badf777db30b885c961b86cd03e32e3de0e15b20d838dd6ed31cb3cd400e62,2021-08,Bedfordshire Police,Bedfordshire Police,-0.668903,51.916977,On or near Petrol Station,E01017557,Central Bedfordshire 021C,Investigation complete; no suspect identified
384479a9f210a6cf66664b9ffed2834cbfd3c0f8be1536a00b5f719f66ed0739,2021-08,Bedfordshire Police,Bedfordshire Police,-0.475446,51.893311,On or near LEWSEY ROAD,E01015713,Luton 013A,Suspect charged
24ea8b7c2ae0169f390d91f24b108bc707b2f5735c2a7daa9130acd5c9fa58dc,2021-08,Bedfordshire Police,Bedfordshire Police,-0.475446,51.893311,On or near LEWSEY ROAD,E01015713,Luton 013A,Suspect charged
cb117b11cd95599a0748b088eddec7be2422ae7d7db90a1597343a249fb93feb,2021-08,Bedfordshire Police,Bedfordshire Police,-0.471383,52.138572,On or near GWYN STREET,E01017471,Bedford 012F,Local resolution
fb765f400f20389d65b86cf8543d6678bed6d6786df2e3a1eed6487fca29a320,2021-08,Bedfordshire Police,Bedfordshire Police,-0.657472,51.914132,On or near Petrol Station,E01017555,Central Bedfordshire 021A,Investigation complete; no suspect identified
d86c736b70133d773e0c8c5bb9e00bb0124556d76099708f2f4f2b78e377a543,2021-08,Bedfordshire Police,Bedfordshire Police,-0.458245,52.128861,On or near FENLAKE ROAD,E01017522,Bedford 014E,Investigation complete; no suspect identified
7d0a45b6f7d9a336b2c7b922abfb88f478eb834e78bda445e3396dbd0e3d7760,2021-08,Bedfordshire Police,Bedfordshire Police,-0.463162,51.897261,On or near COLLINGWOOD CLOSE,E01015716,Luton 011D,Unable to prosecute suspect
1495f1a278e32b3519f142fcebe63396735e0dceb862f8101a781ff643721a4c,2021-08,Bedfordshire Police,Bedfordshire Police,-0.454961,51.893134,On or near FULBOURNE CLOSE,E01015711,Luton 011A,Unable to prosecute suspect
36909bed456b7a319319cdd3c4b9b67e9a624f99d41097b93880ba5747398d20,2021-08,Bedfordshire Police,Bedfordshire Police,-0.461695,52.137286,On or near NEWNHAM STREET,E01017469,Bedford 012D,Investigation complete; no suspect identified
c9b3cf79a60741807755403e4c860cea0e520d78629ef4d161c8604eb3355be6,2021-08,Bedfordshire Police,Bedfordshire Police,-0.420495,51.880124,On or near ALMA LINK,E01015794,Luton 018F,Unable to prosecute suspect
6472c2c82e75acc0fcd7d4e8c629d3a172e240225dc4f7d65f54e282a433f66b,2021-08,Bedfordshire Police,Bedfordshire Police,-0.449684,51.903333,On or near STANMORE CRESCENT,E01015767,Luton 006D,Unable to prosecute suspect
c5abcc3c2c4fca6aa76e7ab736d9eb9f8b07d0ad814185a376bd0d1377db5d54,2021-08,Bedfordshire Police,Bedfordshire Police,-0.416048,51.912389,On or near CHALKDOWN,E01017616,Central Bedfordshire 018D,Investigation complete; no suspect identified
2517f05c4f4d864dc4634cfe0a6f006ba3e276c42089a9e834862696e9e628c7,2021-08,Bedfordshire Police,Bedfordshire Police,-0.440586,51.887334,On or near PORTLAND ROAD,E01015726,Luton 015B,Unable to prosecute suspect
4ec2eeb63ef748aa7fd0c5c93dd3c103aec92b89857e6207eb30f7ed7a77e255,2021-08,Bedfordshire Police,Bedfordshire Police,-0.406423,51.871311,On or near ALTON ROAD,E01015790,Luton 021B,Local resolution
ffb83ba274c2d087faa81674ff83bde7d654ec6c4a279bc9d6e3f5c43dce6836,2021-08,Bedfordshire Police,Bedfordshire Police,-0.450342,51.885457,On or near BILTON WAY,E01015728,Luton 019B,Unable to prosecute suspect
9fa19ea3986f925d73179c7f8a9bf1ae9c3293eb4d9d26ff15bb3422e8a48c90,2021-08,Bedfordshire Police,Bedfordshire Police,-0.424653,52.140610,On or near BRYONY CLOSE,E01017527,Bedford 011D,Investigation complete; no suspect identified
86f8637163c119563d795f2d0d26c48c5b6dab508660e5d50fb6ad9680080a3c,2021-08,Bedfordshire Police,Bedfordshire Police,-0.413020,51.908797,On or near HANCOCK DRIVE,E01015696,Luton 007D,Investigation complete; no suspect identified
864621ae5fa66ffd8951a4830b16badb7c020b705e4a26702f6aa70a94daa92a,2021-08,Bedfordshire Police,Bedfordshire Police,-0.439963,51.888099,On or near MEDINA ROAD,E01015726,Luton 015B,Investigation complete; no suspect identified
a338c3a76fe79beb357ce8459fdb2abc5ab51a50ebe4f721dee8466e917b7c89,2021-08,Bedfordshire Police,Bedfordshire Police,-0.416732,51.887986,On or near ARNCLIFFE CRESCENT,E01015740,Luton 012A,Unable to prosecute suspect
3205d0046a692f4d8396367b515453b759bed190030b42b6ebc0ca5e80a24083,2021-08,Bedfordshire Police,Bedfordshire Police,-0.554388,52.040796,On or near GREAT FARM CLOSE,E01017416,Central Bedfordshire 009A,Suspect charged
a3a7fb406ac11e4353055cc268bc73f9618dc109dbe661ced38cb1b4ea06824b,2021-08,Bedfordshire Police,Bedfordshire Police,-0.388735,51.882580,On or near HARROWDEN ROAD,E01015723,Luton 016C,Unable to prosecute suspect
019008b9988a341f796542d296abc4372017ae17328dd867cf1cb6f6581d0471,2021-08,Bedfordshire Police,Bedfordshire Police,-0.535075,51.884358,On or near FRANKLIN ROAD,E01017596,Central Bedfordshire 028C,Unable to prosecute suspect
b2b8c0f179fbcee4987ad7fb6306b1358f8a21bbbccc6ea28a1fffe972562377,2021-08,Bedfordshire Police,Bedfordshire Police,-0.421907,51.881303,On or near LIVERPOOL ROAD,E01015794,Luton 018F,Unable to prosecute suspect
d26c5a16ba641b2802bd2efb08101f49d686b4c779e3f74ec84a611cb24545fc,2021-08,Bedfordshire Police,Bedfordshire Police,-0.433771,52.131056,On or near Park/Open Space,E01017527,Bedford 011D,Unable to prosecute suspect
ceee38d28d323fd972a28cacca0ed97107d15b6b8be93d8d548f3913612c4a47,2021-08,Bedfordshire Police,Bedfordshire Police,-0.526033,52.096973,On or near Sports/Recreation Area,E01017551,Bedford 020A,Unable to prosecute suspect
68f4bcb71cbd8eec58efa430da2f5ef2541c4f2aad6111cede77449ece526201,2021-08,Bedfordshire Police,Bedfordshire Police,-0.414197,51.879077,On or near Parking Area,E01015794,Luton 018F,Investigation complete; no suspect identified
ac35ab708129f2462a0c0730561a4d78edb9252f4846dd77a54413d1bfca1ece,2021-08,Bedfordshire Police,Bedfordshire Police,-0.668671,51.922360,On or near BOSSINGTON LANE,E01017590,Central Bedfordshire 022B,Unable to prosecute suspect
