Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ecc51d3a10b5be1eda3965afd5ca9ad8df55ac0f64c8c160b451de0f112bb058,2021-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
f77f6d9c70d7ab9dd1f8f358909a0d16b9b99c52fb78fdbe69db0d198c24a536,2021-08,City of London Police,City of London Police,,,No location,,,Formal action is not in the public interest
e59f88bdb8a9ed2aaf1f4e001049ac4399f5672ceceac5242d1eec406045224c,2021-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
89af0a279789e16c35094be32e167963ec8f8c08f965587a728c1972cb23fd21,2021-08,City of London Police,City of London Police,,,No location,,,Action to be taken by another organisation
88fedc31c2268c7ea028d5389cf7b3f36db53dd126a86a9f73dfdacdd40148b8,2021-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
98ea798127dd396ceaa8d5ee45c8bb9b7ab9ffb83e2add0551607e3f1073dfb8,2021-08,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
ed15ac640e2dd8ab949978d69da2d23c2f40e1af3e8513ed394e573284f5086c,2021-08,City of London Police,City of London Police,-0.102741,51.513885,On or near PAGEANTMASTER COURT,E01032740,City of London 001G,Investigation complete; no suspect identified
349ec1f73703a927165876fb6e5239ed2e1077be4a6c9ab729596f1feb49fb45,2021-08,City of London Police,City of London Police,-0.073515,51.510414,On or near Parking Area,E01000005,City of London 001E,Investigation complete; no suspect identified
059dadc0e6e36687648a1d4086109f3b74fbdb2534a06dad849a59f219c21842,2021-08,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Investigation complete; no suspect identified
ef6bfe6d3d872956df348e62ecfef1882eb6e06c53d9900e1f3ee672429f32d7,2021-08,City of London Police,City of London Police,-0.090506,51.513524,On or near POULTRY,E01032739,City of London 001F,Investigation complete; no suspect identified
