Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5d5da720ab6dca8b03104bb956222b876746d2065f91c791f19de3273e88351b,2021-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.460406,53.293015,On or near POPLAR CLOSE,E01019785,North East Derbyshire 006C,Investigation complete; no suspect identified
a891cdd51db04c81e39c2809babdd948b4b3f5c17c886fd7a672b0f8819adcaf,2021-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.457455,53.255932,On or near WYTHBURN ROAD,E01019541,Chesterfield 004A,Investigation complete; no suspect identified
d7584793f8add6461cead98aa967e1bccd5df0203db68242a59d3045baa74cbc,2021-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.427101,53.229030,On or near ASKEW WAY,E01033387,Chesterfield 010F,Investigation complete; no suspect identified
0a300a1a203256a2a84484da8c1a0889696720850f2b2e664e1261791c58cf8e,2021-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.307411,53.190919,On or near BRAMLEY ROAD,E01019520,Bolsover 008C,Investigation complete; no suspect identified
f608e12ccd045c7ae712f295d9bc2575b6b5f7ef8c21d7dcc84c60862a6e206b,2021-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.456402,53.231342,On or near CHAPEL LANE WEST,E01019591,Chesterfield 009E,Unable to prosecute suspect
dfa723c3c2fe72d1826ca4991bf52c86f8d1c161b2de106b97dc4f929760467c,2021-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.455503,52.889201,On or near LORD STREET,E01013497,Derby 026B,Unable to prosecute suspect
4fa4d2038a55d1738b6f28cbc77ec29c4d014f50d70c7f83f78ec157a2b058de,2021-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.440164,52.898532,On or near MOSEDALE CLOSE,E01013471,Derby 025A,Unable to prosecute suspect
46fd392cb7db76e4658fd4c4a36405f56492cd278fcf6235550c7dd575fdab12,2021-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.950670,53.443831,On or near RAILWAY STREET,E01019739,High Peak 003B,Unable to prosecute suspect
36244d7cc82eaf11f443f099fa9a040bcefeb80ee10e8ff0b2e232827b08c81c,2021-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.539307,53.143213,On or near ASKER LANE,E01019628,Derbyshire Dales 005F,Investigation complete; no suspect identified
dda4acc0fccbdec291d393fe4a5283ac5141a087e93901828cc651c53f4fc23f,2021-08,Derbyshire Constabulary,Derbyshire Constabulary,-1.538103,53.138399,On or near OVERDALE,E01019625,Derbyshire Dales 006D,Unable to prosecute suspect
