Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
705e95a1703e3f80e9fb696ab88d9541a4f8df928e0c6a49c133090d34584e96,2021-08,Essex Police,Essex Police,0.232047,51.482568,On or near HIGH STREET,E01016014,Thurrock 015E,Investigation complete; no suspect identified
c1c8d650ff64ebba24086810bef542f6eb5aa476607bbaa0f288efbc7b7601da,2021-08,Essex Police,Essex Police,0.324544,51.475203,On or near HAWKES CLOSE,E01015954,Thurrock 017D,Unable to prosecute suspect
e762da6e5ac7cf7a8b7a5739d81e1eece8b5967916dd340ce855bce3f4d5a189,2021-08,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
a2a765b5d8bbf04db33564c1d56bc9822966d41320d5087eb9b7263a78ac97ba,2021-08,Essex Police,Essex Police,0.904659,51.888912,On or near Parking Area,E01021648,Colchester 007C,Unable to prosecute suspect
f9a62184bd459d7735a4d44f9a2ce68b312456994b770f2a6e8b355bd33222e6,2021-08,Essex Police,Essex Police,0.293958,51.522291,On or near NICHOLAS CLOSE,E01015971,Thurrock 006B,Unable to prosecute suspect
f880d0f8376fa8700845bd127ac2ebac8f09a1c5fcafc446007268e31d799329,2021-08,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
67c7f4956d0cd8f441eea75fe296fde12b225e10fb700286e3881a40ca5ac392,2021-08,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
b30fac6debffbff60b3ab69d5d44fa2a4ea22fd7494d248ac1157c792093f040,2021-08,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
84d2388c3e0d7183d4f53d7b8046d7ce4d78ca744556e8d0262ebef8917dc91d,2021-08,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
2e5c5d1f3f86aac90f0ac0e266a124b7a280aa08ab34095333f9419ee49f0d80,2021-08,Essex Police,Essex Police,,,No location,,,Investigation complete; no suspect identified
4596d0ea0a4dc6c046173b2fd2949b698dc2947763aa251a20604e409ff86799,2021-08,Essex Police,Essex Police,0.484843,51.564159,On or near NORTH CROCKERFORD,E01021323,Basildon 019B,Further investigation is not in the public interest
bd213d8f540b464eec1c9f048d293e032f5f5a274e9b0610395cd9dda5df5cfc,2021-08,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
96b7ca15e116d9d335676a9e2407f5099dee68851843ce5b124df3efe59cd849,2021-08,Essex Police,Essex Police,,,No location,,,Unable to prosecute suspect
95f259e7b329c66720594177883f169965aed84e66c7fd03a8bc1ebb3270d981,2021-08,Essex Police,Essex Police,0.287136,51.510131,On or near DART GREEN,E01015976,Thurrock 007F,Unable to prosecute suspect
