Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3e9e5cb80d0bbfc193f2d2fb17bc4927ce70df61baa2a79bb9a81de11470e32f,2021-08,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
209c70a088afd26e14e1aa35e234f4388bc002157462727d1e61a040f4d3f7d6,2021-08,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Offender given a caution
d0a5b360f2852a73a857de81bd171a41d271ab69ed598d1f35e99fcf1193d579,2021-08,Nottinghamshire Police,Nottinghamshire Police,-1.204951,53.144597,On or near LAYTON AVENUE,E01028247,Mansfield 008C,Unable to prosecute suspect
5c9a2fb4ff41481abea25907f15c873af507ab210802199ec27c901ad519dde7,2021-08,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
cd85c457f3e98564db4a6bd9d063496c0c6093a80d19fdbc29fc560811ee4fde,2021-08,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
849f0bb95e03ff73d9f331b3d5de41fe7751de0c0a6f60f0f7c32101d55a5878,2021-08,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Unable to prosecute suspect
d5ea4cbf455130fd1b3195fd2717d16eba53c530983ea832e9b44420f04a5ae6,2021-08,Nottinghamshire Police,Nottinghamshire Police,,,No location,,,Investigation complete; no suspect identified
049f2ac6a56992743dc0bf55c2fe95d02332fc821c6cbe7f52fabc0fe3bcfa97,2021-08,Nottinghamshire Police,Nottinghamshire Police,-1.142980,52.953539,On or near Nightclub,E01033406,Nottingham 039E,Investigation complete; no suspect identified
6a54c85c6a3757b2de7cea3546f279c0b1e0e5213581f1d566505a1406d76e60,2021-08,Nottinghamshire Police,Nottinghamshire Police,-1.181108,53.139698,On or near Petrol Station,E01028233,Mansfield 009A,Investigation complete; no suspect identified
9b071e8e51a44915fc9ea8660a0c6da3ea0c549bc1caa7df99b746527c1aeeea,2021-08,Nottinghamshire Police,Nottinghamshire Police,-1.115442,53.307379,On or near Parking Area,E01028068,Bassetlaw 012D,Unable to prosecute suspect
be7224a7b34b8076ef16cb5a24c049b53478766d8a4d0ad501deeec9862a7cc7,2021-08,Nottinghamshire Police,Nottinghamshire Police,-1.168405,52.946447,On or near CECIL STREET,E01033408,Nottingham 031H,Investigation complete; no suspect identified
26bd81296a9b541144e96678168bb7f3fedd725d6ab3719bea15490899def426,2021-08,Nottinghamshire Police,Nottinghamshire Police,-1.116172,53.011945,On or near KAREN RISE,E01028207,Gedling 004D,Unable to prosecute suspect
19fae43e66030fc6ec38dd5f5731cc41172a333165be0fa9f9123005a9f62b65,2021-08,Nottinghamshire Police,Nottinghamshire Police,-1.268831,53.134300,On or near COWPES CLOSE,E01027964,Ashfield 005A,Investigation complete; no suspect identified
0d531f6689a8c022153f742bf2414cb28cddc02c2f2f2092159a2b75b06a845c,2021-08,Nottinghamshire Police,Nottinghamshire Police,-1.150681,52.995035,On or near ALDERTON ROAD,E01013964,Nottingham 007B,Unable to prosecute suspect
e516f097b3a582821f69a02b40c7778360bda0164881e3f867897187c9ce2b31,2021-08,Nottinghamshire Police,Nottinghamshire Police,-1.155441,53.312532,On or near CECIL CLOSE,E01028056,Bassetlaw 009B,Local resolution
e54deef08c5ac0c05c21f75f3e57077f7224db04d6d568b3fc5614deba85e3ad,2021-08,Nottinghamshire Police,Nottinghamshire Police,-1.007061,53.203583,On or near SHERWOOD DRIVE,E01028341,Newark and Sherwood 001F,Investigation complete; no suspect identified
855caa40963d084abe8a4eeff3d8b1e09ddb27bef19b3049d235f6ac2a34fb8b,2021-08,Nottinghamshire Police,Nottinghamshire Police,-1.150160,52.963101,On or near ALFRED STREET NORTH,E01013961,Nottingham 023D,Investigation complete; no suspect identified
