Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
aeb4f956c662f8dacd49faef4c4737c14bda9db90a5b131a6a58a1aa7d18facb,2021-09,North Wales Police,North Wales Police,-4.641640,53.310504,On or near MAES CYBI,W01000030,Isle of Anglesey 003D,Unable to prosecute suspect
3298a17ae183dc4209ade39ac5adaa567167c6fcc72f9e3569f271ef03770f68,2021-09,North Wales Police,North Wales Police,-3.080043,53.163258,On or near HILLSIDE CRESCENT,W01000262,Flintshire 017C,Investigation complete; no suspect identified
d0ec3c1f85896bd1ea798ab349293f356f75a0723a5f84a9899d4d61713eb2be,2021-09,North Wales Police,North Wales Police,-4.634271,53.309561,On or near Parking Area,W01000016,Isle of Anglesey 003A,Investigation complete; no suspect identified
ade7680199df161ed4ae7af66fdba624c8ff4fc8c82c2f43b2e3128c0381816a,2021-09,North Wales Police,North Wales Police,-3.220262,53.272510,On or near HEOL HELYGAIN,W01000304,Flintshire 003E,Investigation complete; no suspect identified
ffe1b3176d4207ff59163730c1d17445ac84652d75045162838f7817ed2a25e9,2021-09,North Wales Police,North Wales Police,-4.250947,53.054523,On or near NANTLE ROAD,W01000112,Gwynedd 008D,Unable to prosecute suspect
559abd71557ac89975e7b93e39628a32d3917d6d932ba63f0d52933cfd9107a3,2021-09,North Wales Police,North Wales Police,-4.544549,53.258453,On or near Park/Open Space,W01000024,Isle of Anglesey 007E,Suspect charged
a70d8fb818b1fe7d98e093dad2bd197aaf2e4203355c090f7e4f7f40f680ff5e,2021-09,North Wales Police,North Wales Police,-4.544549,53.258453,On or near Park/Open Space,W01000024,Isle of Anglesey 007E,Suspect charged
3b237e25242c48a06f42e0bb255cba29721fd3c11f0e85c2e29444d652d98f1e,2021-09,North Wales Police,North Wales Police,-4.544549,53.258453,On or near Park/Open Space,W01000024,Isle of Anglesey 007E,Suspect charged
f324791fa98de2cb1db5c2b25766a2aea8f7cf12ea652dc5561c3a80d2a80db3,2021-09,North Wales Police,North Wales Police,-3.029892,53.075822,On or near WHITE LION CLOSE,W01000378,Wrexham 004B,Suspect charged
f630237a5aeb89e5c8d6f4d9350890439cdba6dc979913954f3da89971416927,2021-09,North Wales Police,North Wales Police,-3.086775,53.172771,On or near OCHR Y WAEN,W01000264,Flintshire 012A,Action to be taken by another organisation
42ed31b400bb9ff92e77ca84e8e7e130ea92e789999eac2b3527a6b280e79c4e,2021-09,North Wales Police,North Wales Police,-2.996083,53.046122,On or near STRYT YR ALLT,W01000350,Wrexham 011B,Unable to prosecute suspect
330880684e613d5d8a6689eebd0d925618fc2a85aa8878e79c0a4901a4c080b1,2021-09,North Wales Police,North Wales Police,-3.724758,53.291566,On or near GROVE PARK,W01000143,Conwy 007B,Unable to prosecute suspect
ba33816ac7cecdc99452db713f12c0e791b40fb25909db103e80e58b50fbbc68,2021-09,North Wales Police,North Wales Police,-3.740075,53.310330,On or near Supermarket,W01000156,Conwy 004B,Unable to prosecute suspect
149b54a721d49828b77cda9f34e67e734b022bbd94ba56504e864bb7134cbd2a,2021-09,North Wales Police,North Wales Police,-3.122404,53.244643,On or near Petrol Station,W01000293,Flintshire 004D,Unable to prosecute suspect
dbcb650b25b350418f27dedb236dd18be09ad8c454f3e4d542d04ec6a7649142,2021-09,North Wales Police,North Wales Police,-3.776639,53.314295,On or near PLAS TUDNO,W01000175,Conwy 003D,Unable to prosecute suspect
74ba08d88f9c47f66c5b5931f1ed1f86e40d127040aec298bb9b1ec5ced5664c,2021-09,North Wales Police,North Wales Police,-2.992464,53.045091,On or near STRYT FAWR,W01000372,Wrexham 008C,Investigation complete; no suspect identified
1e91c63f0cffd83984243ca60a4b10ff5ab4597c1b24e7638e25a60a43da31da,2021-09,North Wales Police,North Wales Police,-4.544549,53.258453,On or near Park/Open Space,W01000024,Isle of Anglesey 007E,Suspect charged
656313bd17bac522eba8dd26c919ab6e2a4c167a7b35ee273176646011c0a4fb,2021-09,North Wales Police,North Wales Police,-2.981999,53.040791,On or near RUTLAND ROAD,W01000424,Wrexham 012E,Investigation complete; no suspect identified
fc402d0ca528d83c6b53930f301351902fc3b77883204d464c2ff835e1b83d21,2021-09,North Wales Police,North Wales Police,-2.996495,53.047170,On or near STRYT Y DUG,W01000372,Wrexham 008C,Suspect charged
5193f2b001fdd28147f76881504c1c679e2b2c3205505a3b6a95fdd3236c1e47,2021-09,North Wales Police,North Wales Police,-3.237070,53.280220,On or near MOORFIELDS,W01000306,Flintshire 002A,Suspect charged
6a62eb9c1758a8f336b876940e406feff13e26c76477e45a68b6621a46b8ca7f,2021-09,North Wales Police,North Wales Police,-4.201479,53.166198,On or near STRYD GANOL,W01000052,Gwynedd 004A,Unable to prosecute suspect
64d2243d639d789f8623794ea94ad18fe9c9afb844705319257ef8073ece79d1,2021-09,North Wales Police,North Wales Police,-3.066278,53.221606,On or near NEW UNION STREET,W01000278,Flintshire 007D,Investigation complete; no suspect identified
c242c6b509d35661e47ceefad1089c534f1b99e769d09eeb53c48664975b418a,2021-09,North Wales Police,North Wales Police,-4.195351,53.155765,On or near FFORDD CRAWIA,W01000053,Gwynedd 004B,Unable to prosecute suspect
