Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
15905f1afcd2bb4f35fc689a62ca5421d2a08d627b18438d7cdf3e6621369168,2021-10,Gwent Police,Gwent Police,,,No location,,,Formal action is not in the public interest
07c6ba13060b7af903867c83089c84b820b414ea17d5f5626db385f1ef494fea,2021-10,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
dd41ff4e60cc1a6f4d2c33041fa436475fac900ef62b08e260587c400ac127e5,2021-10,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
81d2067c2a6b45fab4cc2582c08ff6c65c0175a0725921a0ed9caa8b28f82874,2021-10,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
4e3f37f1e5dd6a59f05d58600589ff79508c2ad706d993db31852e769c145327,2021-10,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
4b93a1e42c027bd7580f78bfa925a1c67b9b7fa6c615fe2303561c555e8d0f8e,2021-10,Gwent Police,Gwent Police,-2.984676,51.591943,On or near CAMELOT PLACE,W01001692,Newport 011E,Investigation complete; no suspect identified
cb72c91c5cad3a0d86224dda5ebedee8945bdba7aae3debe57993c416709fb3d,2021-10,Gwent Police,Gwent Police,-2.997530,51.586979,On or near WATERS LANE,W01001685,Newport 014B,Investigation complete; no suspect identified
c08cad4312923f61e15ff8cafd2a81d64dc8b7ad4778c19e5df11b4c5080f82f,2021-10,Gwent Police,Gwent Police,-3.024918,51.677612,On or near GLENCOURT,W01001517,Torfaen 006D,Investigation complete; no suspect identified
fd7880fed383f75d328a2cd0688d7b9da5ebfcc833edb6fabae56476a91b76a6,2021-10,Gwent Police,Gwent Police,-2.934431,51.595743,On or near HOWARD CLOSE,W01001663,Newport 008C,Investigation complete; no suspect identified
9271258a93bd5fe3577deaf718b0d4a1ffe464bd6e166166e3fb2ded64d33248,2021-10,Gwent Police,Gwent Police,-2.992661,51.578802,On or near CHARLOTTE STREET,W01001662,Newport 018D,Investigation complete; no suspect identified
07f7e0af7a6511370fccca845fc45800b47fcc4cc9a93a5d21de69432d59b8b3,2021-10,Gwent Police,Gwent Police,-2.971517,51.590892,On or near EVESWELL PARK ROAD,W01001612,Newport 011B,Investigation complete; no suspect identified
665d9f1ffb565bfeb8d7616730e3bc973e8e969fc6770060c3aaace81b3aa82b,2021-10,Gwent Police,Gwent Police,-2.989130,51.575711,On or near COURTYBELLA TERRACE,W01001659,Newport 018A,Investigation complete; no suspect identified
98861bb8befca8b5ac1a780b5512585d723f0ba9a16283455e5672db583a5bff,2021-10,Gwent Police,Gwent Police,-2.993072,51.581765,On or near CARDIFF ROAD,W01001687,Newport 014D,Investigation complete; no suspect identified
50b8d92769f1d46545288d22b688e56af31cc57cf9262cad97f205c95f14be27,2021-10,Gwent Police,Gwent Police,-3.214489,51.777670,On or near BRON-Y-DE,W01001459,Blaenau Gwent 007D,Investigation complete; no suspect identified
985f741c3937ca2bb31a2f88d16368dffd75faf8baa6b80f8e36823d65ba9489,2021-10,Gwent Police,Gwent Police,-3.288823,51.766574,On or near WARMINGTON PLACE,W01001428,Caerphilly 001E,Investigation complete; no suspect identified
8f93d6672e4f0070da63582dfc9f9d2ac1941dd30ae47688017a64db74355a37,2021-10,Gwent Police,Gwent Police,-3.046471,51.578577,On or near RUPERRA CLOSE,W01001637,Newport 016B,Investigation complete; no suspect identified
65cfc3f549b48328493b7e28cda26800a94d0c7da08ee1c8fdfe1e660d6e6560,2021-10,Gwent Police,Gwent Police,-2.998208,51.594859,On or near QUEEN'S HILL,W01001681,Newport 006B,Investigation complete; no suspect identified
f0c2a8f7bee2465aa7e80e6c9cba4441c7ff5bd6006980713f5c33b9a283f0dc,2021-10,Gwent Police,Gwent Police,-2.688788,51.734758,On or near GREENBANKS,W01001595,Monmouthshire 007F,Investigation complete; no suspect identified
22a791b9dc1ee5252498fd0cd90c76578e392df3eb2a13d7f8a152630e4a9205,2021-10,Gwent Police,Gwent Police,-3.008879,51.657457,On or near WOODLAND ROAD,W01001495,Torfaen 008C,Investigation complete; no suspect identified
937e0c31c23771dee79596b506b04cba89b7693f841120b1d8c143a5a2febfc1,2021-10,Gwent Police,Gwent Police,-2.995998,51.586227,On or near SCHOOL LANE,W01001687,Newport 014D,Investigation complete; no suspect identified
ed974944336bcfb7081182b5b027b7307f36380170d5c34db34ef00bf134ebb1,2021-10,Gwent Police,Gwent Police,-2.932258,51.596777,On or near CUNNINGHAM ROAD,W01001664,Newport 010A,Investigation complete; no suspect identified
59e784236fcbf8d0420b7cfc028bc93a9ee5f8237dcf6a069f871e016d2b5eec,2021-10,Gwent Police,Gwent Police,-3.206907,51.776525,On or near Parking Area,W01001460,Blaenau Gwent 007E,Investigation complete; no suspect identified
6558d704795ed6d75cf58c61e001d6e14879de449a6dc68d4947a8b85803c02d,2021-10,Gwent Police,Gwent Police,-2.918729,51.583144,On or near TENNYSON AVENUE,W01001649,Newport 004D,Investigation complete; no suspect identified
ea9e4c1f8f085e2abe2c7ed7970fda996cec70663243a57ffc306f852abc555d,2021-10,Gwent Police,Gwent Police,-3.088186,51.602475,On or near TY-ISAF CRESCENT,W01001413,Caerphilly 017C,Investigation complete; no suspect identified
e4910ee3f38f7127dce293a5bd4b66b55e31b08adaca45f7b6e96ba56dfa7d00,2021-10,Gwent Police,Gwent Police,-3.195638,51.673156,On or near PARKLANDS,W01001347,Caerphilly 005C,Investigation complete; no suspect identified
da8c0ae4d85fbcaf51b7174725184435d64d8233724f46acc50afbd4c1c793b1,2021-10,Gwent Police,Gwent Police,-3.190351,51.593355,On or near BRYN CLOSE,W01001341,Caerphilly 020B,Investigation complete; no suspect identified
3ffdc40a8f60b77271b6097c02be5549d1abb4d7866c1abc3d5a571eaa739569,2021-10,Gwent Police,Gwent Police,-3.185528,51.797576,On or near TWYNCYNGHORDY PLACE,W01001447,Blaenau Gwent 002B,Investigation complete; no suspect identified
b545781051dc2e865824c724106b9172dc91730f380d3057c8b24cae53c45736,2021-10,Gwent Police,Gwent Police,-3.243051,51.637488,On or near PEN-Y-CAE,W01001434,Caerphilly 013F,Investigation complete; no suspect identified
9b2ddbc621b50c6a5c3f7c388e4ca68df21f8e03d4e00ea8824674f1c9f39a29,2021-10,Gwent Police,Gwent Police,-2.998367,51.578411,On or near CARDIFF ROAD,W01001686,Newport 014C,Investigation complete; no suspect identified
26d8a0307c2f69d4ec5829e60c455549e4396b94814c0f1c707ae80b014d82d5,2021-10,Gwent Police,Gwent Police,-3.258472,51.783555,On or near WOODLANDS,W01001480,Blaenau Gwent 003E,Investigation complete; no suspect identified
0fd39546f2287c2ff9a88c3959f25a4ba71ec5fa7ed51dae509cc83ebc298a42,2021-10,Gwent Police,Gwent Police,-3.028490,51.816615,On or near Supermarket,W01001564,Monmouthshire 003D,Investigation complete; no suspect identified
b23da558cade6d466eb97f44cf14c408408e57e4a40ea2eaf96d16183638bd3e,2021-10,Gwent Police,Gwent Police,-3.040139,51.699975,On or near Supermarket,W01001524,Torfaen 004D,Investigation complete; no suspect identified
ab4be1dd6ce7896dd24a7449709b73ac90d01c3ac47c048eb3465b6c5f6ee3c0,2021-10,Gwent Police,Gwent Police,-3.159387,51.765548,On or near CROSS STREET,W01001443,Blaenau Gwent 005A,Investigation complete; no suspect identified
e572f4b99ff191118c195232d258712539d15e21e38d3fab9a35140707986f86,2021-10,Gwent Police,Gwent Police,-3.247154,51.642741,On or near HILLSIDE TERRACE,W01001432,Caerphilly 013D,Investigation complete; no suspect identified
a8d5c5b9d8296943f4ccbab07bc23838c964d43d18ab07614b02bf05704ef1aa,2021-10,Gwent Police,Gwent Police,-3.218330,51.573456,On or near SALOP STREET,W01001424,Caerphilly 024C,Investigation complete; no suspect identified
7fe7a93b1604cfe1d7fb88da4fdbafc440d8abd416b30fbdfce730732bc4dcb2,2021-10,Gwent Police,Gwent Police,-3.162601,51.679674,On or near PEN-Y-BRYN COURT,W01001357,Caerphilly 006B,Investigation complete; no suspect identified
622ceeb78e2f501127163df04e43415fd97e9412e93d94e3319defad462c17a8,2021-10,Gwent Police,Gwent Police,-3.031139,51.557258,On or near IMPERIAL WAY,W01001913,Newport 020F,Investigation complete; no suspect identified
204d0536bb5e61900080961effe7164bb951db4470306e4f05bfb8dcc23face4,2021-10,Gwent Police,Gwent Police,-2.929859,51.597398,On or near BEATTY ROAD,W01001664,Newport 010A,Investigation complete; no suspect identified
3acbc61ada01913148cf38a762b1b426beade77b1b2db6deff242c707b159160,2021-10,Gwent Police,Gwent Police,-2.831685,51.579181,On or near WEST END,W01001572,Monmouthshire 011A,Investigation complete; no suspect identified
27dc781d3ede927e051a80853e81c5fb72e0ad99b39a700d5974581a1270c98f,2021-10,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
