Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0e031f60c36e270cbe57838b44d0639a893f2be0743c96dd366dc0a5b00febc0,2021-10,North Yorkshire Police,North Yorkshire Police,-1.087415,53.977811,On or near BURTON GREEN,E01013350,York 009E,Unable to prosecute suspect
736e24b593f10714cdd41a2aa884a65263ce335c338972d3de1edfb50646d95b,2021-10,North Yorkshire Police,North Yorkshire Police,-1.582233,53.929552,On or near HOLLY PARK,E01027724,Harrogate 021C,Suspect charged
3b77a5f93396d2fcb6b508dce6b167fb1cf93a85a3762c62d171471573e5e858,2021-10,North Yorkshire Police,North Yorkshire Police,-1.436394,54.333398,On or near RACECOURSE LANE,E01027606,Hambleton 004B,Suspect charged
3b77a5f93396d2fcb6b508dce6b167fb1cf93a85a3762c62d171471573e5e858,2021-10,North Yorkshire Police,North Yorkshire Police,-1.436394,54.333398,On or near RACECOURSE LANE,E01027606,Hambleton 004B,Suspect charged
d66ecafe9806db6e76d0e094132fc69f953664476be8cf5f30159b99b3b4d8bd,2021-10,North Yorkshire Police,North Yorkshire Police,-0.630029,54.482519,On or near DUNDAS GARDENS,E01027837,Scarborough 001A,Suspect charged
d66ecafe9806db6e76d0e094132fc69f953664476be8cf5f30159b99b3b4d8bd,2021-10,North Yorkshire Police,North Yorkshire Police,-0.630029,54.482519,On or near DUNDAS GARDENS,E01027837,Scarborough 001A,Suspect charged
08fa21f320574e1878152a65ab80bc76da1ef54a79f9e3af70c117d57883316e,2021-10,North Yorkshire Police,North Yorkshire Police,-1.395687,54.095851,On or near FISHERGATE,E01027645,Harrogate 005B,Suspect charged
e9684b7ec6f21d4bd097d1314e86b06f0ddbd91f8f6d001aaaef3bbb39806c2c,2021-10,North Yorkshire Police,North Yorkshire Police,-1.363294,53.940411,On or near B1224,E01011700,Leeds 002B,Suspect charged
e9684b7ec6f21d4bd097d1314e86b06f0ddbd91f8f6d001aaaef3bbb39806c2c,2021-10,North Yorkshire Police,North Yorkshire Police,-1.363294,53.940411,On or near B1224,E01011700,Leeds 002B,Suspect charged
d5519e8e47c25463b7bba31e1530535740d36cb935802f0271cc10a478971a20,2021-10,North Yorkshire Police,North Yorkshire Police,-0.805668,54.501656,On or near A171,E01027840,Scarborough 002C,Suspect charged
d5519e8e47c25463b7bba31e1530535740d36cb935802f0271cc10a478971a20,2021-10,North Yorkshire Police,North Yorkshire Police,-0.805668,54.501656,On or near A171,E01027840,Scarborough 002C,Suspect charged
1ba5dca8c689c00dca2bd2cbf8ba456a610461f392c1071bf28b3fbe95e82da8,2021-10,North Yorkshire Police,North Yorkshire Police,-0.397114,54.285789,On or near TOLLERGATE,E01027805,Scarborough 006A,Suspect charged
1ba5dca8c689c00dca2bd2cbf8ba456a610461f392c1071bf28b3fbe95e82da8,2021-10,North Yorkshire Police,North Yorkshire Police,-0.397114,54.285789,On or near TOLLERGATE,E01027805,Scarborough 006A,Suspect charged
