Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a636dbd50e6b55435d1f7226d69d8af6d53b825e48fe5daabd580ee85c2a8856,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
8a11de4e5041f60090950c5931eb2c32cc0098c64ff66f8917d6fff1824d12d9,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
fc5c3939062d76ff390bcca8c48f3175576fe23cfbe9fa63bad0a903148cb077,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
c45bf54a8749ee6393da1ae9f2d9b53784a9093c182cfc1268cf2cd499a8f979,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.192211,52.609685,On or near CLEVE PLACE,E01015619,Peterborough 005C,Unable to prosecute suspect
1a1c2b1d1bea554d786efc599b5595a4cd8da42aa847bd414cc43ac947ba97a0,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
2b0806e1d36dc42d9c2397a42d1548977cf8d354888ffbd2bd17a4f27f7d4c08,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
fec670084e61a7db4caad52be11cea2bbce3c4e07898f06cac439c43ec8118a4,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
3f062d8f9068dc4ef8ff7d6305667267021476e993c4268e08fb838f899652cd,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
9a001b8ab582b8cfb45f4b74a6b372fc4fa49098e5162f83bb50bac2bb260eba,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
d314c4ce7a2ce6aa974630a45ac412d8a5dc511705196e9c1028856087589d67,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
4b7834c885e3c21b1d4d04880e48caa23716a4240654bc4ab4cfa28ccc038829,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.168008,52.315311,On or near PEATE CLOSE,E01018133,Huntingdonshire 014C,Unable to prosecute suspect
f48897cd585657fbf5e02ba5aa11cd46d6850a5ee51807e9356e030b5f34d22a,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
52654e56193538888e9534c618397fced98fce0f0181bc946aed3a95620809ce,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
97bf2deadda49a35d75a8743c9383ae60934c8e8bd68f5831e67055ead542ff9,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
6804f095056dd8f2c6ef1f7a5e12a1009e0cdabb734249af3506cc0e3b5e333b,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
f6c7ff8713eac52aa173281dc9ed917c69fa13687f0bc50a8ce4061bce5e1904,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
20040bbd35754ab0c46fdf5690074e7e760250a3ac3f643fc87228a6e2944994,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
d6d8123ec0507fdc663b2e91b04ded46aee3175c88db224a98a4cf2b024eb8a3,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Offender given a caution
986b938cc7941e0294d2f631dbc48faa6f741407a662d80e7915bf4260bcaa4e,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.328100,52.342874,On or near LAPWING WAY,E01033427,East Cambridgeshire 006G,Investigation complete; no suspect identified
94259c40921a63155abdf2068beaacb196c714003eb2087e6142f7046d5b1374,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
6dbb0fcdd547734f5148948293d092266fdd809897f6385e030ef8c8a9fb6a7c,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
573eb8e0296808f009d7814c69cd53b8b55d524a38fc1b903d8d5cb2f31b0148,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
1de0a385aae14ac0902ba9b419333b6d2fd1f71947ccfb05210f3ff95e0b96e6,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Offender given a caution
1ef853487fb969dd7e0a43ff76d26708635dd69eed88941f9b188a01c97d5cdc,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
4ab01efbb0311333421efec375005c43edbc66d2426780fbc118feb9c046d022,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
d46c63ec56f2ba254994371346f528ca3b8f8656d10afb1fdb43926d94c60c6b,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
0c96718dedc19bc747684834ec77837c75293ed19d14c666c84106547f245599,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
2a9c64658512cfded881093d91e01ab08f3752b3cf4cd1827f9022cf885f8dff,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
ad1c7093ff228683aeff416dfe9e7f58268a8257d448183f4ee7e42ec1fce182,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
917a53f026199a6b2b62ac19270240a3eaae42195a7faa741aff21188d651613,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
d6765503b51528a07995624876134d44c28b0a3a03e884513190367ba9362938,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
3596becb01e3263c2c057a9872f73b7fd2dad71047bb59e4f5ca8d8dc3918e4a,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.099277,52.445895,On or near ABBEY ROAD,E01018156,Huntingdonshire 003A,Further action is not in the public interest
d24cadab2b64fd5652179115159e634f2b6e2fcd703add195cf5e91668be4489,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
b816c82f72f05d069c2d38b578f2b8880bfb9dbed2daaa8c2e9a362b8e276a6f,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
7ba28fc14c3ef1671fd4573614be49edc739670c059ba03059547b96b1c447bd,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Local resolution
d8df6fe655b1d18108fe4f2c57cbe096236ae18bf56e811828e42bbaf28f6638,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
e63df8f9cd611d4a7c87b6fd8896a315a72d764e186067e1a9857eb2b4c65257,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
82b7b338a5dd4e512c4633b77706a3cf5bd06726acaea29e51aae986d0bae789,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
0bd6f8001f2608115c421a1623ada3b54add402757d9dfe77c807745b370f315,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
b40cd7fba870026b98b7eef618cdc355d9282b48898087f65f545641de56f20a,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
adaafc8eb2aff2f4d8eedfbcd6af0ded926b9542ba860cd4fad23ca6d7fcb553,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
0cc0737d55613ded2cf7c678bd96168e32f9ad3a4bacfccbcaa8bf54f34b7c46,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
66cd6a6be12e3c3687ba17db9ceaef508affb65fe5796ab64014ea41b8b574c2,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
73ece7471ce56fa6ecd23c08f1f35fcc20296b22528af0bb6432e4258deecd5c,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
0cce0dcebef6e8bd09b9670523a80776f1de57a192e520172c06d08af46d87cb,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
0ac5b9bf64fb658121f4dafbd649f1ab6cbecf275597ec32176e9d3d0506d240,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
260cccf3e1649b2463c840c65a30ae9f2dfc0a84f630ac848afa289975910fc6,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.120216,52.206273,On or near Nightclub,E01032797,Cambridge 007G,Investigation complete; no suspect identified
8842625b11647b2374a854dbef076e558ac066c060d853d606965af04ae6d586,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
954b0180c1f70862776f16473af77acf34198a9ae341a1d4c033230697972739,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.282504,52.442098,On or near WARREN CROFT,E01018194,Huntingdonshire 004D,Unable to prosecute suspect
41728e364ed34f1e40907cf89af450cfc241d809fba1016748bd20434d7ad887,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
e511595aa7ff65d789ec4122d9b6d14ea0d8c7a91c70ad3bf271969082f0b7ae,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
37cd92216908e30b155599e46387a1bb52b332e8cb9468ec04dd43200d3ffc8b,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.387340,52.296760,On or near LONDON ROAD,E01018153,Huntingdonshire 015D,Investigation complete; no suspect identified
45c9c40dcc3018ad37b67f88d498a8d16014d278db71f599248e326a325c0850,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.259826,52.291596,On or near PERRY ROAD,E01018119,Huntingdonshire 017B,Investigation complete; no suspect identified
754eb35fc9fc01a60eaf340582a3000fca546c074d9fbb3c8669dccb6f2bd0ec,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.235447,52.557003,On or near FLEET WAY,E01015668,Peterborough 017E,Unable to prosecute suspect
54321a3e21f995958df69d7aa7df6ff340e27fc89f20dac30ceccc7177aa9485,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
6979d02488cf2856cfc13b087e1c5a193e39a163a02859174972da413b775e4c,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
a15f46660a8169824d40e132ca149273c2e51b335909ab533facb7c0acbd36e2,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
b3f4b77866f867f458485185e6daa9278efa403b8a691a335d097fe8ed701a27,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
cc6e893314a48873d3276d641dd5f70b5c82fc4245bf85c094c9e59acb10efc0,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
b35b688a044a7624fab39329c70537ee6a53168c72f9dce8193653104ee36e9c,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
660b72891ebf193a7656f50871e809eb1bd26fa3eb94c09ce6301360fc3908b8,2021-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.164020,52.661715,On or near HOWLETTS HILL,E01033112,Fenland 003I,Unable to prosecute suspect
