Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
50ace0f0a605f2ec5eba41648899cbf8b091c8cbecf88f4cf6f4b9ea317508e7,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.339686,51.739602,On or near PEMBERTON CLOSE,E01023737,St Albans 017A,Investigation complete; no suspect identified
cbc7e312deb3b9245fdd13e43d3bdb9321798205e5d3c18e46d1aaa6c613a39a,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.204608,51.899535,On or near Police Station,E01023758,Stevenage 008D,Suspect charged
e548cea7fb7fc134aed1a63cdd3db30192d1d33753b51426bc46d571b1f82e97,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044328,51.708782,On or near CHURCH LANE,E01023294,Broxbourne 011B,Unable to prosecute suspect
5fe09c647f3e0ef6271e487c1c4cb88d789557eedbdaafb7954875fac92a84a3,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.283128,51.718170,On or near TYNEDALE,E01023704,St Albans 018A,Investigation complete; no suspect identified
57d0ba6274eab2db97cc2689bd0b950784bdb7c05d4392f72d1bbdd910f048f8,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
d5e81b75a0849bffc47e200d1ec3cde8c28f952dbcd9d9fd27f2ec42ca3c1bd6,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
02df63ce7c8cf83b3a0434cad3fb5e7d143b435bfb2e0f5b3f62fb50122906ee,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
64b297cb26502c82e48fe8eb7717967d87266e60ca11573d517fe447e309bf2e,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Suspect charged
2bb57597428b3dcba65c85d1de212cb9a7b40850a3c0e5fce2018152c9377b07,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
4ce1c42dab162969f226310877f43e993c7e77599f17d835bc401df65ddf23a0,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
a560e733b9d1b2f03581bd9d0a763424bcbd2d249605a0120f024bfdbb2a29ea,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
12654949ca336b7587395020d8f6ab9b054d64473f07c87457013e5da6d143cf,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
583a0926b645634be9850291dd497cc912c01862565a7a662ac717e1123d12be,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
935dd8edb73bf9105f0016fec2ac01d1c8b9d2db1c05284967c9abb28716ab5c,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
b202a4443a561cb55b47b7b7a1a15a6599d7f86fd9d2b73dd2db2946a23fabf8,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
557d60a73b31da1e4a3c77ddc31b22344b16c9ca9aa1369b1ff66884b64ffc6f,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
11c3ea7f3cc6821e0f53b0615750c86940f4c9753614ba5ef8e66774b447858c,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
c618d1adb3a6f54a02950d8d142e807bc47c4b03b19a26ecf17c6d48aa1557d2,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.169333,51.902336,On or near FRY ROAD,E01023761,Stevenage 007C,Unable to prosecute suspect
0161a0eb456af9b7ff116ecfd04002dd47bb81fa973cc03bb08140e6ddae2b29,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.220962,51.768365,On or near CLARKE'S ROAD,E01023930,Welwyn Hatfield 010B,Unable to prosecute suspect
b2ede2218a29b703dde9f887d6778810257cbd3f05bffd148c90821322fd6565,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
c3a6636bf1cda52810f5b92c430b5a060d712e230e599cfc4ac23d17ea8dd1fd,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
e1169881271a15c938455e91fa80425ab637a60341a57aac8b022f84f9baefa5,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
925bc20c63fc9a07dcca5b4e477726cb484ca5bee257ad1908c8a1e9f9c6a3e6,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
8059cc279bd864f08d36168375d2a1d68f64d060c78aff4b1a02df209d6c8cd4,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Suspect charged
d80c3302d7e526e99eda717b688f5c1a42ecfb64ac07a5964ac560fd3bc13e1a,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.157921,51.908749,On or near BEANE AVENUE,E01023767,Stevenage 004A,Unable to prosecute suspect
5b11aa527208fa8be3965c84b4ed7430ce45f890029abdf10264cc5281601b01,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
c7487160b160ef87dbdcb50afad9ed2681fc1e5aa5d0c65e2dde3a01063e7d83,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
86369db2b14c81f605fcce5d1625557992d18e3e3d052e0971dbf2216819752f,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Unable to prosecute suspect
3836ecaa32ddf1515fd81b7f3af744ed50b6082c9f6baf9354f7a94320e3b797,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
40a9f3a2cf02abbcb59cbd259904b74da8c44ba2a4f431aa701c07d3c7f1f91f,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
a1dc9e5ecca0f3585b97f06fe8b7518e08de90a6665591b144af3ef3178fbb97,2021-11,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Investigation complete; no suspect identified
