Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2021-11-01T03:11:00+00:00,,,53.991268,-1.507674,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2021-11-01T12:11:00+00:00,,,53.959683,-1.080480,Male,over 34,,White,,,,,
Person search,2021-11-02T00:11:00+00:00,,,54.286112,-0.414784,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,,False,
Person search,2021-11-02T01:11:00+00:00,,,54.291286,-0.425479,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2021-11-02T12:11:00+00:00,,,53.958796,-1.086732,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),,,False,
Person and Vehicle search,2021-11-02T13:11:00+00:00,,,53.962242,-1.078899,Male,over 34,,White,,,,,
Person and Vehicle search,2021-11-02T16:11:00+00:00,,,54.015714,-1.367211,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2021-11-02T18:11:00+00:00,,,53.962242,-1.078899,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-03T17:11:00+00:00,,,53.995770,-1.544047,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-03T17:11:00+00:00,,,54.006665,-1.549298,Female,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2021-11-04T01:11:00+00:00,,,54.372419,-1.714828,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2021-11-04T01:11:00+00:00,,,54.372419,-1.714828,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-04T18:11:00+00:00,,,54.000609,-1.528662,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-05T04:11:00+00:00,,,53.901355,-1.990467,Male,18-24,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2021-11-05T05:11:00+00:00,,,54.008358,-1.542872,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2021-11-05T14:11:00+00:00,,,,,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2021-11-05T16:11:00+00:00,,,54.006234,-1.532962,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-05T21:11:00+00:00,,,54.337826,-1.431857,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2021-11-06T01:11:00+00:00,,,54.384204,-1.653880,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2021-11-06T02:11:00+00:00,,,54.338569,-1.433216,Female,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person and Vehicle search,2021-11-06T12:11:00+00:00,,,53.953584,-1.132883,Male,over 34,Other ethnic group - Not stated,,,,,,
Vehicle search,2021-11-06T12:11:00+00:00,,,53.953584,-1.132883,,over 34,,,,,,,
Person search,2021-11-07T12:11:00+00:00,,,53.886684,-1.257352,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2021-11-07T15:11:00+00:00,,,54.126996,-1.526969,Female,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-07T23:11:00+00:00,,,54.004863,-1.529377,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2021-11-07T23:11:00+00:00,,,54.004863,-1.529377,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,
