Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e85abd486fa123cd5ae0b2ab1c78f41804cb5685d66397a74f49136dd27ecd18,2021-12,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
46a7e9946c9891cbb00cf1dbbad1052e6f54292be1f18d7434a697f98e93e55b,2021-12,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
224ae14c9902f1c02cc567885b852a87405fc1d97289af21c3c8eeb518dd66ee,2021-12,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
002e2c6f72940b1157e1f2b9d0a80a83f8cdb8a2c50133c62ed10d752494d019,2021-12,Dorset Police,Dorset Police,,,No location,,,Action to be taken by another organisation
1a90185fc2945c71d45f6897a5e3176c584832116ef35e7c22dce7b2df22012f,2021-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
ea3abc35fe292787fa1efa88b19dff36c29093507aac6416e314de01ca6b212f,2021-12,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
bde405dd26933e3950d0bc04e74a15ef41af4dcec6e26c656110bff381f293e8,2021-12,Dorset Police,Dorset Police,-1.693283,50.740499,On or near MARRYAT COURT,E01020349,Christchurch 003A,Unable to prosecute suspect
ded6ac546fb26ed9c78d5e58868ede03cdff5d1f4b3dff503521d77eafe114fc,2021-12,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
1a7e82f96a0890d7e826db84760022af046494692f1a016a1f14db556d3f0a23,2021-12,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
e696260569d89154573aee3c5a7a2c81220ab6a62aa0ad48f0405b6885f142ef,2021-12,Dorset Police,Dorset Police,,,No location,,,Formal action is not in the public interest
589ed09773c119dad73f4bf4e438097ce724331c605cde7e5000e16c1a0a61b0,2021-12,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
91bf0a12b9376ec58bb6098944bf570c0ca24a66e5a909b33c42c27e1bfcd30c,2021-12,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
4ac03622072a3e16c5048b4655d8c48a86e37ec2eb6d94ab311553740fae171a,2021-12,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
fddd0f209fd3ff480afd203352af46f3c097924c1e519e64d8d47e56f1e83efb,2021-12,Dorset Police,Dorset Police,-1.917138,50.758831,On or near MANDALE ROAD,E01015307,Bournemouth 005A,Further investigation is not in the public interest
1d16c028720e1ed8c1b50a26895b4fda50598bf118b6f4c6c0617919a8045fb6,2021-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
cb465f9cfc98e8ca87ea07216865cbb0f19b1980a339851d26779fe0b1307c9b,2021-12,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
35a248322874ca136ac81f239f1f790631f9b182399f46e290c145463254414f,2021-12,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
b7d099ad6d9decaa174e2bdb9197b2bd5d9f8b04ab9e54d8dde4452fc906bbbb,2021-12,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
2418337ce822e2b6d0305d0e0b7d65779d20ddf0f71cf05f0fc1ed0f56997c8a,2021-12,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
cf8815c5b0c71969128cd69d2dd8729df478feb617e0936275b79322e467714e,2021-12,Dorset Police,Dorset Police,,,No location,,,Unable to prosecute suspect
