Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
776f8f89d46b6284ba8a3b116f32f8d61ecea7460ebc27956eda13ec8218f70a,2022-03,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
c7a31f1ed47197465acb06a8baa4a2a90bf5fbaae1ce9059ea8663b66298801f,2022-03,Gwent Police,Gwent Police,,,No location,,,Local resolution
9a1655a67bf3e6c9f14b4128df0100e125b43eb98b15c9d3a3a150df1242f834,2022-03,Gwent Police,Gwent Police,-3.044181,51.585692,On or near RESERVOIR CLOSE,W01001671,Newport 016D,Investigation complete; no suspect identified
0b5b77015c55b0e359b0e2bc90775d67a01d9460d8e227cbf164cc0ab1edecc9,2022-03,Gwent Police,Gwent Police,-2.754782,51.588926,On or near NORMAN COURT,W01001589,Monmouthshire 010E,Investigation complete; no suspect identified
a38d36b92b62f207140ee35f1af5e570b9364671cd2ad89325f6589b10aa5a1d,2022-03,Gwent Police,Gwent Police,-3.147653,51.679390,On or near WILLIAM STREET,W01001359,Caerphilly 006D,Investigation complete; no suspect identified
e551a4fd724f4f2cfaa17f97340de7594961872fddef716ef14b0d5d7d28580a,2022-03,Gwent Police,Gwent Police,-3.239679,51.785490,On or near RHOSLAN,W01001473,Blaenau Gwent 003B,Investigation complete; no suspect identified
f6bf71c51231dbbd227b33dc101712304100d2d2d951da45c71ac52e81fca8d4,2022-03,Gwent Police,Gwent Police,-2.969376,51.577144,On or near Sports/Recreation Area,W01001647,Newport 015F,Investigation complete; no suspect identified
bd59f79622a3552b5c1b67f8b3b84ef6c953af7130fca403bcfeee0087dd7b86,2022-03,Gwent Police,Gwent Police,-3.205279,51.668598,On or near PALMER PLACE,W01001348,Caerphilly 009A,Investigation complete; no suspect identified
7a7b92c4fed6c9341335823ecc4ca87160abd356bfb646cd895251cefa376bb2,2022-03,Gwent Police,Gwent Police,-3.143070,51.616861,On or near BEECHWOOD AVENUE,W01001430,Caerphilly 015B,Investigation complete; no suspect identified
a7fbbd06835d2a9af398f195ca11ecaf18e6260b1c80c6a096ebcf2e7d075eca,2022-03,Gwent Police,Gwent Police,-3.050533,51.652029,On or near EDINBURGH CLOSE,W01001502,Torfaen 011E,Investigation complete; no suspect identified
db7840d74814fb6655dc5b3eebde96f03c13e8c9c01df15c5d0b140c57eca1bb,2022-03,Gwent Police,Gwent Police,-3.202286,51.653864,On or near BROADMEAD,W01001402,Caerphilly 011B,Investigation complete; no suspect identified
df5dee4926d8916a27f234e6e5cb960bc378094e1579359b2a888286718eee03,2022-03,Gwent Police,Gwent Police,-3.012573,51.826185,On or near HEREFORD ROAD,W01001580,Monmouthshire 002E,Investigation complete; no suspect identified
03420ba208f9171a438f4434c27e0c688528fb8789d63b8f8bc334cebbce649b,2022-03,Gwent Police,Gwent Police,-3.182327,51.800512,On or near HEOL GANOL,W01001447,Blaenau Gwent 002B,Investigation complete; no suspect identified
a56a9180266406bc5ddacc8c27902e91ca4f86eda132742fe44fa8051928f628,2022-03,Gwent Police,Gwent Police,-2.992917,51.579950,On or near HERBERT WALK,W01001662,Newport 018D,Investigation complete; no suspect identified
7f39c45346dc279924676e9e976ffd30c47493925a97904fcd458b7be4f5bc07,2022-03,Gwent Police,Gwent Police,-3.037898,51.586781,On or near Petrol Station,W01001674,Newport 009E,Investigation complete; no suspect identified
bd2c5a440bc1f418f141a5d40677199ad5666e07ea5fd84deb974ca37fb121a6,2022-03,Gwent Police,Gwent Police,-3.242180,51.685432,On or near HEOL COEDCAE,W01001339,Caerphilly 004D,Investigation complete; no suspect identified
293c2ec948c2be08047db9b633d5ba293b927d5792cb27694f55135ab668c571,2022-03,Gwent Police,Gwent Police,-3.043806,51.694565,On or near Further/Higher Educational Building,W01001496,Torfaen 004B,Investigation complete; no suspect identified
8140f72fa425b49b61059b8d3e725dcca835784c1cb4994fe48219513b88821f,2022-03,Gwent Police,Gwent Police,-3.091137,51.539398,On or near TYLA LANE,W01001657,Newport 020C,Investigation complete; no suspect identified
cc98ec05cdc44155a6f372012b5a8b722e9053d048492fc789a770fbf286be4c,2022-03,Gwent Police,Gwent Police,-3.237388,51.588183,On or near BRYN HEULOG,W01001393,Caerphilly 019D,Investigation complete; no suspect identified
831879d3818941dce66070b0b3a86713aeb7c2037e550f36e58c517d44c260b7,2022-03,Gwent Police,Gwent Police,-3.043486,51.650455,On or near MOSS ROAD,W01001503,Torfaen 009B,Investigation complete; no suspect identified
4cafcc2d173364c24f65bc0c269b7c476d7bdaacc3beba9babd25f1a7b495a73,2022-03,Gwent Police,Gwent Police,-2.994679,51.578704,On or near KIRBY LANE,W01001662,Newport 018D,Investigation complete; no suspect identified
4d7915c8c2a13d7eb4dc22d925cb9135bebbe4c3e4067d0b9059afcc8f844970,2022-03,Gwent Police,Gwent Police,-3.082658,51.605565,On or near MANOR WAY,W01001410,Caerphilly 016D,Investigation complete; no suspect identified
fa06c6a3847ef79b66bfaa0c944beab73f787f220f5e5d6c9c93c5dfd5611f81,2022-03,Gwent Police,Gwent Police,-3.207411,51.782382,On or near LIBANUS ROAD,W01001456,Blaenau Gwent 004C,Investigation complete; no suspect identified
ddd600fa3ea0f873f8e541c31998c2de4ef702510e0ce79429b44ffb822353a5,2022-03,Gwent Police,Gwent Police,-2.861925,51.548220,On or near MEAD LANE,W01001649,Newport 004D,Investigation complete; no suspect identified
f2fd75085333b0daa03906cc77c9c4bb0cdbd327df102ee02db27b2c4c3e9ba0,2022-03,Gwent Police,Gwent Police,-3.181168,51.738366,On or near YORK TERRACE,W01001451,Blaenau Gwent 007B,Investigation complete; no suspect identified
c657be7f4c6add0827fd19c3017fa5705fa0c11e3f5a75a7654b844e686d2f13,2022-03,Gwent Police,Gwent Police,-2.981784,51.598423,On or near POOL LANE,W01001680,Newport 007E,Investigation complete; no suspect identified
179e1453a7aeebefe048a355886c1a0025a4e1e4fc75df19b8a8dd9339f0cf89,2022-03,Gwent Police,Gwent Police,-3.024650,51.637557,On or near CWRT DOWLAS,W01001504,Torfaen 013A,Investigation complete; no suspect identified
6c2d335a147a330bb55a41c0a8fb5ffe9077ac86f7c57b44e364e24ad08d802f,2022-03,Gwent Police,Gwent Police,-3.020105,51.655876,On or near PLAS CRAIG,W01001519,Torfaen 007A,Investigation complete; no suspect identified
7d624d99258daf706cf398bb1eceec824994b5c1ac9868fd5ee7476f562d5066,2022-03,Gwent Police,Gwent Police,-3.258736,51.662228,On or near Sports/Recreation Area,W01001418,Caerphilly 008E,Investigation complete; no suspect identified
6c01f186165a07d2c2a8f17b00728bb72a1313ff0eec4748901b74227dd93d55,2022-03,Gwent Police,Gwent Police,-3.103295,51.614014,On or near Parking Area,W01001411,Caerphilly 017A,Investigation complete; no suspect identified
94211309c02fc8575423dcf0785ba66962d52213e0c2c44a8dc65cacf7f82c69,2022-03,Gwent Police,Gwent Police,-3.247131,51.784476,On or near EBENEZER STREET,W01001475,Blaenau Gwent 003D,Investigation complete; no suspect identified
adf99e9156ab81e2db7c9ac6fd57badc5c5a0283fa3bba749efbdc78a173d3fe,2022-03,Gwent Police,Gwent Police,-2.713164,51.812261,On or near ST MARY'S STREET,W01001554,Monmouthshire 004C,Investigation complete; no suspect identified
37bf5d59af903b4d72989139fee5807f15bb6034cac67c249e95b481a5c8d865,2022-03,Gwent Police,Gwent Police,-3.224242,51.779717,On or near GREENWAYS,W01001457,Blaenau Gwent 004D,Investigation complete; no suspect identified
50e9f90673e200784272e3d46971775ddfcdc71554a1ee469c7821523b18df9a,2022-03,Gwent Police,Gwent Police,-3.010231,51.625930,On or near BLACKBIRDS CLOSE,W01001505,Torfaen 013B,Investigation complete; no suspect identified
a54634107981fb4e2b431b14321cfebf82130716624b0a03ed9669347c2ccf07,2022-03,Gwent Police,Gwent Police,-2.998152,51.579789,On or near Hospital,W01001686,Newport 014C,Investigation complete; no suspect identified
d64327142d1014717d86750f85c4c05de93a12aa21150e2092cd9f77cc6e1afd,2022-03,Gwent Police,Gwent Police,-3.133303,51.731437,On or near PARK PLACE,W01001435,Blaenau Gwent 008A,Investigation complete; no suspect identified
e347805473b503d8e165b8e57c0e74327dd33cbdb0319af8663604136eb99bd9,2022-03,Gwent Police,Gwent Police,-2.673678,51.637893,On or near CAIRD STREET,W01001587,Monmouthshire 008C,Investigation complete; no suspect identified
54890a38bef32ea0628c1013967330366f9eb9e1aea567dec56f41d697ee038f,2022-03,Gwent Police,Gwent Police,-3.001546,51.600243,On or near MALPAS LANE,W01001684,Newport 006E,Investigation complete; no suspect identified
a4638973e33802fcff5accb9d85b3f77779696ec5dcec67efd694c859207f45c,2022-03,Gwent Police,Gwent Police,-2.992071,51.590828,On or near CLARENCE PLACE,W01001693,Newport 013E,Investigation complete; no suspect identified
