Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bd27273590d9e4d6e8b2b82886bf2005550cd456b4e6ab2b79b9193bee28fce0,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
1377dc7ad7f68cca3a561f8ca9769fa745452ce765bea02c2277c2f9323cac9d,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Action to be taken by another organisation
04fb886b51fbb7657e5329a00f326d68e6b0a71403d84ffda2d3d48e8a0715bc,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Further investigation is not in the public interest
e6bb5a878fe0a7f77acdf764efc30f5ef16dbf6ca5964063ed593786e69ca78e,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
1442dd79bf9081cccc5332d5035c685fac3ed5897831190d784cf3a45005aa98,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
69cb06b68411655088b327258d93ad8a1605c9a0b68da5c031d7c383d722a8b2,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
da4f276f9ee3cf69035ec1105bb7f375e3ef81d7cbf3dec3965116ce9baa8d73,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
4b0b046e712867c7854ef84d8277ea85763fda26d625c02fa8c2aee4be9a8963,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
97759e391b4a33d04ee031b978c13a967b81ad1f960f54d5b8ef6a1fd772efee,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
cca7af87598200779cbea7af80e1bf71ee3d4279dbccdf6f3ab2211b2290beed,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
f0422eb1787eb0711c69cfb33e2db8b615ee7c3ad8f37e82b2e97d5375196c99,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
bfad27e9f2a66a36cc29bb797009f769854baef8e9859ff88ecdfda76b3d4335,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
f58041834a5f16c38d9ac4d4848adf38032247ca09d01ee5f503ef862af3db39,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Action to be taken by another organisation
038d4c76cfb7d6550b6c8d56a78cb7f92333d1659db8c27f4463e630c756d205,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Further investigation is not in the public interest
54ab5fd370a7fb6e52da31f392987e8d7121b9daec5d9933ebb4432eabdeb6ad,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
5cf7e7426d4a4da26331fd679f11609d65b2686ee7c40582584d194829260fd4,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
d2f17defb78391901f6a68b4a892666e59c696fb2513373bfc779d6d9b966def,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Formal action is not in the public interest
ec449675791310e65677b721a3d997324db7188c9253984aae6bad95bf04432f,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
92231ef6efad501e8d4f4e650284cee43959c799d8d3ecf7d4496579668da659,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
38d16ec68f621537f15a6002f81b08bf8d09a159fa2daf9050f789e3b939509c,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Further investigation is not in the public interest
6f55ded5636c011b3f694cdc51b1a4f3d2f0dafc4a0961c67ffa511b7cc966a4,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,-4.153819,51.695963,On or near DANYBANC,W01000655,Carmarthenshire 020C,Unable to prosecute suspect
f2bae014fafddabf2ca9fd2f5448d4ad28748580cdedf642539136d1bb52712e,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Local resolution
893952d93c4e87ff79cba05d3ebda8bbf11d41f6e777d4c9af899f1b24af31ed,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Local resolution
f3dc10127a97ab8e84ff2bf54531b60967e3f377ead98fb335aa384dad06752f,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Local resolution
081960322c93c9270ba612dad6a6941ede57c782f6165a6f10269b0aed45ff75,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Further action is not in the public interest
2d9daccef0d8d6012ee51bf9424ef8a7ca8ef2c28537da821f5eadcdd43d803f,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
813361d44bda07addb73b1064d8751b922b100f74e0a43d7a28b747d57107ade,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Local resolution
01330f4726fc42d4ce7a168e6d3d55396834685ab8c6149be7f8c8c390352475,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Investigation complete; no suspect identified
06113cbbf7671ccd7d6c4763441d6641a2cfb9a1883376d9cce8fc96b312be3b,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Local resolution
f75c0b317016ce0c3a18726cbc1564f48e37c11887bee176a2efc2c60b479ff4,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Local resolution
f6e6fe5bf583ee2b137db74686f4dfda037997415fbb4bafb604f965a408bfed,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
9c93b6c2fa0330eed09e3abf7d651b1adebde47cb86fd6c738777bb7e5e7793e,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Local resolution
a284a4d488e8365c5295937459112adbfc3cd8d07cb1fb8c161110aea983326d,2022-04,Dyfed-Powys Police,Dyfed-Powys Police,,,No location,,,Unable to prosecute suspect
