Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e733d619aa9271e5265e1beb166fc409e4498645585ab3b9a0789f47bdc20d2d,2022-04,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
0b6e8060b2f61e8addbd65fcf532f518e6b8ea058e621dfcb29c6c1f5234071e,2022-04,Gwent Police,Gwent Police,-2.702149,51.808254,On or near WYESHAM ROAD,W01001599,Monmouthshire 004F,Investigation complete; no suspect identified
4d6a1738d456c45a16c8299d7112e83ecf38edb423b4dcefd37312dc41e89f82,2022-04,Gwent Police,Gwent Police,-3.288156,51.767588,On or near PHILLIP'S WALK,W01001428,Caerphilly 001E,Investigation complete; no suspect identified
9ecaa23dc1f2cc76053e21d77738973a3d8561d2918e66cd40ccf9044c9ae4e4,2022-04,Gwent Police,Gwent Police,-2.677893,51.640503,On or near THOMAS STREET,W01001587,Monmouthshire 008C,Investigation complete; no suspect identified
73b83373281a89bfc952b075dd8fa61a2eb80885f9070de89ee0e8ce15d47205,2022-04,Gwent Police,Gwent Police,-3.207327,51.780342,On or near MARKET STREET,W01001460,Blaenau Gwent 007E,Investigation complete; no suspect identified
81bc57ecdf39a35c147bfd157e2464e4ef0b6cb2974c81bf9879c0273af886b2,2022-04,Gwent Police,Gwent Police,-3.279857,51.595416,On or near HILLSIDE AVENUE,W01001331,Caerphilly 018B,Investigation complete; no suspect identified
5159706c5bdf8660a50f1649e4cd89998ef900002d2a1efb98da986eac160f35,2022-04,Gwent Police,Gwent Police,-2.967587,51.579874,On or near COLSTON AVENUE,W01001642,Newport 013A,Investigation complete; no suspect identified
1dba79af99b7cc08223138a989bfcb1efe65fe5935f7282a5a51f87affdb2f27,2022-04,Gwent Police,Gwent Police,-2.977096,51.595908,On or near CORNWALL ROAD,W01001679,Newport 007D,Investigation complete; no suspect identified
7811c6b26ea5621f848cac6febc98078e3e4187b2c75ebee5fba7bd68ffae7d5,2022-04,Gwent Police,Gwent Police,-3.217490,51.585757,On or near CAE RHOS,W01001372,Caerphilly 022B,Investigation complete; no suspect identified
a385fc989667086750940b808e47f1c5d051f383871f0c8a44c449559a1de60f,2022-04,Gwent Police,Gwent Police,-3.025509,51.822692,On or near MERTHYR ROAD,W01001557,Monmouthshire 001C,Investigation complete; no suspect identified
0b75cb9566d6c808107e3dabd05c47c89b0c27571d49db51a2369dd0cd04dfb3,2022-04,Gwent Police,Gwent Police,-3.253499,51.769428,On or near ATTLEE CLOSE,W01001479,Blaenau Gwent 006D,Investigation complete; no suspect identified
2312dab3e4311af99351e0ce0d86a0ed3424cad55dd14cb4c60fbee8489c7098,2022-04,Gwent Police,Gwent Police,-3.026464,51.637864,On or near TY-COCH LANE,W01001534,Torfaen 012C,Investigation complete; no suspect identified
81790db81231f493326664fc0626e06a71b2ba15030b25b6995819cfa7e87f04,2022-04,Gwent Police,Gwent Police,-2.965691,51.580969,On or near HAMPDEN COURT,W01001642,Newport 013A,Investigation complete; no suspect identified
26d86296d075f3fe248036bb6717529d73ef1fd9ef24a6e9cdc5693b55c03871,2022-04,Gwent Police,Gwent Police,-2.945278,51.576495,On or near CENTRAL AVENUE,W01001646,Newport 015E,Investigation complete; no suspect identified
6f5593db1a02cef2f1d975dcea3429f8850539e76e490b210f4f986dba01ad28,2022-04,Gwent Police,Gwent Police,-3.238438,51.769291,On or near KIMBERLEY TERRACE,W01001463,Blaenau Gwent 006B,Investigation complete; no suspect identified
bd9a435cb0633b533a97d0188f429f7284bd4e95250ff53560cb55580e0c06ee,2022-04,Gwent Police,Gwent Police,-3.237519,51.641287,On or near LISBURN ROAD,W01001433,Caerphilly 013E,Investigation complete; no suspect identified
