Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7255ffd0e959640782b83bc8be4094347a9d79936b92ba8be1a68f827d2dcdbb,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
9cc48d573b8c2013d15930bd9034d91aa486f995d904897230c42134fbd04bb6,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
dd36c041287b1076cb33c444e1e80a8f4fdd56331ac5726164f859bb86113a2f,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
2ce378ed808650fa196cf73eef9638ee8e4e999d18c707fdd2fac9f7fd4e21c7,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
276623719253d04d24145f30b485e87138c6c464e3007a9fed5ec660eb86fa9d,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
e4e200e2ed22649b25d98ab9eeb70d77cf962dff16b51ffcfddfd1386e8dced1,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Local resolution
27e364c5fde1ce36abc40a6bd67bd68716f78ded99cc3f370205bef499e3f367,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
51e41cd351a6a03fbf5ae4ffe67cdf67d6d0ed35803de47aa1466b8d6f175fa1,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
8b3a460f9e6b6d1d0754747b69bbf4f0c9ba014d49871e5ceec4b37e2c594b06,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
344df2904122451c35b07ef1d03d97a9e19dc4599065605cd2abf4d92a0cdc1f,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
ee49119a06d2f2508a645910c85fc1eed7d206a39e63d085480ea0b19e486bae,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
a83b092c2e12d2b0a3d4aeedca5094891bd8893a3b62de07af0d9b6b154cfe14,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
1a55790ae8038e2005d87492eb70749fc57cbf364e166cce3ba2c9b7f062b40b,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
bdea8bb08d976de98cea3f4c4dcc82996267dbe055675cb4b71e3bf92cda829b,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
064a3f1d2bc2827d015d8c359b3b68297d01d1aff494c7cc9b3a34598e1ec250,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
14d5005c8e14ad4d2c8685b0b8bfcedf6dee129f3a5ef6a467f4e2840dee2e23,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
8b504e4a5848b4da4a75affdb873682ed0c5d26a3a732adaebe2eb86c86b974a,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
f1599eaf3eaecec448b0089354fc120928d620e7dec05da86405afe1fe051685,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
64cad7342ff01582bff144d7a369cbbd4587aa2bc56e28dfa6b015d11a5c4f85,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
2bd64e57c7fa96647ecde8e03d37e20467898e5669c05a17c53685509ec9adab,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
579bd75c924b72feac6cbb68ec0b82f0bd84333c5d183b74e2d118503915ad93,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
cfa5c1467e9aa69f055645ce6daa61793202f0a1c364127b9c69ff6b012bd095,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
3cdd238404cff4de5f25faf4218a433c5610cfa8b11d4a3f41751d5c11c1c24e,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
d26e7ff4759f527743f22d75633e56cd17c02eadd19488922fc167360475ad9e,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
f5c09a328ce54553fcdb3e125b75e5b6785a871e695e36e2d60664e4baa66785,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
f5a88daff5cd1b424718acb8b48ff65311834fb8a8c366a63a731a4e14826777,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
49c39b9d9ea4f0fced144d0f04e5345c296232f0bd2aadd5e303a7576d7b72fd,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
8be1150216b42529ddb44c670835332ba6531391150a05ff41ae7ae09c86cbad,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
e144cc3010f78ecefaff3088fc5ce9323ba0b96c1b2780c072625358c82a290b,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
6e0f977de897f4618a83d584c8a63f04e5021335e1301e1b13738b7b132e2bd3,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
eb7432b51c3c55f0a5c5b768d2585f5ed308b5fb961dd90e25e71b6b32294e1e,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
2a0706008d50ea4373b38486be7c0c1a6802586635f8f737616b9db3f7c3ff99,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
d94344bed6bfc5c8939acfcbaf5fb9261fa98e7f299a1b4f9f5fe59df3d032de,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
25d655c793d28e726dd6ae35052c509abf11c75ccbfde6726eccf39e68465123,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Local resolution
bf081cc963566ec840057cbb9c8aea2f20ee1a36ee5bc48c9858f02168126191,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
aef18db31b5923b1b57d3df156af5d2915b6ab414e9d1f40b44fd2a68dcb3bce,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
1b2ef2fb00b5125fa172951bfc9cf2bbddeae8484c609d19788d0cffd3e9a137,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
e10f01bc96fd89ede6ce7b4ac01ab8ed87d3b6782e23efcdd45d03cc9181213c,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
2bf47ef7ba722377e40ac7926eaee532a00d5a71c85013a0650435d81b9933f1,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
8328cd0a37f53b53fbc3861d80fa8f649eade42fa70c368083227083c1453753,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
3c599f20c9d1dff7a18e014b9a86f69d587103abfbb764543af8ec84a7252052,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
da47c424c8d9f5c73895fe9c98ccc271f2e360b720668267c83438996596a4f7,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
687da6099ddd8f25432f4e84d12b8a192a7d93f86664061b36626502ff1cb32f,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
c8e318ac34a478d6a52d86a37124a4640b5c97bc0e3266ec20df76eaec878fce,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
7a0e13cb85818db7b0de9de5fa9213ab1e526a5cb33dfc0d63915401092c59ff,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
3c38d67df56eda1a54d0828a4c498df04b70b197b0e47d648370fcd835039143,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
cc9a94df77aeb4026175f498cdab2a37c527e07b2088cc80fff89aabbef17ee4,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
8a2a1382c06741faebbb428540625a1c349e8422ebe335592c8aa3194d416b72,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
b5c6fb28704a0b8e396b8e47e4c8a7beef4c471d9de0d8a94ca567978cde73aa,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
17a0905d798d0af7c62df38980c3387fde00c098678ff9f9fe55702a725a83f8,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
1545a18a098742b73134730e7444684033c2ea4b5c739d3e82f90e1336d03ee4,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
68910cdf9219766433d41535c52f916e36a8fecc2fd7c49afe4fcb17562a3cce,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
5801c4bc9b6de9508ed40937f07616eef22210d6cf7a3bd027ec7fa63a20f20b,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Further investigation is not in the public interest
7c1d3f1d87785ef75063d904ebe74166578174bdafd6be15fc6be124846abf0d,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
e8479695eab6d54e171d366dcdce1cfe7a20e212ba584edcd26cbd4a2c6fc5d2,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
462e91e814bb6045fb1efb678ca6dc420f78a5bf9031c4f95959571de84f88b5,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
fcefd23791b33edf7ad195ff8763e0a1a18fd566b04785bbbf66adafa7a529d7,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
1b3ca9fdfd21d4fdae57c7d70280089d24f6d3af901b548bebf3478b33914e24,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
a64e390e98c1b73d0aed739dbdf4c6478b0b5dc7d7d5cbbed185994b349f6996,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
538c6724d18a6f76ec0518b46a2edc561c6cb9a63af14749074c7b9d38617944,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
e04209855f4f4e8ee39113555ff49873a24a19f6c904ef23bee2c98caa29a882,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
9eaedfcdbe96e170763572bbe7adc74d810f360c5b5fcb8bae09910e0cea7b66,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
1f097362d433968a427eb1b385028931f031bbdaa40d74aef50553bef965fd5e,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
a3ad50814b32c5e2c271f6428460addb00cbf1cbbd65be70a44ee120eb670724,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
d182a027146a96853b0c99b5da1099cd353cf32780534f0e32306e0af902d949,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
b2c299b8e6f942bcf5ab85337b38912c72232d8244752bc211c83be0961b61fa,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Suspect charged
24f3e48230b86dac90a49ad19b88153179b5ab6a46aa93cf80fbe9d9afe05bb8,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
8316e8a269ec386416df13633ac185fd81172c44416e9d8f1b506ab230ddcec8,2022-04,Lancashire Constabulary,Lancashire Constabulary,-2.652887,53.629529,On or near BIRKACRE BROW,E01024960,Chorley 013C,Investigation complete; no suspect identified
89fe50318328329bf4483ab1d892cb9d0bdd4b13bc75efccf6214d52f6108a08,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
e192d3e583768009bfe478d89e10e4a86a35edcd9414f708c0ce97ba7de390a7,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
2389cea9904de75679f1998e8bf4a856a42a94bd58e7e56684e80300bf4a995b,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
9832beee029188dd08cc57c96b71cda8a014098159f70a979f75bbc129e66023,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
30e8c1cade7e3b2f2ef069427ed4853f3c0b22ec0a8c7e9b2c897efcb0d7bfe9,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Unable to prosecute suspect
6ce2bec10ec97f13c3c2c06c9a76fc0937a8b86b1e1158fe00ec4a63b2af1447,2022-04,Lancashire Constabulary,Lancashire Constabulary,,,No location,,,Investigation complete; no suspect identified
