Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5ed253be4cb02824c7979bc3291f1e2af6cdd9bc1b4a8eb1c882c3865c33cb28,2022-04,Thames Valley Police,Thames Valley Police,-0.792910,51.823329,On or near ASH CLOSE,E01017697,Aylesbury Vale 014A,Unable to prosecute suspect
b68a0f4947e1899ed2ff33763b517af25ff5598b7097dec9d1ad21463b796ed6,2022-04,Thames Valley Police,Thames Valley Police,-1.277287,51.930825,On or near RECTORY CLOSE,E01028506,Cherwell 010D,Investigation complete; no suspect identified
382ec96b5f316662286446e052d9ce61f078cbff96012492b286cdf83fa07672,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
ee1afc7c2a8128d3b85fbdd5be4e32ad680fdfa9eebbdfb68cffe047b4807290,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
81c4b0e58416d347c38f178642cb770598560d00e3afc20bd4c81ecec9270f09,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
00c6aef710b19d3b68436f01f78e37d51d8c7fc9d8abb6cc21b8e70686ff4b19,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
0c6f534d0343d783665b58fbe869212b6f002421d64d0b182061c7fd18bc99c2,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
ecf236f70ae1cfec1cad4ff26a8fdb9255940f546a23ce57bb1e44d815b42b7c,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
464aeb4c5f65d3d9caf038eb66670dfd1b9c0c577e0513955de2fd7e25154051,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
8ee32571929e599b0a514523efbd535e7bdf1c655dc82de50e3e895d4f9eca0c,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given a caution
82ab5cd2bf9ca647e099d5969647787713128e170065289805a520e839c395df,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
a58aa73b8e13ec011d969527eb35703f30bac6488ffc6042df39845f71458ef4,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
947f328eb60b8a7283ba468a8777d10f1b35c498f0920dc4ffccf082dea5ef7e,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
fa05af2df810fd507c5b29ba06ae01a5c923a87de56be2ea4dc9d53a45eec1b9,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
d7ee0051af9d96ddbb300f5149b7284ef7244ae5ffa47f2ec6212824a643ffc6,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
eb204694f485f2f23e87ab2f352a8621f7d591133b24f1a61e4f14afa80e1cb0,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Further investigation is not in the public interest
d90c63c1686729e3bac6fb7714f365da4a1de75210232db05b583643554fc0c3,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
32320d72fe240bf1f2716ac1eefcd4e6b01356340f77feb78be269f1192f88d1,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
367653b5b514332fe466c5e8de0fb71acd113596a33aaee9a88066c21c854887,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Local resolution
31e71d470b4b5456e995de480b1a78fb12584bdcdde73971292567c76457195a,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
084669c9b183eb29aee20f982a6bffb6d0248f384a8a5dbc5f13cc2c28b93fe3,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
592226e2f62e0420e9e9c65ce3573dc501444625662161c30207cd93e691ea98,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
620679793cf2f70c213b2115f333a8ed28a091297b98e3dad166c28c3d26c52b,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
4bbb7b49bc574ec22abee8d1837ef036e076878d0e3d405457b84b904fafdea0,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
e249fa05f11c92ed9a0d540231a0a3611c6b1e078285ea5f74cca9c3a1843970,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
416bea288c378aaabe2f5eee6d72514b25fcda3eaafc5914f3f7d1b726ab68c5,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
d6148f52694902495227e3ac41c0d7bd34d66799dfce6cc031514b06b7b0f5d3,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Local resolution
2c779205f68fbbd7e4355ad06c095ea23903a2bf68bc2b384634bc225754218c,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
85437cd10751af0985f712f13ea0db963ee11d64c4b33c865f38ac2e4b4ef4db,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
033659c9ec07dcc3c59e3e2102c361b5ec11f2f4655aa95d4fc305975d56a2f8,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
7512500162481cd779c90496e59455108bc85e86ba06f80b93fa70157686ef3c,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
b58baaebd548c979494428ee8c1caa6e48d27534f04a0e0f948763eed90e3aed,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
9eafcf6766c463c7f8ad631aa44fad5d57a15b3ba1b7297e759a9a92184cf6dd,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Offender given a caution
b25baf87afdf7334ce7534d141b990c349f13e1ca786177ce66eb3a75d4fc622,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
05d42e2aaed209fc09abdbead830e8646ef32ded538c74f42840513052b3a82a,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Action to be taken by another organisation
bc6b8853bd387f64e772babe2e73a13a0e4b40217b677d797dafee1311d017d8,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Suspect charged
991a53ca40d59407ed6f7f3c115066b2dd0953665d5a473471bd713f67410e60,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
1d47a6b4c054c1db0a46b38cb132dc465d7bd8f28ee3e791c58be20988b1c6b1,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
46e5df83f0cec53e85b5f2ecc9d28c79bfe8ae454ed30348b47e7d781fcf3f10,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
e794c5503c288168ee225597f00122208e000e0b28dbee4e49796115ae539fa1,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
e43c2dd1640bdb4ce70b9c34df77a0000762fdc6cdcd710753c460e7240d0474,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
cf9788a8ffa885bbbac984840118571967f1117e0f9c236f7c138e6d1e7f9df9,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
3a61936f22085909120c07bdf5e2d70320e5e091b7f7414c5d770a05d3872279,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
a5cedb99abc4e1afbc2bc8b1e9a65a114f7df53855cce52d65c75ef8ea9ddcca,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
7ccca2e4dc573e4dec697fde8ca0d0fca0afde7af40b90ab8e89af30174ef025,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
8a5347ff15e4943e33d5f5f6bb24aecb8952fc495164f0899d33ea98db30d6d2,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Unable to prosecute suspect
363fb071b0cbe8eecb2291d82776660bbe46676ab4b61b6b9a55d89228314482,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
4803535669fb380b0eb055df51c4815b39f8f9e298c29ebd39f3b16a4997abdc,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
e7c1641bb77e867f61250a8ff32bb0f6ae71acf5d9fd47529044128a12097d1e,2022-04,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
