Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
27d84b640559afde7ad7e2579fbf12527c4e278bd02b57d4d0a1e0d19854ca43,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
396c0f062cf3730b6a62b0f865de655c0907e6c4a387e554432881540100dfac,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a3c32e69433c2dbeb6b58cceb88e0cda78c9b0b20e0dff5a99562bbeb960e1a8,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
c1d43398a56a90fb02dbe719a16b6dab4cdabacad5dcbc50acdd1b22fb16c9bd,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
b05a96979da2426a69f9f487ff2ea85a16cf1e87a04cb74bb9f9399dc3eb7a62,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
f62327c86e33b3cd73504187f1a179cae9611625e92882f6bac0bfdd8faef9d9,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
7c2fb27d030fe6fd89eab28df781b3c744b671741baae346c6d601f6317f1e28,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ade518f1f51539c25868eaac17bc5bc3d94e168a93302c942284d58700d0a2c8,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
21522d2fb423e725a2b56ebadef0769dbcec2c0326c3c0f18b8b3dc881bc8448,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further action is not in the public interest
4c6544af6fc46e75f585f7eebf7f25ad0b88d62f2ab9358183b059f03b10e01b,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
cf43808131ad773a4f935849d5415ddc134ad0709211b8a112d6df493944dc2c,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
879edc648e8fa5380e9bc49aaacd9611051708c37cd89637cd7353ea59d7ace3,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
9cf0245b85850a1c4efd53141eef4640e8b6e111a71af754a6faaad189b7fa69,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
2eebbaa5536a511bc8aa2a2f5a8d34bf36f571f96782c7b7b6db4b56e9201cf7,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
5734f3c2a867dfe82fc03172b17c5f2814a0e0abe54d55319def6821a62f97f4,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
b80f6c695ba6beaa9bef4a5829ef396b3306ef9b6845eebbbf722464306d12ee,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
e46af23c316c5f8466a90286f12e0dc98965abdd5f76ef1b73fbd0eb7736c013,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
2b2400a04d9076d36177ea695012970b016edf7aeb71cc0a66ee670355487d91,2022-05,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
