Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
21224bd0e36a67250c12bc5fd97ce4b396cbfe6965e34dcb651513ef253c35a4,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.865479,53.193057,On or near CHURTON STREET,E01018319,Cheshire West and Chester 036A,Unable to prosecute suspect
05f7fa099948be627d71b7aec9858d0956721c76ebaf3eed1396006527a24574,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.525108,53.187413,On or near GRANVILLE SQUARE,E01018731,Cheshire West and Chester 042A,Local resolution
de58a6d567d1eb557e53744f92a83f4a0f1b5622a4dd8cb941b1ea7b8a5665f0,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.936227,53.199013,On or near CONWAY GROVE,E01018317,Cheshire West and Chester 031E,Suspect charged
4a7eede93a3a86eed491fb2c36cd25df22715813bbf614690a5f7684530178c5,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.435534,53.083402,On or near GRESTY ROAD,E01018445,Cheshire East 045A,Unable to prosecute suspect
5dc4f6a85640b139acfb1003c8c4d2702fb396d57ebc7c1016adbbbaaa54bc3f,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.455997,53.105520,On or near BADGER AVENUE,E01018466,Cheshire East 036D,Unable to prosecute suspect
738a59c5515096e2f5c79f2fc98db65aa694007f719b4b9dee0d2b457b01062c,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.688807,53.375211,On or near Sports/Recreation Area,E01012530,Warrington 019D,Investigation complete; no suspect identified
da4a9371f10466f2a99941a75b056c05a5c43a308000539fe629ca1c38977906,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.574372,53.416383,On or near LINNET CLOSE,E01012534,Warrington 006B,Suspect charged
e71b3096770d4fc31114c3420c1b355d888343b5ebc93a523ba268c030f1e765,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.877357,53.084902,On or near CHURCH STREET,E01018339,Cheshire West and Chester 047A,Investigation complete; no suspect identified
c3da37cddaea8318a543e9c11e980b78092270cf21c31d75d224f312bd23ec98,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.714778,53.374123,On or near PROCTORS CLOSE,E01012413,Halton 003D,Further investigation is not in the public interest
1f0909608f9c564f0f408d69412d081ca06d3cab1353e3fb8fe40b77798511e5,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.893529,53.195205,On or near UPPER NORTHGATE STREET,E01018326,Cheshire West and Chester 034A,Investigation complete; no suspect identified
970b565acbadf48d8bee88b4f806e0e9887da1e9318f43e2250c70895b4d1a7a,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.887293,53.183890,On or near Petrol Station,E01018342,Cheshire West and Chester 043F,Investigation complete; no suspect identified
3b68d8116ba4c9583dbcdd62a4facdc82425ad009b738e98e30f5f678b050fe5,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.720734,53.369000,On or near GREEN OAKS WAY,E01012370,Halton 007B,Further action is not in the public interest
2954609e553d94d9270cce8ee93e19fb2bd46af2cc403013a1efd4d1e5850242,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.541545,53.407098,On or near GROSVENOR GRANGE,E01012555,Warrington 014D,Investigation complete; no suspect identified
7afe5aaf406cb5a68deeb29dfb40fd05ccc0f9584d7dc151feef90d53385fdc1,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.441461,53.108163,On or near CROSSWAY,E01018476,Cheshire East 035B,Unable to prosecute suspect
5e1a2686368202644cc5316f704ac44b0b97c73f5612b0d586b4bd253e97e02e,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.866280,53.203803,On or near ALEXANDRA COURT,E01018346,Cheshire West and Chester 032B,Unable to prosecute suspect
194b45ac830d3502e38b9d5943c2d3aa572c43f661be51ef1f08fb847eb30614,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.591526,53.386124,On or near BRIDGE STREET,E01033300,Warrington 018F,Local resolution
51a189277c227d740b767daa6734579606a7d45907bb084782a6d9297739afaa,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.519595,53.419249,On or near NIGHTINGALE CLOSE,E01012466,Warrington 005D,Action to be taken by another organisation
4c905089274d126d31958eedb42f2725b9a9c5da5aa6b9d21338e9f5d40d3134,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.584149,53.395320,On or near GREENINGS COURT,E01033299,Warrington 017F,Unable to prosecute suspect
b285c9772fbca7f07d153dc0393c1b37bff8adb616fa587ae87b31d02fdf3efb,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.555627,53.401568,On or near LAMBS LANE,E01012549,Warrington 012D,Investigation complete; no suspect identified
1d7b583663e7762260994ce7b719cd14381a74c713abedd49d239e3d05a0f1c3,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.550757,53.188412,On or near NEWBURY AVENUE,E01018738,Cheshire West and Chester 040B,Unable to prosecute suspect
22043735bed349db6936de9866068b56e17c56e24a132e3af9a690c9663242b6,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.638670,53.403849,On or near BICKNELL CLOSE,E01012569,Warrington 010E,Unable to prosecute suspect
353db083dbd7e5ae185ca04c5ef43b44a79dbfe53695f5cf65da496a65b30705,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.873347,53.202367,On or near SHAVINGTON AVENUE,E01018346,Cheshire West and Chester 032B,Further action is not in the public interest
ca475338910d474fbefda626347114506301b0233957b287339ee53e5657ebb2,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.519595,53.419249,On or near NIGHTINGALE CLOSE,E01012466,Warrington 005D,Action to be taken by another organisation
f944f75becd8f0820e59873de516e7cc12c67585ddfdcb30c142caa4f3267393,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.724476,53.371620,On or near ROUTLEDGE STREET,E01012370,Halton 007B,Unable to prosecute suspect
6db95e37ef9fe5f3cab15b181f211e395bf3e9b9db3a45c884ba78610f241aea,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.919710,53.170106,On or near WINCHESTER SQUARE,E01018354,Cheshire West and Chester 044D,Unable to prosecute suspect
b269fcfb10f444a62df40ce6e7d208d8d36e0fc6f1a3985068291138c052d81a,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.735790,53.348782,On or near BANK STREET,E01012441,Halton 007D,Unable to prosecute suspect
b8affbaf1b6cd77f1908d8857085be353dd26e4bf0c504733e10eb4447219e08,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.613745,53.391153,On or near DELAMERE STREET,E01012457,Warrington 013D,Unable to prosecute suspect
d18e9d0fa15e56dfd940875856845df08d45112589bc9c661dd646eef4732d47,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.735492,53.369845,On or near TOWNELEY COURT,E01012425,Halton 005C,Further action is not in the public interest
4c4767d7aa338fe27881b83f79e475e7e8317e21f5f2c3bb60f8aff4d4e91749,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.432469,53.097823,On or near MANCHESTER BRIDGE,E01018464,Cheshire East 039B,Investigation complete; no suspect identified
9abe8da02682214b5c574c94a1dafc15a615ff8c9d862a20b8a4a6a3cfc118d0,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.864518,53.196597,On or near CRAITHIE ROAD,E01018382,Cheshire West and Chester 036D,Unable to prosecute suspect
cbfc7cbececc688bc239720c75519439bb743062cace5ae72764c2892b5cd4a7,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.730753,53.365155,On or near Supermarket,E01012424,Halton 007C,Investigation complete; no suspect identified
9e95e494d9edcf1d2029dc49e8908e7c5c3341cbf859335cf8f27c7bb0795d7c,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.899273,53.280802,On or near WOODFIELD ROAD,E01018520,Cheshire West and Chester 007B,Unable to prosecute suspect
1fb2f1a22d1422ce0603caca2c7c44bd9c6ddb5fb56ca680180b23ebefd71d75,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.131946,53.243240,On or near TORR ROAD,E01018637,Cheshire East 021A,Unable to prosecute suspect
927fe9e2bc7c77dabc0535883b718cc73baf2da5c95e00aa1fd1ea02f8f74d69,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.205346,53.319199,On or near PRESTBURY ROAD,E01018600,Cheshire East 006A,Investigation complete; no suspect identified
a9d0b8dab057579d0838459e0107fe2d701a0b224555b36e7f5632e30fd155d4,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.442746,53.092284,On or near MAXWELL STREET,E01018487,Cheshire East 043B,Unable to prosecute suspect
b018d68f343e5ff6e520925edabbef9aa4fed1fb20171d815693175fd366282c,2022-05,Cheshire Constabulary,Cheshire Constabulary,-2.912266,53.281701,On or near CANNON STREET,E01018524,Cheshire West and Chester 008B,Unable to prosecute suspect
