Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0b7bd9267a90ca92dba8339cb378a6869f6c2cae408f1d912da31a3da07e7e5f,2022-05,Cleveland Police,Cleveland Police,-1.239138,54.570154,On or near Parking Area,E01012039,Middlesbrough 003D,Investigation complete; no suspect identified
42af111d0c37fb21ecfe61032f8ebf5326cb6613f99a9660cce77ffc240114c4,2022-05,Cleveland Police,Cleveland Police,-1.354154,54.508623,On or near HIGH STREET,E01012299,Stockton-on-Tees 024C,Unable to prosecute suspect
e4d916da04e9ee1cc404c1f3e145c19db3fac8e1d51224d10f0797f88c10bf20,2022-05,Cleveland Police,Cleveland Police,-1.323838,54.573964,On or near ZETLAND ROAD,E01012251,Stockton-on-Tees 012B,Investigation complete; no suspect identified
a4e787d58cfcc18b7a3c422ef065988206f473e3e802aa3731442f0ce8cf17ca,2022-05,Cleveland Police,Cleveland Police,-1.218749,54.673806,On or near BARTON AVENUE,E01011987,Hartlepool 008C,Unable to prosecute suspect
03fbf0bdff56e45e71c392660da1e8fe59d75c529f7960deba2349836b4fae39,2022-05,Cleveland Police,Cleveland Police,-1.215226,54.554005,On or near Hospital,E01012018,Middlesbrough 011A,Local resolution
76764bbbf5a77f6977520ad32ae02febca441ec40382a496e9dd05120688e779,2022-05,Cleveland Police,Cleveland Police,-1.052575,54.533707,On or near Parking Area,E01012120,Redcar and Cleveland 020A,Investigation complete; no suspect identified
e7dfbbe941ea1ca3e7b78ee4470fd761358d0af1ee916799d4d89091e5b23b78,2022-05,Cleveland Police,Cleveland Police,-1.332433,54.588535,On or near RHYL CLOSE,E01012274,Stockton-on-Tees 008F,Suspect charged
93f4551ff0e716beed949674ead8c04cbba12372030061f8398a97af3460eaf1,2022-05,Cleveland Police,Cleveland Police,-1.322144,54.523151,On or near MYTON WAY,E01033478,Stockton-on-Tees 023H,Unable to prosecute suspect
02562de4966a3ff0e8d01745131410cb19c23c3ba9212bf18f32e0c867012fde,2022-05,Cleveland Police,Cleveland Police,-1.218516,54.675449,On or near ETON STREET,E01011950,Hartlepool 008A,Investigation complete; no suspect identified
6db465fe8bd8bcedf9c52f4802802e1be045d153d67de99551d2ba33ca797e47,2022-05,Cleveland Police,Cleveland Police,-1.328030,54.563643,On or near WEMBLEY WAY,E01012217,Stockton-on-Tees 016B,Investigation complete; no suspect identified
743ef640b5aefd97f1fe7e428353971bf2b859d51aab5dd31f353a70bd39f29f,2022-05,Cleveland Police,Cleveland Police,-1.153023,54.574939,On or near ROBERT AVENUE,E01033471,Redcar and Cleveland 009F,Investigation complete; no suspect identified
2331bb596662489ece39bccf2878be9d90bab1c5285c4fc3eee6535d5dee6883,2022-05,Cleveland Police,Cleveland Police,-1.226988,54.547717,On or near GLENEAGLES ROAD,E01012021,Middlesbrough 011D,Suspect charged
8b8c1f36ed0bc9c20e6a138218d65c547ac520db7cd6c9ecc02d0cce84d20034,2022-05,Cleveland Police,Cleveland Police,-1.221316,54.708233,On or near WINGFIELD DRIVE,E01011992,Hartlepool 002D,Investigation complete; no suspect identified
c04ebe822b5a55ae114a5e6bcb7aec73aea09ab6667c52abe86f30129a12f60a,2022-05,Cleveland Police,Cleveland Police,-1.223978,54.695615,On or near CHATHAM GARDENS,E01011957,Hartlepool 003C,Unable to prosecute suspect
7c13df222ca0804ca926fe80c9c53ec130085b610b96114cc72684a173a731b2,2022-05,Cleveland Police,Cleveland Police,-1.170783,54.576401,On or near KEIR HARDIE CRESCENT,E01012170,Redcar and Cleveland 022D,Unable to prosecute suspect
27e3f5f88eecbe1583068e02fb41a1826c20027840525148107eaa00f5c920c4,2022-05,Cleveland Police,Cleveland Police,-1.319783,54.582506,On or near HONEYSUCKLE COURT,E01012195,Stockton-on-Tees 010B,Investigation complete; no suspect identified
8f58e05196167fd2bfd6e2d86398878f98f64336348ac748ce3f4acbf975e985,2022-05,Cleveland Police,Cleveland Police,-1.223978,54.695615,On or near CHATHAM GARDENS,E01011957,Hartlepool 003C,Unable to prosecute suspect
b67fb48f8a51e0b19beff73c03878484d64dad0f15558e9a41a82fa598f91636,2022-05,Cleveland Police,Cleveland Police,-1.223978,54.695615,On or near CHATHAM GARDENS,E01011957,Hartlepool 003C,Unable to prosecute suspect
60a91a124475bc7503fb1e3224e9893e07eee7d598a85f57e49c0d4448fcc999,2022-05,Cleveland Police,Cleveland Police,-1.332524,54.586747,On or near REDRUTH AVENUE,E01012274,Stockton-on-Tees 008F,Unable to prosecute suspect
73bc665b18bbba9f91d520f86221efd041bea978f6c1445cef0eef7f4357cf61,2022-05,Cleveland Police,Cleveland Police,-1.341095,54.555187,On or near Supermarket,E01012223,Stockton-on-Tees 016D,Investigation complete; no suspect identified
422bb5cceb88ec47f6efb55d85e2c2348a858d0a6556626a133ccf0cd1da8e53,2022-05,Cleveland Police,Cleveland Police,-1.224274,54.684976,On or near HUTTON AVENUE,E01011964,Hartlepool 007B,Investigation complete; no suspect identified
bacfab56f18b1d3df659b9e4b0a513a5da3af3eeb6bc229cea823b1bfae9dea2,2022-05,Cleveland Police,Cleveland Police,-1.227343,54.685922,On or near GRANGE ROAD,E01011965,Hartlepool 006A,Further investigation is not in the public interest
330ff02111baa410d2bc854ccf15187a12801e6d322283d188fbaa5e544c1767,2022-05,Cleveland Police,Cleveland Police,-1.317138,54.562064,On or near Parking Area,E01033477,Stockton-on-Tees 014G,Unable to prosecute suspect
b59481b8e9cc12d251316081890daf1ac3416979bee9df484dcb432f6f1a96d5,2022-05,Cleveland Police,Cleveland Police,-1.239138,54.570154,On or near Parking Area,E01012039,Middlesbrough 003D,Investigation complete; no suspect identified
fe64d2411b68e082ca58565ab1fa53d7bbe130c9a3aa0344b5a683d93d4e45f4,2022-05,Cleveland Police,Cleveland Police,-1.248513,54.712108,On or near WENTWORTH GROVE,E01011969,Hartlepool 001B,Unable to prosecute suspect
0f3593d6e0998bf195781c9c2dd4be137a5cdc28868b58d071043d026414813a,2022-05,Cleveland Police,Cleveland Police,-1.252370,54.712554,On or near THORNBURY CLOSE,E01011971,Hartlepool 001D,Unable to prosecute suspect
