Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f717368fc49596523710448d0e664a30501ddb32f6f4c1d7c2a593356c372450,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.292052,52.628490,On or near ST PETERS STREET,E01026822,Norwich 007A,Unable to prosecute suspect
0a24831b656fd9a40aec960050cf0f66aeeef70501eebe996f4d06b5d35f75d9,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.292052,52.628490,On or near ST PETERS STREET,E01026822,Norwich 007A,Suspect charged
a9d094ff32449b63b26d2d87f888e709a9fe46a62f7768d65912ce8ef6873476,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
f7089d5d42e7676b8afed14ff7cfaabb54f767003ac24958ee3055a7a01c4d13,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
0d2831640429fde6aace411b5d7b8617d07eadcb127e84b905175409119a2d5a,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
7bcf83a20bceaac1138350bd9f935a54dc2044dff9f06b8028a3619236311df5,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Action to be taken by another organisation
723345658e7ad9a8cff13c385dceb64b401d2e216cc3166e6b5f951d9787c5c9,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.351058,52.634128,On or near DAVIDSON ROAD,E01026573,Broadland 015E,Local resolution
fa5bcbf5cbdb773fd1c0bd0eee08a6fe73bbd154832277541923bcd090ee0ae0,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
f8e420032a66cba96985eee67b4a5454786f88dd336f3bf4b5a8a9b7fbf62813,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
1ff300aaddb49948fe65e7b06b30b7d528043b6b270973d51025db1ca55b285a,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
eb71cfd5564e188d7875ad6859c7fb2900832f2e1c2b4187441994f11cdd786b,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
3483bfac55bd4a21609b67f3615e8f071ce9d1664c135a95fcec43854525e930,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.125575,52.576102,On or near Petrol Station,E01026933,South Norfolk 007C,Investigation complete; no suspect identified
d26e3c057d94b760263149328d9d86a302741033da61d53068c865845ae5c7c1,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.060627,52.720260,On or near RICHMOND PLACE,E01026436,Breckland 001A,Local resolution
d26e3c057d94b760263149328d9d86a302741033da61d53068c865845ae5c7c1,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.060627,52.720260,On or near RICHMOND PLACE,E01026436,Breckland 001A,Local resolution
723345658e7ad9a8cff13c385dceb64b401d2e216cc3166e6b5f951d9787c5c9,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.351058,52.634128,On or near DAVIDSON ROAD,E01026573,Broadland 015E,Local resolution
6368609da8d2d011ba2236e7e74d3fb7ae90a451dd992cf000614d9c3e550822,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
cdea3b41e096204fc949f7cd596a3615c0c6e5ab9c05f3f4bf91cf1c59f0bb5d,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.137281,52.579399,On or near B1135,E01026933,South Norfolk 007C,Unable to prosecute suspect
be7e8809c031aec0f44c05f7887f2dee517759bffd3f48008d7d072edcff8ea6,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
8dd4e664e49d8b40792fbf196710abcf39d745e08d16a8086584ba25b438fc00,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
b841121565e2d82ed7517e6330766e38bee778a07aa6fa66f0299dc2c1ce7ea0,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
aa9e57b76344968568dfe55bdd4b6e466d93a6f471c06cb92df0cdb715092dc2,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
952a06ab7e018a1412ea9311a45925bb6fbc9fe047f7189403551b345d5d4283,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
64f37bf7b723f3edb85757a97e673e498244ccec08a3597030d1cb10210274db,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
faf630d9474aaab633ad1dcb0cf2493bc7f7f5899bf14e769e4ad1e7d44dca0c,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
ab7a36fa54d992017d417ce2692dc4e7cf8579f264f586e075eaf4427e71e555,2022-05,Norfolk Constabulary,Norfolk Constabulary,0.946739,52.681879,On or near MATSELL WAY,E01026426,Breckland 005B,Investigation complete; no suspect identified
bec9a108694c159b398b76d8cc41e1b3281e7a7c68bff27a698daedc2d0e4507,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
0f86d9638b33c10d2037e433601e9423c9754d01f56afd11f446c08113c3e531,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
4635d8addd83a810d8d4d174c37a4fe14d6a4c6de15252be305431a3f64be59f,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
018c2378e660af51a555978290fc31202ce07ee33ca936ce1a976273ce72d13c,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
7f63ebe4749485fe8e8106412b603847d121a8e50c9b48ffefb6277b3eaddd4d,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
813c73021d77d4700c2428cf6cddf9725eeacb624291e1743cd93268d7163ddd,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
86aa9b68db90571ddf94c47c736797468962040e3356c88d06f5b155ad85adb2,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
3107ceec4743bde426d986679a048b60e1d969d46d3246ee35aa3c87968fdaf4,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Unable to prosecute suspect
ba24599c5935dfc87966a474e0d5259a895bb9359567aed7cfeed87ff719d2ce,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.280486,52.637868,On or near CAUSEWAY CLOSE,E01026827,Norwich 007F,Unable to prosecute suspect
4971cdfa9eb5a241656f8701ae5166017e74a6dbfd510e351eb4696f44c3e0b5,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.033491,52.480312,On or near HARGHAM CLOSE,E01026421,Breckland 013A,Unable to prosecute suspect
983dd2f045ce649cd6fa3b24f21d8c7e49895428559bea69d6883fdc60f37807,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.415114,52.708286,On or near Park/Open Space,E01026744,North Norfolk 014A,Unable to prosecute suspect
65a776e523b83af02ade1580aeafeceb08d0bfe5242dde6041938a3e5cfb527a,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.070382,52.679296,On or near Sports/Recreation Area,E01026481,Breckland 006C,Unable to prosecute suspect
a715f477467dcc312a19d41055c0373f4c1ae990f873f47559d7270d8006fda2,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.325701,52.645546,On or near Sports/Recreation Area,E01026805,Norwich 004C,Formal action is not in the public interest
88a5d279a55ed1b8d4cd9f4b746b805b5dee60a6e3c97e73c104bd901c6ee2ad,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.325701,52.645546,On or near Sports/Recreation Area,E01026805,Norwich 004C,Action to be taken by another organisation
74a35846ea37c4c197d9202f0bb02c04b89022b1ba6c809ad2f1bf2da82b86fb,2022-05,Norfolk Constabulary,Norfolk Constabulary,0.870938,52.830166,On or near MISSION LANE,E01026748,North Norfolk 011D,Unable to prosecute suspect
74a35846ea37c4c197d9202f0bb02c04b89022b1ba6c809ad2f1bf2da82b86fb,2022-05,Norfolk Constabulary,Norfolk Constabulary,0.870938,52.830166,On or near MISSION LANE,E01026748,North Norfolk 011D,Unable to prosecute suspect
732521d4da66aaa78a216f73e70512ff257b1b3eea9ae2469cb7c033f499432c,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.176660,52.904236,On or near OSIER LANE,E01026733,North Norfolk 006C,Unable to prosecute suspect
be92403d8100dbe3c729550399bfd38c43b7153f0881d43a516a43ccc7b8e711,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.272247,52.666686,On or near CROMER ROAD,E01026797,Norwich 001A,Investigation complete; no suspect identified
b9a33a3f4c54fbc3c35862fe779d6d82a29ed855d28dac2b3bdbac9c92c22b96,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.317599,52.637562,On or near Prison,E01026806,Norwich 004D,Formal action is not in the public interest
292bc19b4467135a8891bcd276cb5de470bc3652d9bf9270695495e85f93de75,2022-05,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Action to be taken by another organisation
41cbf9cb552db0b9f7e72f68d171d54949004a89e2159814ffccde5c0fbe0e85,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.734671,52.606588,On or near RUSSELL SQUARE,E01026623,Great Yarmouth 006B,Investigation complete; no suspect identified
e21b66078fa3cab8f1774eb7a3c41227796885d9ddf6ae48a8bac393a4e25a2a,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.369142,52.630737,On or near Sports/Recreation Area,E01026575,Broadland 016B,Suspect charged
579eda5b9512c7de05d969b004b0a9d1b85e4ecf2da84ba59c6778eed5690bcf,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.369142,52.630737,On or near Sports/Recreation Area,E01026575,Broadland 016B,Suspect charged
18b12d737394e687cb029be3bde4812cfbd7dba0d2d2e3d14fc8908e76ebffa6,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.729355,52.616173,On or near MISSION PLACE,E01026595,Great Yarmouth 005A,Unable to prosecute suspect
5f6193f36865af79212de8f0f9c6aa2a07892b645d37cc1f3f0dbc939e9b5619,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.295601,52.642466,On or near TEMPLE ROAD,E01026846,Norwich 003F,Suspect charged
7cc3bdd15e22969f398932fda32b691ce83cb89073a753e6aa79dc0d471addf2,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.727334,52.614654,On or near NORTHGATE STREET,E01026595,Great Yarmouth 005A,Unable to prosecute suspect
b51612cf130c465a08fc3f2610a3c65a21dd0bf46e70f814e730cb4739982d29,2022-05,Norfolk Constabulary,Norfolk Constabulary,0.849240,52.830752,On or near Parking Area,E01026747,North Norfolk 011C,Unable to prosecute suspect
b51612cf130c465a08fc3f2610a3c65a21dd0bf46e70f814e730cb4739982d29,2022-05,Norfolk Constabulary,Norfolk Constabulary,0.849240,52.830752,On or near Parking Area,E01026747,North Norfolk 011C,Unable to prosecute suspect
a6b3a5e24d6458303c70ee4aea3c3c00d70870fdaf4a3ae83aa00cd47a88c478,2022-05,Norfolk Constabulary,Norfolk Constabulary,0.942301,52.682331,On or near WELLINGTON ROAD,E01026429,Breckland 003B,Suspect charged
f437502704f2fa4b32e510adcdd044b3bf01ba8cfe2e62645da5cb1a4e39c584,2022-05,Norfolk Constabulary,Norfolk Constabulary,-0.247221,51.552246,On or near SEVERN WAY,E01000506,Brent 014A,Unable to prosecute suspect
b1beabf1f8d45000a84a1585787704d435b1a1b112f08225ef35601ba1014420,2022-05,Norfolk Constabulary,Norfolk Constabulary,0.846659,52.830328,On or near OLD POST OFFICE STREET,E01026747,North Norfolk 011C,Suspect charged
ba0df0e539f28515da34dd2e62fcb1297682bb5039505e6a59020e80d46ede58,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.350679,52.632655,On or near GARGLE HILL,E01026573,Broadland 015E,Unable to prosecute suspect
6d37d4d9b2ebd5d39194de456af9a6fcdbb4018123989e3f2d18841eae472f5e,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.348238,52.626626,On or near ROXLEY CLOSE,E01026577,Broadland 016D,Unable to prosecute suspect
352ce839741876fdd6bbb80192999f4910082fc30150851d87eec510639d06da,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.308369,52.643945,On or near GILMAN ROAD,E01026844,Norwich 003D,Unable to prosecute suspect
f5b83a47dcc340ce416711f52841cdca712f92a634ca4fe954ce48175d14c237,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.310986,52.650212,On or near TEMPLEMERE,E01026802,Norwich 001F,Unable to prosecute suspect
2a3d753988e22fecaf1aa01ca6c960814856681e37748ce2b83a9b3b7f3a393f,2022-05,Norfolk Constabulary,Norfolk Constabulary,1.305884,52.627871,On or near PRINCE OF WALES ROAD,E01033438,Norwich 014A,Investigation complete; no suspect identified
