Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
13dae2c7c9e51d5869abfb5cb6c6266a66de93609ed72be3ea6da95d529f408e,2022-05,Wiltshire Police,Wiltshire Police,-1.840457,51.563023,On or near WALTER CLOSE,E01015505,Swindon 018D,Unable to prosecute suspect
0441222119ae24c4468380b39c8ea07e48ab2d2d2a6b2d9eedb0a79d1a4f7820,2022-05,Wiltshire Police,Wiltshire Police,-1.727707,51.538152,On or near Hospital,E01015547,Swindon 008C,Investigation complete; no suspect identified
907456979e811920a167c24f9e1448a5d2e7c1948fab2fc8083b89f70393ce76,2022-05,Wiltshire Police,Wiltshire Police,-1.771061,51.564436,On or near Sports/Recreation Area,E01015479,Swindon 017A,Investigation complete; no suspect identified
7081821d08a8a971e57d770f670a19df27a890a2a7af28b8742499c1103bc814,2022-05,Wiltshire Police,Wiltshire Police,-1.779385,51.561350,On or near Parking Area,E01032714,Swindon 019E,Investigation complete; no suspect identified
e889c57e2d44c9ea01898112d1e61112431e3e3a18c51834783f5b443f0a2cbd,2022-05,Wiltshire Police,Wiltshire Police,-1.785174,51.102324,On or near PARTRIDGE WAY,E01032011,Wiltshire 057B,Unable to prosecute suspect
3e51a90f92737160dd6d767003dbd8d99f7a25346199a637eeb1aac7bbeaf1cf,2022-05,Wiltshire Police,Wiltshire Police,-1.986031,51.514909,On or near HALES CLOSE,E01032699,Wiltshire 007I,Investigation complete; no suspect identified
007c0496e88365168ef24c9532ff9157fee5e6652f3c7527d27b95a01f95e21e,2022-05,Wiltshire Police,Wiltshire Police,-1.878568,51.585672,On or near WILLIS WAY,E01031956,Wiltshire 003C,Further action is not in the public interest
03158b1d12f2a4e0a458b79e0d535a3c6a44ce19742dbea7fc0bbda4f8394eeb,2022-05,Wiltshire Police,Wiltshire Police,-1.777306,51.197112,On or near MEADS ROAD,E01031996,Wiltshire 046B,Unable to prosecute suspect
efc983d51088deac8766b8e5f6659cdadc7ecca6dca6867f54ad91a14d25530a,2022-05,Wiltshire Police,Wiltshire Police,-1.840370,51.579701,On or near ASH CLOSE,E01031962,Wiltshire 003D,Unable to prosecute suspect
5a7f60f0bf4f6a9c829cc7988f6902c8be6a061da4d354c6dbfde46826b1bb2f,2022-05,Wiltshire Police,Wiltshire Police,-1.726654,51.415244,On or near UPPER CHURCH FIELDS,E01031865,Wiltshire 019E,Unable to prosecute suspect
e86786916b5074f608ff8aff7890312e22215785127c9e1cce0011974054136c,2022-05,Wiltshire Police,Wiltshire Police,-1.784955,51.561001,On or near Shopping Area,E01015494,Swindon 019A,Investigation complete; no suspect identified
ccfde0d9d2828b15e7e8e485e375c2884ba6d0ab4309f990ecf2c135333ab788,2022-05,Wiltshire Police,Wiltshire Police,-1.773250,51.169193,On or near HIGHFIELD ROAD,E01031979,Wiltshire 048F,Unable to prosecute suspect
3f16bc107c2adbc9368f5aaae5bfbfd93251875f9fff8693ec4567110e9ca181,2022-05,Wiltshire Police,Wiltshire Police,-1.976975,51.352061,On or near QUARRY CLOSE,E01031851,Wiltshire 025B,Unable to prosecute suspect
