Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0456acda0d8d8aa4e3371716b1829bca11d19505466272bddf334f36b7691c35,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
9276c79bac4efba5490a97a9a4c5a0398e31c39294a1458faeb40deb9ea86880,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
d0ecfe840e8379a66ddd009f8d5bddf1b4aeeab8c3105898883e881505020bdd,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
17ffa02d87ace90256edb2e0e99c1c8f62d40d53f18c6a12ea2dec2c11776b61,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
871bafc75b24931b6c26060ab4c525fcf58681396def94d3f5caccdf098152f8,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
69cd8ee35216fa5d25c4ca99e3940a7bd72d1914627c9576db37fc602af35ac6,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
6cf996f1ce994b33cab75253c73b14058709e3f31039547c7edd1a2cfb94b16b,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
045136de608b26e82fb9117f89cf269eedee931678de80343cb7ffe8c0944be9,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
7ec7458d66d2c967628d24780e175a72206646ff203b0b1ea719bef9c8051de1,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
2437096116f9ee63ad52912e9647a50acf6a6e81254e264c028c5ef52f239cf1,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
10f72d6d2db668b75929a70cc5f2d3541b4877ff758fd1c60623156821772f7e,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
0106497b1ff1a229ce545e77d3dc17cd516ad376740ba7a68db3bf69d1e2395c,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
eea788fcd05bde4584ae54af7a039731bb8563a07a2c71991f2886163f8e878f,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
39b6896d6f8788a96eb37ee5989199a1aaae96167a8280960a3e64e54e8c371b,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Unable to prosecute suspect
b71e96d2cef81b1198e680628ee175e132f1a819df6067b53e8b6cbaa3bb4427,2022-06,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Formal action is not in the public interest
