Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bb7703a31ecb2806cf476379a9d8c8d5e57b93fbab5c004c0c5d8ad802d89806,2022-06,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
0704ee8988354107e612f1890a8a3f35ae38f3386cec1cd900d024ddc4cb0715,2022-06,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
acd7a5fb013a91cea9120b357345ebbda3e6c1fefb161253e4ffdb34575b4c90,2022-06,Gwent Police,Gwent Police,-3.141855,51.712823,On or near VICTORIA ROAD,W01001465,Blaenau Gwent 009B,Unable to prosecute suspect
c4aee0d56630e87dae9c74b6985ecbed5e2cb91727946f2855d50895cea0ebbe,2022-06,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
a9c2ea6390237dd7db14da2772b8534d59319ec62bf9fb1b246f6ede39f39791,2022-06,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
b451ee9d3fffeddb074a89eff2ee7a823427b394e1d605817cc2733d73343ff2,2022-06,Gwent Police,Gwent Police,-2.983289,51.591891,On or near MANCHESTER STREET,W01001692,Newport 011E,Investigation complete; no suspect identified
877a03c170fee8463798959c2bb2487b93a28402f6fd502e16a71dd05fc7d58b,2022-06,Gwent Police,Gwent Police,-3.177035,51.677966,On or near YORK AVENUE,W01001391,Caerphilly 006F,Investigation complete; no suspect identified
278151f3c7b9d2690f6b153271a49fbf23be9bfd9ca4f04e46280ba0b6dad374,2022-06,Gwent Police,Gwent Police,-3.146806,51.664175,On or near Parking Area,W01001382,Caerphilly 010C,Investigation complete; no suspect identified
544fbc434bd0225884c26135552296f2167f46622d81bba9a486fd5cf413a2eb,2022-06,Gwent Police,Gwent Police,-3.001125,51.648711,On or near TWM BARLWM VIEW,W01001507,Torfaen 008D,Investigation complete; no suspect identified
75de543c369412b91d26e3c428cfa60cb831151879f79a9c46cbff431156f3ce,2022-06,Gwent Police,Gwent Police,-2.995280,51.585056,On or near TALBOT LANE,W01001687,Newport 014D,Investigation complete; no suspect identified
462e48506fc2807505e6f75de5dafa23f0aff681158e705d39922519d2eb6c35,2022-06,Gwent Police,Gwent Police,-3.219921,51.645760,On or near MOUNT PLEASANT,W01001369,Caerphilly 012D,Investigation complete; no suspect identified
c5f65c3d9455b0a03c2e3ba75dfe0a3d6dacc0118a3eeecc71e129621871e4d4,2022-06,Gwent Police,Gwent Police,-3.021147,51.655265,On or near Parking Area,W01001506,Torfaen 010A,Investigation complete; no suspect identified
0eda443858f962328ab0dd7ff23a087e94331fb1189cf24ec988528b26684f30,2022-06,Gwent Police,Gwent Police,-3.127362,51.648610,On or near GWYDDON ROAD,W01001328,Caerphilly 014B,Investigation complete; no suspect identified
bd9a81b265288d132147ca275ece6e20b29032c5a4015d7b91ecbfe5093e7751,2022-06,Gwent Police,Gwent Police,-3.055594,51.586767,On or near A467,W01001672,Newport 009C,Investigation complete; no suspect identified
a7d2169d1998009a024702eab8473151fee5b64524bf3a6da0adddb8d37622a9,2022-06,Gwent Police,Gwent Police,-2.992315,51.582113,On or near COMMERCIAL ROAD,W01001687,Newport 014D,Investigation complete; no suspect identified
780824ae66d0c4bb53ad6390063b7c362ab1fe5b5d63b25043e664cdd3f3b54f,2022-06,Gwent Police,Gwent Police,-2.778105,51.584476,On or near Parking Area,W01001582,Monmouthshire 011D,Investigation complete; no suspect identified
fd4606ce832d8496ae4376a5820987ffca6f055b1ba664ab60f9c5cc289e5619,2022-06,Gwent Police,Gwent Police,-3.127444,51.675773,On or near GLANSHON COURT,W01001381,Caerphilly 010B,Investigation complete; no suspect identified
0a4eaf59773ad9d874a6c9bc7a17356f9c3ba0932a85dc25d3748e54a2ea0352,2022-06,Gwent Police,Gwent Police,-3.030843,51.643626,On or near COCKER AVENUE,W01001532,Torfaen 010E,Investigation complete; no suspect identified
afe4d0d50549720a07921369e67a1d19c9f1cb0dff22c1e20e492d91b88c6191,2022-06,Gwent Police,Gwent Police,-3.164357,51.765544,On or near PARSONS ROW,W01001443,Blaenau Gwent 005A,Investigation complete; no suspect identified
fc5749da865aae5028c6d424da67d2185374440021c5a0b1932d3574588404dc,2022-06,Gwent Police,Gwent Police,-3.044719,51.590282,On or near CEFN DRIVE,W01001673,Newport 009D,Investigation complete; no suspect identified
e12cdaeda5889f7f3447eb266bb912a2ef2168167d636c3b4c24bd4205b1df3c,2022-06,Gwent Police,Gwent Police,-2.943720,51.584906,On or near QUILTER CLOSE,W01001668,Newport 010D,Investigation complete; no suspect identified
3718857cd3cfb4fa600af98dd6ad06a0c04f31049ab9a8d6368b77c25db05145,2022-06,Gwent Police,Gwent Police,-2.718840,51.809799,On or near Supermarket,W01001554,Monmouthshire 004C,Investigation complete; no suspect identified
4799d1975c7bce2b88ae93a6067d912685aa99c4e1f3e9ae0781d9ddee115707,2022-06,Gwent Police,Gwent Police,-3.248828,51.723046,On or near RAILWAY TERRACE,W01001386,Caerphilly 002E,Investigation complete; no suspect identified
d019a9f1cb9188a6a205ae4afd5227992bc2f3f1f8bdd3d864038173ac52c735,2022-06,Gwent Police,Gwent Police,-3.143814,51.664240,On or near EBBW VIEW TERRACE,W01001383,Caerphilly 010D,Investigation complete; no suspect identified
46bb386515d269cd2eb624290ae49abcb1397993dc1c0e5aa21e3707cfbaa3ef,2022-06,Gwent Police,Gwent Police,-2.957289,51.612418,On or near HIGH STREET,W01001623,Newport 001A,Investigation complete; no suspect identified
90a2dfe0971b5418b10728c23ab98f977e28e0de0826998a340e97680e8d960a,2022-06,Gwent Police,Gwent Police,-2.968906,51.575368,On or near CORPORATION ROAD,W01001647,Newport 015F,Investigation complete; no suspect identified
9688d210e6ac92fd975aecdc32b0946170b8e01c7e1ea912876046fd5b2387d2,2022-06,Gwent Police,Gwent Police,-3.195756,51.666105,On or near Supermarket,W01001350,Caerphilly 009C,Investigation complete; no suspect identified
67bdf09459c4fc533b36486dc46000f724f6a4ef2d1f3c2bb85e19f06ff7e2ab,2022-06,Gwent Police,Gwent Police,-3.212672,51.782868,On or near TOTHILL STREET,W01001458,Blaenau Gwent 004E,Investigation complete; no suspect identified
fc3fa5db395e0b12fad76202ea06b4dd79cb700ff65c8a89aa8cdbff9ec8a3f4,2022-06,Gwent Police,Gwent Police,-3.194449,51.668088,On or near Parking Area,W01001350,Caerphilly 009C,Investigation complete; no suspect identified
