Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c017f2d1876bc6c80a047c1a7e9d42f5acbe5ca77567c6f62bb857ebdbf6dcfd,2022-08,Cumbria Constabulary,Cumbria Constabulary,-3.547461,54.643752,On or near MURRAY ROAD,E01019121,Allerdale 009E,Unable to prosecute suspect
85d2dd858b26f57ff99eb8283022c8feb23813ec02460c08958e8cd83c94315c,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.928956,54.890197,On or near WILLIAM STREET,E01019206,Carlisle 006B,Suspect charged
85d2dd858b26f57ff99eb8283022c8feb23813ec02460c08958e8cd83c94315c,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.928956,54.890197,On or near WILLIAM STREET,E01019206,Carlisle 006B,Suspect charged
178ef4271427c673d8a8856c2c6f9bc0285528e9fc744e2ef5763c3409ff1424,2022-08,Cumbria Constabulary,Cumbria Constabulary,-3.538969,54.482411,On or near SOUTHEY AVENUE,E01019272,Copeland 006B,Suspect charged
fc30cd5648434e6a2ce1f06e7ff6f3c477e5c723f9eb5402a89292f9983887b3,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.784814,54.268348,On or near GREENGATE CRESCENT,E01019377,South Lakeland 010C,Unable to prosecute suspect
94c8e5fdfc03e62b6e829b3781595530ce749606a8cce7da317fec7ffefd511d,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.908744,54.882981,On or near BRUNEL WAY,E01019222,Carlisle 011E,Unable to prosecute suspect
8a60c9135b355076f4ecfc5884c12bb8ba6b9179c26fca3f923eea01fdb668a0,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.929550,54.890265,On or near BOTCHERGATE,E01019211,Carlisle 010B,Investigation complete; no suspect identified
71ee60791c0755186e4266754bcdc394dda46234cfaf424ada68c25186849c0e,2022-08,Cumbria Constabulary,Cumbria Constabulary,-3.360629,54.664097,On or near MARKET PLACE,E01019080,Allerdale 007C,Unable to prosecute suspect
e078a9b42109c27d7de5f39b294b7aadb5284a14ca556873259c24af62c590cd,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.959417,54.893376,On or near BROOKSIDE PLACE,E01019205,Carlisle 008A,Further action is not in the public interest
826929088782f763eed91edf4016178771dd85f7d94e060a7aa371b53bd54bd6,2022-08,Cumbria Constabulary,Cumbria Constabulary,-3.378170,54.281962,On or near PIKEINGTHORNE,E01019259,Copeland 008A,Suspect charged
2015da3ef3d4f3ff3abce6d9a833bc4bda3df8a36cea5562570495e55712d98e,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.931930,54.894075,On or near Lonsdale Street,E01019206,Carlisle 006B,Unable to prosecute suspect
b59a16a983678ca7a8e081277510e679048aa411961ba9b1aa7bd64148b8bdf3,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.747289,54.329540,On or near Stricklandgate,E01019360,South Lakeland 004A,Investigation complete; no suspect identified
c9ebbd13e1da2102bf8c11311d7a7a9f6cadf2a5f24cd29ae96eee3a0dadba20,2022-08,Cumbria Constabulary,Cumbria Constabulary,-3.128780,54.153791,On or near Church Road,E01019379,South Lakeland 014B,Investigation complete; no suspect identified
4b6a8de521409411b653fa081d1302b1104e2f09f3c67ee3ad9204ff5c267ffc,2022-08,Cumbria Constabulary,Cumbria Constabulary,-3.555415,54.641412,On or near Queen Street,E01019120,Allerdale 009D,Suspect charged
ce6aea69945c3ae3c46c3526046a0622de3142413582f9c72bbb6fb3b322d66d,2022-08,Cumbria Constabulary,Cumbria Constabulary,-3.546121,54.643149,On or near ,E01019116,Allerdale 008A,Unable to prosecute suspect
682a72bdc231414a6da9052f6bbdbad3581356d76845858967dd3ebc0420c0c8,2022-08,Cumbria Constabulary,Cumbria Constabulary,-3.589508,54.489622,On or near Main Street,E01019300,Copeland 007D,Further investigation is not in the public interest
21e3a680a2c42989f7c4d53a8e037482a9f4b8c805b757808d9882e2cf0bf522,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.491490,54.572812,On or near Caesar's View,E01019306,Eden 006A,Unable to prosecute suspect
786c30087e2ca1ab3d86afc51662a7c2accf4dee04cd73eb4bb2d916b79ee732,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.903965,54.376991,On or near Oak Street,E01019398,South Lakeland 002D,Unable to prosecute suspect
89fffe5f2db01877236701ac1b9772e55f55d90a2bd1d6dcc2a71cc5230dc174,2022-08,Cumbria Constabulary,Cumbria Constabulary,-3.542760,54.648108,On or near A596,E01019122,Allerdale 008C,Unable to prosecute suspect
807d0292b786ca23463a99e98952ca3a3fe53a7de3a60b5030293fd26fc306e4,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.961317,54.874291,On or near Fairybeck Gardens,E01019231,Carlisle 009D,Unable to prosecute suspect
1afba2c065693c1f8889fb4e1f5f0daa9d126bedea15c56bcca2a2eb2e3eb7af,2022-08,Cumbria Constabulary,Cumbria Constabulary,-3.280137,54.543463,On or near ,E01019090,Allerdale 007E,Unable to prosecute suspect
1a703e3d3f93ed9d47554cf79ca799d5b639d2a882d0b30f5ea2e2d8d472df98,2022-08,Cumbria Constabulary,Cumbria Constabulary,-3.543531,54.634500,On or near Scawfell Avenue,E01019117,Allerdale 010D,Local resolution
c8a286d8cc4a59b55053f0b1779a55208295c9675b8c62fd7445bafca2ed7ad8,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.743848,54.663766,On or near Friars Close,E01019327,Eden 003A,Unable to prosecute suspect
6bc8c94bdc015637581a46b798b21412d0390bbde145d76d0d22f16eee158f62,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.827483,54.610084,On or near ,E01019311,Eden 005B,Local resolution
363749b07c09b22329d6f3a7ea6a442867cce1670c87a8fa6c31cca914734fbd,2022-08,Cumbria Constabulary,Cumbria Constabulary,-2.827483,54.610084,On or near ,E01019311,Eden 005B,Local resolution
