Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3d72bc43193eff74cdc5b8d88ee5ead0fd4a3d303c0b9595f7615ce6d599d662,2022-08,Humberside Police,Humberside Police,-0.653294,53.597517,On or near DIANA STREET,E01013300,North Lincolnshire 007B,Unable to prosecute suspect
a0d7d7914240c88d30f03cc3de47cd8e2f9a867c89ef6674dbbc257caa87037a,2022-08,Humberside Police,Humberside Police,-0.060976,53.569481,On or near Rutland Street,E01013138,North East Lincolnshire 006A,Investigation complete; no suspect identified
480ef670cb1f5215099c2a270578d7fd5d3d5b60b825401c038b67363c8ea40b,2022-08,Humberside Police,Humberside Police,-0.485763,53.556726,On or near East Parade,E01013271,North Lincolnshire 011D,Further action is not in the public interest
914dfd963a98d1eb59a97eedda3c90bcff18c1110b67e7a80c143284800ed7f0,2022-08,Humberside Police,Humberside Police,-0.510721,53.548472,On or near Scawby Road,E01013326,North Lincolnshire 021B,Suspect charged
eaf811e90dfc4d113ee482012f8d3300491772fbd6306aee8648cd929de8f5d8,2022-08,Humberside Police,Humberside Police,-0.351572,53.750918,On or near FREEHOLD STREET,E01012850,Kingston upon Hull 024A,Suspect charged
d6e304954e8a30074befae4e0c046665943a67400197650dd9f6423d74494108,2022-08,Humberside Police,Humberside Police,-0.334898,53.794770,On or near MALPAS CLOSE,E01012786,Kingston upon Hull 002C,Unable to prosecute suspect
0611a105d92c0203bad3d84f5f43a1beb8ea7421f31fa7b7d887d5cd36531c7f,2022-08,Humberside Police,Humberside Police,-0.554956,53.562373,On or near GEORGE STREET,E01013275,North Lincolnshire 013B,Unable to prosecute suspect
63f59ed82ab7fbbbe2a7d26a21750d628917bf2ff821c8a090cb7015acaaa4f0,2022-08,Humberside Police,Humberside Police,-0.341442,53.746652,On or near Albion Street,E01033104,Kingston upon Hull 029E,Unable to prosecute suspect
1d3399ffea2381f6b1c218c71929cb422bcf2fe0b70d97661e064e324a565fdb,2022-08,Humberside Police,Humberside Police,-0.344294,53.740435,On or near Mytongate,E01012854,Kingston upon Hull 029C,Suspect charged
8d9fbb8e4dd2b6f18bf5572d2e8e689a0829d80a91acfe85f23b50a3a1f667bd,2022-08,Humberside Police,Humberside Police,-0.200579,54.087106,On or near CAMBRIDGE STREET,E01012943,East Riding of Yorkshire 004B,Unable to prosecute suspect
54d06d4481eb22e53090af672c6738679edba2ebfe332686fd879774a8f46f2c,2022-08,Humberside Police,Humberside Police,-0.168591,53.608340,On or near WORLDWIDE WAY,E01013173,North East Lincolnshire 007A,Investigation complete; no suspect identified
48a750b2af291cb1ba1478cfe1a8b60e101087bca9903f2f85f476b91024d02c,2022-08,Humberside Police,Humberside Police,-0.383183,53.738170,On or near ATHOL STREET,E01033110,Kingston upon Hull 031G,Local resolution
af1d8350eb7e8125c85e3f61e45e59f51adb4b80dd6f77721665184a2c673064,2022-08,Humberside Police,Humberside Police,-0.083236,53.565488,On or near NEW STREET,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
0318d8ab296bbc80c9da060586197e82bacac96779834694108ec44c5c5387db,2022-08,Humberside Police,Humberside Police,-0.346971,53.764185,On or near FAWLEY CLOSE,E01012871,Kingston upon Hull 015D,Suspect charged
84e5a7c300c65546b44470851e0298e12403be871f262d247c06430ad21ef451,2022-08,Humberside Police,Humberside Police,-0.097741,53.571375,On or near MILL AVENUE,E01013220,North East Lincolnshire 003C,Local resolution
dd641e5bdfdae0d8b0eac1127a7a5b24ec3ff020d235deae7060173fc174d7fe,2022-08,Humberside Police,Humberside Police,-0.097741,53.571375,On or near MILL AVENUE,E01013220,North East Lincolnshire 003C,Local resolution
bafe11bf45f61c5f47a06fd885938fda72a4ef81043f59962421e00bdd5ce86a,2022-08,Humberside Police,Humberside Police,-0.371945,53.742953,On or near PERRY STREET,E01012859,Kingston upon Hull 030A,Investigation complete; no suspect identified
6110e62d3877478c872351b47f4cd6b377a0dd8f2fa9e1f8355a85f8db2e9c58,2022-08,Humberside Police,Humberside Police,-0.374854,53.744188,On or near LONSDALE STREET,E01012862,Kingston upon Hull 025E,Unable to prosecute suspect
b92f19ab1e7d993b2034a7e6223e33cc686f16b33b9f769440908d05830d37c9,2022-08,Humberside Police,Humberside Police,-0.349703,53.751773,On or near BROWNING CLOSE,E01012850,Kingston upon Hull 024A,Unable to prosecute suspect
