Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7191d55a42ef107f726528923de9f1133ef624bf0bd401c2304bbfd296926986,2022-08,Northamptonshire Police,Northamptonshire Police,-0.688894,52.301418,On or near MIDLAND ROAD,E01027349,Wellingborough 006A,Unable to prosecute suspect
69c6fe6858ac34c1da70b7565af34fce3b00cd565eab94e14e685a67b9401ffb,2022-08,Northamptonshire Police,Northamptonshire Police,-0.534180,52.341479,On or near HARCOURT STREET,E01027051,East Northamptonshire 005A,Formal action is not in the public interest
bd645d5e1da7c8e8e8a53a8950e8f96ece5da0a44c1b2148ce90f238cd6a3001,2022-08,Northamptonshire Police,Northamptonshire Police,-0.534180,52.341479,On or near HARCOURT STREET,E01027051,East Northamptonshire 005A,Formal action is not in the public interest
110d24b08fd98a4ddf5af89aad3ca6fd7046b7da334f3bd462b654ebd2a23537,2022-08,Northamptonshire Police,Northamptonshire Police,-0.534180,52.341479,On or near HARCOURT STREET,E01027051,East Northamptonshire 005A,Formal action is not in the public interest
8118998a707f76df42bef59d4a30add24ff249609b06675fd56ebed6a63c6604,2022-08,Northamptonshire Police,Northamptonshire Police,-0.874513,52.247150,On or near PURSER ROAD,E01027132,Northampton 022A,Unable to prosecute suspect
02781aca051c35325ebd3ccb9984ade7553a1206c7793b35a58c626cc2613ba3,2022-08,Northamptonshire Police,Northamptonshire Police,-0.672107,52.316920,On or near MEADOW CLOSE,E01027330,Wellingborough 002A,Unable to prosecute suspect
4d87890813c0d15ddb70753e1d500a6a769c24970d1f16c36abfc4e338975425,2022-08,Northamptonshire Police,Northamptonshire Police,-0.898569,52.236336,On or near WOOLMONGER STREET,E01032979,Northampton 021F,Unable to prosecute suspect
24c56a92ddca08dda9ac0ac6816c8db1c723fd4c114470781eb9fe8ff4d3d97e,2022-08,Northamptonshire Police,Northamptonshire Police,-0.689143,52.302931,On or near VICTORIA ROAD,E01027314,Wellingborough 004B,Suspect charged
6f386d8a06f7254ba53c0a5506b5752509b4b1008a40d7d1847c904d5566bef0,2022-08,Northamptonshire Police,Northamptonshire Police,-0.902305,52.249335,On or near ESSEX STREET,E01027152,Northampton 021B,Suspect charged
519f8c139bd90d2162f6dd473c2a24cb0144fcc78f77d8cb9fd809dba969acd7,2022-08,Northamptonshire Police,Northamptonshire Police,-0.904912,52.240396,On or near Scarletwell Court,E01032978,Northampton 021E,Investigation complete; no suspect identified
162f1d9b7a10189fc8c547f4f0d41e77d6c173c6bce2444f8cbf90eb8f3326b5,2022-08,Northamptonshire Police,Northamptonshire Police,-1.021753,52.139691,On or near Bengal View,E01027289,South Northamptonshire 004C,Action to be taken by another organisation
