Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c708db40a30a414005a678a8880f4eaa11215947d5ac4935cd5ebfcdce1d243d,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
98d5a4fc40efd8380160a60a862fd6056dc80b75c5b397540e429460652196af,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
9f62c0db83a47ae179e541d1b62634ce8ec748a458bbfa722958235e46b6a489,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
542b7519458b0f4848070cb003e8840d6e4bfcbf055f02484dd189d997d70f04,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
4af5f5c893df33be3390fb5571fc049bd041b273bb0b5a2a5e0595bd5fd6f5fb,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Offender given a caution
801b8c07175990aef519dcae36a45fb2bd12ee235af5dc1447a6a745ab567490,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
7019c9d567080cff6ecdf68e0c5ea9c3ab411f5f2e5fee4c123dc2c69fddc8ae,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
74aa39f9823413255b3f244bd0ea14a9fc7c0e5a8d0c07cab42eda221544efc5,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
e7bec5a0f884f27520c16c8e3f1dc7f4f5e891131a04c044bb550f0ecce7d346,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
ed1c25283e7afa885f1566e66d6c0669dcd4a8dbf458f6cdf53c2fb470374090,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
3e6b04c4eacda5f4b75ed4fb6ae6c0b868cbe1a646dfe17c36f415b63c8a2536,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
49f312efd6d36c6b21046a4fc076f6ee9ec58a4aa1331dc9ffc683be93561d7a,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
c14186257613ee12cd9e03bb29ee667752ab75b1e657bfb54af69482a2fc6296,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
5c225eb6b59f881bfdcc713d5a0fddee2280dbc4b0af18a931b0ff97ec60b8a4,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
c5e3292c64d1f1d781aa861fbe55cfd83be57283f562bac1dd11154c6d57e7c3,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Suspect charged
2664a6f460069c195bf66236b535e2bf18e9fa5b2063e724daf6d7cfb55775a2,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
5fe35c36d4ea421edea1be4182d5cdcd5edb3ef0f8d908990f2a3e715d880bb1,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
4cbd1b239b6498129987e60217cd56ceb50ab7905b7001c629db775b1c1d35c4,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
aaed796eee1cfdfc9c57995791f732193f41e16d67d5f3b8d938c4200f9ee22e,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Action to be taken by another organisation
6e4ad602c36d159799819e51cb61ece483ec577429fe72ed210c087797641dca,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
2671a8ca150bf0c050b4f26d4bd753304c8d33a7533e16532b7f594ae13aeeed,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Offender given a caution
5981ce079ea1c8155354bf2ba8db918cdd7c855667f31229c3e86b5eb782ac32,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
eef39792ed4f912e1d30b92558f49391dbd2b461594e54b28b5861d45cd13da3,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
35dce669ec8eee25033a44f67148824052120b117dff44f0668cd9d570510673,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
2e8d0aa41449de72cd4892cdf2c83e72c11532e76aa1f22af1108fc6c80799d0,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
59088c7c32f2498af89f144856d29656e1c6aa919c892edae5bee4a863838689,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
26fb8d6f8f45aca3cbebba86abae62a373ccc8dbab92350feda665495cc5372b,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
41012a2e4edbbfa254fdc54e30d6f9383e36a8d74d27a539b82f87225a05d96b,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
c1e4f56c3a5c29790b0b2b8b0fe437c717adf4e8b6ab64fb40ac5f559f692b15,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
21117817b959b5ed256149756acf62a3186292ce0309e2beb3b4f14289e68430,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
f9638665fba7516c4c8c654922ce574cafa0f94361b9c5e7f0852689b0bdc36e,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
29023afe41f81b5ee0d17aaaad9a2055b819e03ca8323831fa573dab64a67a72,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Investigation complete; no suspect identified
90ef2f97b4ff3e506483e2feb5e2e380a41619133a691c43d72528e569194518,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
2b55aef0a50835d665ce4033442542d9a992886df359d0e4d58dd228d9b72888,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Unable to prosecute suspect
22e248ec0e53671de36e1c639f0ff9ccd0ddf372600ef470ace9ee7ca42344da,2022-09,Leicestershire Police,Leicestershire Police,,,No location,,,Local resolution
