Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
22e426ae45b4c4dbef5cbe8b12dea367f1f1375c53174b06f67e9e2571d413e6,2022-09,Northumbria Police,Northumbria Police,-1.609055,54.967664,On or near ,E01033543,Newcastle upon Tyne 024G,Investigation complete; no suspect identified
91b4cc4b36e7e0c1027a40e92054af245e019ca6fb37f7534d7b0d1226ac4493,2022-09,Northumbria Police,Northumbria Police,-1.622300,54.969377,On or near ,E01033545,Newcastle upon Tyne 024H,Investigation complete; no suspect identified
10d891961d9a28782e93de4ea73fff31748448442f6015b63ff952868d6a59af,2022-09,Northumbria Police,Northumbria Police,-1.535753,54.898364,On or near ,E01008848,Sunderland 019C,Suspect charged
d8341ac5c5b2a0ad9a64717823191a00b7e0ac6a42c15124662c37fdd0e3f9d0,2022-09,Northumbria Police,Northumbria Police,-1.846873,54.973852,On or near ,E01027496,Northumberland 036B,Investigation complete; no suspect identified
1ca03634aa26bcb5b1634368aca4438c4157ae209bea56f6869bf1a74d8e432e,2022-09,Northumbria Police,Northumbria Police,-1.499987,54.997423,On or near BENJAMIN ROAD,E01008510,North Tyneside 026C,Investigation complete; no suspect identified
c9b582fbc43e479b4be735f6fbfaa67de693f06df9dacc140fc6f4becb8483c6,2022-09,Northumbria Police,Northumbria Police,-1.432609,54.963519,On or near CONSTABLE GARDENS,E01008692,South Tyneside 019E,Investigation complete; no suspect identified
96ac54952ecb8650e26f800bcbb1cd3e1cbb3bf397e1fba748859a04b369e04b,2022-09,Northumbria Police,Northumbria Police,-1.669292,54.959225,On or near SCOTSWOOD VIEW,E01008262,Gateshead 009A,Investigation complete; no suspect identified
5ed80a2d60d1f4c44ec1b2bbed4a84d9150dd982c474bac9c0b3e2af3b7a5c84,2022-09,Northumbria Police,Northumbria Police,-1.518522,54.886651,On or near THE SPINNEY,E01008861,Sunderland 025B,Investigation complete; no suspect identified
5ed80a2d60d1f4c44ec1b2bbed4a84d9150dd982c474bac9c0b3e2af3b7a5c84,2022-09,Northumbria Police,Northumbria Police,-1.518522,54.886651,On or near THE SPINNEY,E01008861,Sunderland 025B,Investigation complete; no suspect identified
2b630d9124b7a720fa49fb0f07132901eec8070e2c55689851f8c8a72c4442a9,2022-09,Northumbria Police,Northumbria Police,-1.493732,55.003849,On or near LONSDALE GARDENS,E01008508,North Tyneside 026A,Suspect charged
39a59bbc237fd6ce70a15a361995cf9eb5ae151b1f629b2927667f71280e7980,2022-09,Northumbria Police,Northumbria Police,-1.576213,54.978922,On or near ALGERNON ROAD,E01008303,Newcastle upon Tyne 018A,Investigation complete; no suspect identified
8b5a5309abea0b8c4224f0e41efe3d7f616250cc02ce944dbe50babb55ec7115,2022-09,Northumbria Police,Northumbria Police,-1.580497,54.978694,On or near HEATON PLACE,E01008303,Newcastle upon Tyne 018A,Investigation complete; no suspect identified
5589202aeed83a52f89d86c7121f39f213fd748013da612dabe19524fb8c5112,2022-09,Northumbria Police,Northumbria Police,-1.577417,54.978845,On or near ST MARK'S CLOSE,E01008303,Newcastle upon Tyne 018A,Investigation complete; no suspect identified
bf93a72a948baa382f5bd46c309b2569860ea6be2b598579f52efc41ecf1118e,2022-09,Northumbria Police,Northumbria Police,-1.461255,55.027577,On or near POLDEN CRESCENT,E01008556,North Tyneside 013C,Investigation complete; no suspect identified
96dc8f72f489636b37f2b51ed6af94135d9a2a701069a12b03e3efe6b555f7a3,2022-09,Northumbria Police,Northumbria Police,-2.512422,54.970159,On or near Parking Area,E01027484,Northumberland 037A,Investigation complete; no suspect identified
950091f2c537f7073ec3f82a61cbbb306553fd6c9a7a2c1973ea1ddbc29fe3db,2022-09,Northumbria Police,Northumbria Police,-1.697630,54.993231,On or near Supermarket,E01008325,Newcastle upon Tyne 015B,Investigation complete; no suspect identified
2770607ce2d154e45c4b6d5f49e2c0b16908e875b85d0e9382d1be06f24cfdfc,2022-09,Northumbria Police,Northumbria Police,-1.536516,54.941951,On or near RIDGEWAY,E01008284,Gateshead 014B,Suspect charged
3e7b05298415e0ac5ede8126f7be842f2f496d8539c9d101b3f6e09824d1ca7d,2022-09,Northumbria Police,Northumbria Police,-1.590359,55.127143,On or near MILLFIELD,E01027514,Northumberland 021A,Offender given a caution
ec9a6e845b14a10371e711bc78af518a19264a70192d3493e9f79cb09ce89b47,2022-09,Northumbria Police,Northumbria Police,-1.590359,55.127143,On or near MILLFIELD,E01027514,Northumberland 021A,Offender given a caution
7dc7d56cd145a2ab7c82220bcf6ebdefe94f3acec614c40d83b93840a5c58923,2022-09,Northumbria Police,Northumbria Police,-1.590359,55.127143,On or near MILLFIELD,E01027514,Northumberland 021A,Offender given a caution
5ac24774aac6e2f595cd062401270499783de1fdfac86ef6b5d524c8578aaa1e,2022-09,Northumbria Police,Northumbria Police,-1.590359,55.127143,On or near MILLFIELD,E01027514,Northumberland 021A,Offender given a caution
