Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d3adcff1379fa29ea0ee12063a9d7f61a0be81c420b3ac68d957083e34598715,2022-12,Lincolnshire Police,Lincolnshire Police,-0.636948,52.917852,On or near ,E01026345,South Kesteven 006F,Local resolution
e29f27cba4a584ccc3db9b468c13f28057ad188136677870c9f9489b5e93fac5,2022-12,Lincolnshire Police,Lincolnshire Police,-0.335171,53.384642,On or near B1202,E01026389,West Lindsey 003A,Unable to prosecute suspect
9ca4fc5955751d66506a2422881c5069b29933c0fe34d7a7b871a282bb3faec4,2022-12,Lincolnshire Police,Lincolnshire Police,-0.294497,53.285288,On or near Oaklands The,E01026121,East Lindsey 007C,Investigation complete; no suspect identified
777ee57868f386aefaad59bcdb668aef4f74e52d968a3f8a8eb8bac232d0e93f,2022-12,Lincolnshire Police,Lincolnshire Police,-0.106713,53.203017,On or near Mareham Road,E01026064,East Lindsey 011A,Investigation complete; no suspect identified
777ee57868f386aefaad59bcdb668aef4f74e52d968a3f8a8eb8bac232d0e93f,2022-12,Lincolnshire Police,Lincolnshire Police,-0.106713,53.203017,On or near Mareham Road,E01026064,East Lindsey 011A,Investigation complete; no suspect identified
60a631af1120e7c4307283e44774e90b4fea38382cc3b2e4958f352117476b1f,2022-12,Lincolnshire Police,Lincolnshire Police,-0.014500,52.956946,On or near Heron Way,E01026029,Boston 009A,Unable to prosecute suspect
b0c22956413d4d41d31bbb468cfebb7970695cf970344f45427a6a9c5aedb71e,2022-12,Lincolnshire Police,Lincolnshire Police,-0.408478,52.998072,On or near ,E01026227,North Kesteven 010A,Investigation complete; no suspect identified
efa369ed503ac1425e915cdfe20cf9fc1243861b3cc3b02645552d7f3e47394c,2022-12,Lincolnshire Police,Lincolnshire Police,-0.644560,52.916995,On or near New Street,E01026353,South Kesteven 003F,Investigation complete; no suspect identified
c988b1d163ab240e6b748bdfd027910e386b8dd593fe64f30c0b3e759ebad8d9,2022-12,Lincolnshire Police,Lincolnshire Police,-0.771110,53.390617,On or near Gordon Street,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
d2e969e2e5889cbb4708b14a6665b36892edf40b32bd8b661d8fd743c0ad93db,2022-12,Lincolnshire Police,Lincolnshire Police,-0.150179,52.806664,On or near Walpole Close,E01026258,South Holland 005B,Investigation complete; no suspect identified
d2e969e2e5889cbb4708b14a6665b36892edf40b32bd8b661d8fd743c0ad93db,2022-12,Lincolnshire Police,Lincolnshire Police,-0.150179,52.806664,On or near Walpole Close,E01026258,South Holland 005B,Investigation complete; no suspect identified
f0d75e023b8e09f71d00852d727fecd7e9751a8bf2fef59e8cc4c299a716e8ee,2022-12,Lincolnshire Police,Lincolnshire Police,-0.467068,53.208198,On or near Branston Road,E01026205,North Kesteven 005B,Investigation complete; no suspect identified
76e07e5ed7e5f594b34ba6e8989e574b4396cc48bb1cfe80b81c0bc0f7a41eb5,2022-12,Lincolnshire Police,Lincolnshire Police,-0.014500,52.956946,On or near Heron Way,E01026029,Boston 009A,Investigation complete; no suspect identified
50f81c20cefbb29d253ba7e1d13a802edcb08da0962d1482a97804482efe6967,2022-12,Lincolnshire Police,Lincolnshire Police,-0.547855,53.393477,On or near ,E01026386,West Lindsey 005B,Investigation complete; no suspect identified
063b7594f08fc79ec8d99a6ae9787823cca42761abeeae29577ee2f6a2cd4c8b,2022-12,Lincolnshire Police,Lincolnshire Police,-0.544478,53.238844,On or near ,E01026148,Lincoln 003D,Investigation complete; no suspect identified
d24da96be66a01ea4b6d39b0566c9dd0f4a17b429027a09587a6449906c19fa1,2022-12,Lincolnshire Police,Lincolnshire Police,-0.514411,53.246429,On or near Outer Circle Drive,E01026152,Lincoln 004E,Unable to prosecute suspect
d24da96be66a01ea4b6d39b0566c9dd0f4a17b429027a09587a6449906c19fa1,2022-12,Lincolnshire Police,Lincolnshire Police,-0.514411,53.246429,On or near Outer Circle Drive,E01026152,Lincoln 004E,Unable to prosecute suspect
4d38dfacdd421c7b8fb12a217d50e0bcf1d3c3b978abd1fdcdc5d20a010ef1f8,2022-12,Lincolnshire Police,Lincolnshire Police,-0.516004,53.246296,On or near Robert Tressell Walk,E01026152,Lincoln 004E,Unable to prosecute suspect
7efd0de98a126484857f71fdf86e1b08c98bf6379a9797fce30f797cc57f0b95,2022-12,Lincolnshire Police,Lincolnshire Police,0.341900,53.155284,On or near Elmhirst Avenue,E01026085,East Lindsey 012B,Investigation complete; no suspect identified
3ba5d4d7e29d86edc8ad30f82652b854b2ecce90f15c818213ab52f48ebbd8dc,2022-12,Lincolnshire Police,Lincolnshire Police,-0.629621,52.905901,On or near Croft Drive,E01026343,South Kesteven 006D,Offender given a caution
810b5dd1c026821f64ba96ddf789c130566919f5f60ec197f2840296b2f1d6a6,2022-12,Lincolnshire Police,Lincolnshire Police,0.294101,53.155945,On or near Burgh Road West,E01026046,East Lindsey 013A,Investigation complete; no suspect identified
810b5dd1c026821f64ba96ddf789c130566919f5f60ec197f2840296b2f1d6a6,2022-12,Lincolnshire Police,Lincolnshire Police,0.294101,53.155945,On or near Burgh Road West,E01026046,East Lindsey 013A,Investigation complete; no suspect identified
628306594cd0af505070e0c86d96cde834699c078c65ea6ad998a5a45f115ad8,2022-12,Lincolnshire Police,Lincolnshire Police,-0.511141,53.241318,On or near ,E01026123,Lincoln 004B,Investigation complete; no suspect identified
1f46f078c71e997cf4a694e721d9e45570080c835c9f8f38903b48d1fc0c2635,2022-12,Lincolnshire Police,Lincolnshire Police,-0.488685,53.222822,On or near Ally's Way,E01026203,North Kesteven 001D,Unable to prosecute suspect
857e9ba36dedc54b4adb4ed2455371b770d43f89aa071d38f50adf5abf33ed7c,2022-12,Lincolnshire Police,Lincolnshire Police,-0.614748,52.806208,On or near Pasture Close,E01026331,South Kesteven 009B,Investigation complete; no suspect identified
857e9ba36dedc54b4adb4ed2455371b770d43f89aa071d38f50adf5abf33ed7c,2022-12,Lincolnshire Police,Lincolnshire Police,-0.614748,52.806208,On or near Pasture Close,E01026331,South Kesteven 009B,Investigation complete; no suspect identified
1568448c174833704c5f7fbb1f42b81eebc9c5b90bbb3246e767e06005793787,2022-12,Lincolnshire Police,Lincolnshire Police,-0.038615,52.979734,On or near Bartol Crescent,E01026032,Boston 002D,Unable to prosecute suspect
64b4bfa7e5c8ecb16320a71c21dfa2d5b182ab735fb1d863a550b714b3c0cc8f,2022-12,Lincolnshire Police,Lincolnshire Police,0.180356,53.257250,On or near Finsbury Street,E01026043,East Lindsey 008B,Unable to prosecute suspect
895a1e462a38d2eed7eb80d4cbfee535ce8dc4900632f82a4d2cba6858e54c87,2022-12,Lincolnshire Police,Lincolnshire Police,0.339120,53.141034,On or near Lawn Avenue,E01026097,East Lindsey 015D,Unable to prosecute suspect
2e5664f09ab14d62e5fd05442ced777c5cfea62af134fae3b115045bde879f67,2022-12,Lincolnshire Police,Lincolnshire Police,0.342402,53.142425,On or near ,E01026093,East Lindsey 014B,Further investigation is not in the public interest
792ea925c9eb561c4386fd05907ad46be34f57b201660ebf18985c261ea4cf31,2022-12,Lincolnshire Police,Lincolnshire Police,0.345196,53.145239,On or near B1451,E01026114,East Lindsey 014D,Further investigation is not in the public interest
cfd62f97e8852334d574e5723977c31da9610ea2e93fe1a240286ab8048ea09b,2022-12,Lincolnshire Police,Lincolnshire Police,0.335751,53.146171,On or near Cecil Avenue,E01026093,East Lindsey 014B,Unable to prosecute suspect
f41e349c044abcfe36564d61e6186a0974da55210d84b3ad1990d17f38213534,2022-12,Lincolnshire Police,Lincolnshire Police,-0.642606,52.914797,On or near Swinegate,E01026353,South Kesteven 003F,Unable to prosecute suspect
adf821518c722fcbc30b8194ea78a7d979f8219481df7a6c305b88b2e7edbe18,2022-12,Lincolnshire Police,Lincolnshire Police,-0.009072,52.978199,On or near Elizabeth Road,E01026028,Boston 004E,Unable to prosecute suspect
adf821518c722fcbc30b8194ea78a7d979f8219481df7a6c305b88b2e7edbe18,2022-12,Lincolnshire Police,Lincolnshire Police,-0.009072,52.978199,On or near Elizabeth Road,E01026028,Boston 004E,Unable to prosecute suspect
