Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3e5f6df2bbf6a7c5d40316ba680df4c1f3e230c477e4960e7c67644cf59811dc,2023-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
d651df9bf7c365197ee3ee1416b5b2fa70d6d25f5dfda90eecfb033b9a1af718,2023-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
5fc460320b833600c9e87e41840f4cecad7e07f678f34a932e5c4ef68de9182a,2023-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
8d32f6b7a044d65044d2502bf9e69bb590146ad4b9b5cf0d23926b895298a011,2023-02,Kent Police,Kent Police,,,No location,,,Suspect charged
b2c07b6ad241792be44488e2d01044811aaaef6d5ca6c4ca554177090c017416,2023-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
19eae50b0cf7ff180cc3f4b8f821b9a48921700a41433e341513b5cb29d3177d,2023-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
53baf5b7f814f8c1df5e65a812216dbf0bcb4bea3510fb35d20dc9b52f333e17,2023-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
fe9236e94b2ea0b1f31ba965facd8c72d6432cfaae5b3f0fb244f394f9668ed3,2023-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
5bae5fe8b998211ccbc1589982ffc45eca364583d91c52eb80c106696a90a8b4,2023-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
834d7ed9cf1c15c03914d8b18ebfc3fcfc0072b1376a4b12e96df91a4b6ec345,2023-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
8e97b3455f4c620656cb84bf94382cb1a18bbbfd4e8e51876199198e4b73ccfc,2023-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
f88f225580c5bc806ee871526127317819481cdbf38a9398585af278b4cb970e,2023-02,Kent Police,Kent Police,0.268787,51.137851,On or near Norman Road,E01024833,Tunbridge Wells 008D,Unable to prosecute suspect
6a9b57cf4f556148a71b12c5f8ee7e985b453095ef9816d62eeabdd494ad5531,2023-02,Kent Police,Kent Police,0.983458,51.289613,On or near ,E01024558,Swale 017D,Investigation complete; no suspect identified
37816cd7025a86cdd53d924de467f99d07db2e1032bf5dedacc23c7cc2b09e79,2023-02,Kent Police,Kent Police,1.071519,51.275705,On or near Bingley Court,E01032808,Canterbury 020G,Unable to prosecute suspect
4f656f5e1868d976c9d1be1841620250567f6030def89c591c68970328f07202,2023-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
1e1f64478883e05b54c1f95c26875e171aad774538c608b3361e2d5be3d37285,2023-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
3e80342a370c8415b5e939de53227e50af04efe522d6299c523c53fc164df7c1,2023-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
4fd78de755949dd9b96fb064d6e729aa4e22e83c698a6c429e094911c907e87a,2023-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
6680e57269494ac03d24ccef667ed3ef884181c30649d4311f1fe5d28033ef1e,2023-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
852057d25f989ef9b893dcf909ac09a7f6ade71a03c5318b601a3ca0d0acea94,2023-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
4630ee41936f7292866d5e647196e43a99a17ead8fdc390ec24c7a8112b3e486,2023-02,Kent Police,Kent Police,1.081350,51.278613,On or near Butchery Lane,E01032807,Canterbury 020F,Investigation complete; no suspect identified
032e94704770d996cfaa130dc0dcabd4359519ce2a42908a08943639557af3eb,2023-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
647d806f3fca53bb84fab40d5b31f0cb82e09f2c7847438781342ce79a70991b,2023-02,Kent Police,Kent Police,1.421917,51.339605,On or near MONTAGUE ROAD,E01024669,Thanet 012A,Unable to prosecute suspect
e86670899f1c2866b731ece54c4156de63abaee24f6a3ee5e4109af51343c2b4,2023-02,Kent Police,Kent Police,1.081350,51.278613,On or near Butchery Lane,E01032807,Canterbury 020F,Suspect charged
992ab0b5a5892c4e63cd42e4422da4402cdb1e0f51a83480c37eb90e7c3bc6b7,2023-02,Kent Police,Kent Police,0.558510,51.386168,On or near Ferndale Road,E01016040,Medway 013A,Suspect charged
afa659374a1aaf07770c428bd3a6b4bf3cce8279984a22fabd39dd7c634f7e5e,2023-02,Kent Police,Kent Police,0.559224,51.239915,On or near Wallis Oak Avenue,E01024390,Maidstone 013B,Suspect charged
171ad5774463876d82aedefffbad4254ad20dc6e3db978f2da6fbc838fd34b7b,2023-02,Kent Police,Kent Police,0.189378,51.444531,On or near Wentworth Drive,E01024144,Dartford 007A,Suspect charged
a9531008b4dc01b3c82e1fa55c28f0a60748628ddb842ae8cbd4ec154d9895e9,2023-02,Kent Police,Kent Police,1.381477,51.386989,On or near ,E01024676,Thanet 003A,Suspect charged
993efc8d02361970159b63a2fb6e6ee66f7959f9a56b7c4c28f51d00e9915ae8,2023-02,Kent Police,Kent Police,1.399628,51.356275,On or near Quantock Gardens,E01024688,Thanet 011B,Suspect charged
e2fe9321fb2d3608591e2bf12d8e1d97b880856a832faa6383b6d79a9e39e614,2023-02,Kent Police,Kent Police,0.763669,51.440552,On or near Royal Road,E01024609,Swale 001A,Suspect charged
bd5e986665eeedbbfdd702d21d41bd63434b19662d53aa8de55711d9e7e12af3,2023-02,Kent Police,Kent Police,1.381849,51.390270,On or near ,E01024678,Thanet 001E,Suspect charged
edfb42510a6c77b222a6b239cda2add47dd97f33c9793e9fe96aa34557bef696,2023-02,Kent Police,Kent Police,1.310938,51.126277,On or near Queen's Gardens,E01033211,Dover 012F,Suspect charged
622a9b88a60ebe06b19203cf7eeb68829b59d99eea1a9dbdbce3fe065234e185,2023-02,Kent Police,Kent Police,0.548899,51.396091,On or near Wharf Road,E01016037,Medway 009C,Suspect charged
