Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0ec6801a9dd40effc00afc430fe8f65b674864d6c0876ccc079a283c84ba55d7,2023-02,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
dd54c1634ba281aebdf4a0f57cdd9d4c0913073dfc62d5ab75afccb3dc40623e,2023-02,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
144f70c829116a21395bda59a9ba1793c07e842ef0c38545e4e97ff321b2fce2,2023-02,Sussex Police,Sussex Police,-0.150458,50.822413,On or near ,E01016955,Brighton and Hove 029E,Suspect charged
1704284b51a761960a611f7b0141733af468f8eb8e4805a025a2f201acbde4a7,2023-02,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
928ea29b4970d64a33f2378f60912d3d5dc5cba39ba32958b07b497a0f5c1c22,2023-02,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
378d4b6679291b618853d647988123ddd300cf732cd6786c2845fb0342ad2b2e,2023-02,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
199bcf07cbe635e51bf9ba11c1b952c3826118acec6bc736fa5eab36e8302212,2023-02,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
a2b9002152dbc3eac6d88b3d5273231c84caed1f01ba93ae97cd5900ff08150e,2023-02,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
5009b1eb480a0340c1dece1c0d9c5fbc9cfa3b6a0b2f7b81494b0faac2b09254,2023-02,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
bfdc1138ec41ac4ed138003bfdc14901fc67967340f2c078ae8975c12d64922b,2023-02,Sussex Police,Sussex Police,-0.206036,50.836323,On or near ,E01016974,Brighton and Hove 021A,Investigation complete; no suspect identified
8353d1e660d55b6c9b07d9970f2745ce50472f7439bf44d743e509fd75009792,2023-02,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
90068f2b977ea36baf1cf430ad0ed3a873cc1a1a6644151a45ea8fc118b28e65,2023-02,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
81158bbc8cf19223d7454183063e901ff7792b300a401dc4d751d791bc7c2ec4,2023-02,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
820f1364a17de3eb258bd7ef2298e92cf3caea24242c824024b9db147f6a724c,2023-02,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
055839879c7ce0d6049c22e5848c9a3c52bda5b833ffe6418054241a6cb5a9ce,2023-02,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
bc85db7fbe8f3f4a5619aeb5a46c419ad424d22c82c93f63799f91df53cca1ac,2023-02,Sussex Police,Sussex Police,-0.177675,50.825350,On or near St Aubyns South,E01016857,Brighton and Hove 028A,Suspect charged
4ceb6c91a822825af0411613e0ab041f45db189b98989663cd0bc7f2bc16a03b,2023-02,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
bf484a93c030c1455a4db034f4abbf1a559b9995963fb9d061a088931e10a761,2023-02,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
2205057bd531e2722c189f8890cf5ae8c4f8a0bba7839c1edafc362d99b86e44,2023-02,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
9a6994ef3857983debb4c3713295d526efc0eb3f8e9934c5923e2aea75e55c64,2023-02,Sussex Police,Sussex Police,0.280000,50.819254,On or near Elderberry Place,E01021208,Wealden 020C,Suspect charged
f59c0a6e2638e0fcffcfa0dc4a70ecd66a36f3e7f2d121d05844316c25cb208e,2023-02,Sussex Police,Sussex Police,,,No location,,,Action to be taken by another organisation
5367d304c850cb698d794a257b6f10fc5f4187538710c38c47a1efc8fffc7e43,2023-02,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
0c3f5ea8d7f9454671fc68f268a1d5147d073f9aa5753119904c838ec8762ab6,2023-02,Sussex Police,Sussex Police,0.291186,50.812263,On or near Hadlow Avenue,E01020930,Eastbourne 001E,Suspect charged
470f245e166e79fc2a60651876e5c0d8a33592a0ba337be8c10ffd86300f9194,2023-02,Sussex Police,Sussex Police,,,No location,,,Unable to prosecute suspect
