date,year,month,Ward,crime_count,year_month
2010-12-01,2010,12,Barnet Vale,13,2010-12
2010-12-01,2010,12,Brunswick Park,13,2010-12
2010-12-01,2010,12,Burnt Oak,9,2010-12
2010-12-01,2010,12,Childs Hill,17,2010-12
2010-12-01,2010,12,Colindale North,7,2010-12
2010-12-01,2010,12,Colindale South,5,2010-12
2010-12-01,2010,12,Cricklewood,9,2010-12
2010-12-01,2010,12,East Barnet,13,2010-12
2010-12-01,2010,12,East Finchley,15,2010-12
2010-12-01,2010,12,Edgware,18,2010-12
2010-12-01,2010,12,Edgwarebury,16,2010-12
2010-12-01,2010,12,Finchley Church End,19,2010-12
2010-12-01,2010,12,Friern Barnet,16,2010-12
2010-12-01,2010,12,Garden Suburb,10,2010-12
2010-12-01,2010,12,Golders Green,13,2010-12
2010-12-01,2010,12,Hendon,25,2010-12
2010-12-01,2010,12,High Barnet,13,2010-12
2010-12-01,2010,12,Mill Hill,21,2010-12
2010-12-01,2010,12,Totteridge & Woodside,11,2010-12
2010-12-01,2010,12,Underhill,6,2010-12
2010-12-01,2010,12,West Finchley,27,2010-12
2010-12-01,2010,12,West Hendon,13,2010-12
2010-12-01,2010,12,Whetstone,9,2010-12
2010-12-01,2010,12,Woodhouse,10,2010-12
2011-01-01,2011,1,Barnet Vale,18,2011-1
2011-01-01,2011,1,Brunswick Park,14,2011-1
2011-01-01,2011,1,Burnt Oak,15,2011-1
2011-01-01,2011,1,Childs Hill,25,2011-1
2011-01-01,2011,1,Colindale North,5,2011-1
2011-01-01,2011,1,Colindale South,5,2011-1
2011-01-01,2011,1,Cricklewood,10,2011-1
2011-01-01,2011,1,East Barnet,15,2011-1
2011-01-01,2011,1,East Finchley,16,2011-1
2011-01-01,2011,1,Edgware,10,2011-1
2011-01-01,2011,1,Edgwarebury,10,2011-1
2011-01-01,2011,1,Finchley Church End,17,2011-1
2011-01-01,2011,1,Friern Barnet,20,2011-1
2011-01-01,2011,1,Garden Suburb,21,2011-1
2011-01-01,2011,1,Golders Green,23,2011-1
2011-01-01,2011,1,Hendon,25,2011-1
2011-01-01,2011,1,High Barnet,18,2011-1
2011-01-01,2011,1,Mill Hill,24,2011-1
2011-01-01,2011,1,Totteridge & Woodside,17,2011-1
2011-01-01,2011,1,Underhill,13,2011-1
2011-01-01,2011,1,West Finchley,24,2011-1
2011-01-01,2011,1,West Hendon,15,2011-1
2011-01-01,2011,1,Whetstone,13,2011-1
2011-01-01,2011,1,Woodhouse,17,2011-1
2011-02-01,2011,2,Barnet Vale,16,2011-2
2011-02-01,2011,2,Brunswick Park,18,2011-2
2011-02-01,2011,2,Burnt Oak,11,2011-2
2011-02-01,2011,2,Childs Hill,18,2011-2
